"","Name","TG6 Camera #","Date","Site","CBASS / Sophie","Species","Size (cm)","PM (% dead)","Bleaching (%)","Colony Depth (ft)","Colony Photo","Tag #","Bag_number","Notes","Project","Country","Latitude","Longitude","Genotype","Cookie_no","CoralID","comments"
"1","CSC",1,20260210,11,"CBASS","AABR",150,0,0,31,TRUE,NA,17,"","ESA","TUT",-14.33699,-170.71101,1,3,"aabr1",""
"2","KT",1,20260210,11,"CBASS","AABR",100,1,0,29,TRUE,NA,21,"","ESA","TUT",-14.33699,-170.71101,2,4,"aabr2",""
"3","KT",1,20260210,11,"CBASS","AABR",200,25,0,38,TRUE,NA,22,"","ESA","TUT",-14.33699,-170.71101,3,NA,"aabr3",""
"4","KT",1,20260210,11,"CBASS","AGLO",38,1,0,35,TRUE,NA,11,"","ESA","TUT",-14.33699,-170.71101,3,15,"aglo3",""
"5","KT",1,20260210,11,"CBASS","AGLO",40,1,0,33,TRUE,NA,12,"A LITTLE FUNKY; A LITTLE TAPPERING","ESA","TUT",-14.33699,-170.71101,4,16,"aglo4",""
"6","KT",1,20260210,11,"CBASS","AGLO",50,5,0,35,TRUE,NA,13,"","ESA","TUT",-14.33699,-170.71101,5,17,"aglo5",""
"7","KT",1,20260210,11,"CBASS","AGLO",50,15,0,35,TRUE,NA,14,"","ESA","TUT",-14.33699,-170.71101,7,19,"aglo7",""
"8","KT",1,20260210,11,"CBASS","AGLO",37,1,0,37,TRUE,NA,23,"IN SPIRAL","ESA","TUT",-14.33699,-170.71101,1,13,"aglo1",""
"9","KT",1,20260210,11,"CBASS","AGLO",55,1,0,38,TRUE,NA,24,"","ESA","TUT",-14.33699,-170.71101,2,14,"aglo2",""
"10","ES",4,20260210,11,"CBASS","AGLO",36,0,0,44,TRUE,NA,31,"","ESA","TUT",-14.33699,-170.71101,9,NA,"aglo9","bb morph"
"11","ES",4,20260210,11,"CBASS","AGLO",41,0,0,37,TRUE,NA,32,"","ESA","TUT",-14.33699,-170.71101,8,20,"aglo8",""
"12","ES",4,20260210,11,"CBASS","AGLO",43,5,0,29,TRUE,NA,33,"","ESA","TUT",-14.33699,-170.71101,6,18,"aglo6",""
"13","CSC",1,20260210,11,"CBASS","AHYA",43,0,0,34,TRUE,NA,16,"","ESA","TUT",-14.33699,-170.71101,2,2,"ahya2",""
"14","CSC",1,20260210,11,"CBASS","AHYA",32,5,0,35,TRUE,NA,18,"","ESA","TUT",-14.33699,-170.71101,1,1,"ahya1",""
"15","BH",3,20260210,11,"CBASS","ICRA",34,15,0,29,TRUE,NA,3,"","ESA","TUT",-14.33699,-170.71101,9,NA,"icra9",""
