Name,TG6 Camera #,Date,Site,CBASS / Sophie,Species,Size (cm),PM (% dead),Bleaching (%),Colony Depth (ft),Colony Photo,Tag #,Bag #,Notes,
CSC,1,20260210,ESA-TUT-011,CBASS,AABR,150,0,0,31,TRUE,,17,,
KT,1,20260210,ESA-TUT-011,CBASS,AABR,100,1,0,29,TRUE,,21,,
KT,1,20260210,ESA-TUT-011,CBASS,AABR,200,25,0,38,TRUE,,22,,
KT,1,20260210,ESA-TUT-011,CBASS,AGLO,38,1,0,35,TRUE,,11,,
KT,1,20260210,ESA-TUT-011,CBASS,AGLO,40,1,0,33,TRUE,,12,A LITTLE FUNKY; A LITTLE TAPPERING,
KT,1,20260210,ESA-TUT-011,CBASS,AGLO,50,5,0,35,TRUE,,13,,
KT,1,20260210,ESA-TUT-011,CBASS,AGLO,50,15,0,35,TRUE,,14,,
KT,1,20260210,ESA-TUT-011,CBASS,AGLO,37,1,0,37,TRUE,,23,IN SPIRAL,
KT,1,20260210,ESA-TUT-011,CBASS,AGLO,55,1,0,38,TRUE,,24,,
ES,4,20260210,ESA-TUT-011,CBASS,AGLO,36,0,0,44,TRUE,,31,,
ES,4,20260210,ESA-TUT-011,CBASS,AGLO,41,0,0,37,TRUE,,32,,
ES,4,20260210,ESA-TUT-011,CBASS,AGLO,43,5,0,29,TRUE,,33,,
CSC,1,20260210,ESA-TUT-011,CBASS,AHYA,43,0,0,34,TRUE,,16,,
CSC,1,20260210,ESA-TUT-011,CBASS,AHYA,32,5,0,35,TRUE,,18,,
BH,3,20260210,ESA-TUT-011,CBASS,ICRA,34,15,0,29,TRUE,,3,,
BH,3,20260210,ESA-TUT-011,CBASS,ICRA,59,3,0,31,TRUE,,4,,
BH,3,20260210,ESA-TUT-011,CBASS,ICRA,75,20,0,31,TRUE,,5,,
BH,3,20260210,ESA-TUT-011,CBASS,ICRA,36,5,0,35,TRUE,,10,,
CSC,1,20260210,ESA-TUT-011,CBASS,ICRA,29,10,0,31,TRUE,,19,,
CSC,1,20260210,ESA-TUT-011,CBASS,ICRA,25,5,0,33,TRUE,,20,IN SPIRAL,
CSC,1,20260210,ESA-TUT-011,CBASS,ICRA,34,3,0,38,TRUE,,26,IN SPIRAL,
CSC,1,20260210,ESA-TUT-011,CBASS,ICRA,31,2,0,39,TRUE,,27,IN SPIRAL,
CSC,1,20260210,ESA-TUT-011,CBASS,ICRA,27,40,0,36,TRUE,,28,,
CSC,1,20260210,ESA-TUT-011,CBASS,ICRA,32,15,0,37,TRUE,,29,,
BH,3,20260213,ESA-TUT-007,CBASS,AABR,60,60,0,34,TRUE,,1,,
BH,3,20260213,ESA-TUT-007,CBASS,AABR,135,0,0,32,TRUE,,2,,
BH,3,20260213,ESA-TUT-007,CBASS,AABR,105,25,0,36,TRUE,,16,,
KT,1,20260213,ESA-TUT-007,CBASS,AABR,300,15,0,29,TRUE,,26,,
KT,1,20260213,ESA-TUT-007,CBASS,AABR,100,5,0,38,TRUE,,27,,
KT,1,20260213,ESA-TUT-007,CBASS,AABR,115,10,0,31,TRUE,,28,,
BH,3,20260213,ESA-TUT-007,CBASS,AGLO,75,10,0,38,TRUE,,3,,
BH,3,20260213,ESA-TUT-007,CBASS,AGLO,41,5,0,40,TRUE,,5,,
CSC,1,20260213,ESA-TUT-007,CBASS,AGLO,30,3,0,35,TRUE,,21,,
CSC,1,20260213,ESA-TUT-007,CBASS,AGLO,32,15,0,36,TRUE,,22,Funky,
CSC,1,20260213,ESA-TUT-007,CBASS,AGLO,28,10,0,37,TRUE,,23,,
KT,1,20260213,ESA-TUT-007,CBASS,AGLO,50,6,0,30,TRUE,,29,,
KT,3,20260213,ESA-TUT-007,CBASS,AGLO,68,5,0,38,TRUE,,30,,
BH,3,20260213,ESA-TUT-007,CBASS,AGLO,53,55,0,39,TRUE,,31,in spiral,
BH,3,20260213,ESA-TUT-007,CBASS,AGLO,40,10,0,33,TRUE,,33,in spiral,
BH,3,20260213,ESA-TUT-007,CBASS,AGLO,47,0,0,35,TRUE,,34,in spiral,
BH,3,20260213,ESA-TUT-007,CBASS,AGLO,48,5,0,35,TRUE,,35,in spiral,
BH,3,20260213,ESA-TUT-007,CBASS,AHYA,36,0,0,35,TRUE,,32,in spiral,
KT,3,20260214,ESA-TUT-001,CBASS,AABR,103,20,0,33,TRUE,,21,,
KT,3,20260214,ESA-TUT-001,CBASS,AABR,105,10,0,41,TRUE,,22,,
ES,4,20260214,ESA-TUT-001,CBASS,AGLO,48,3,0,36,TRUE,,6,in spiral,
ES,4,20260214,ESA-TUT-001,CBASS,AGLO,81,0,0,36,TRUE,,7,,
ES,4,20260214,ESA-TUT-001,CBASS,AGLO,48,45,0,36,TRUE,,8,,
ES,4,20260214,ESA-TUT-001,CBASS,AGLO,48,7,0,33,TRUE,,9,,
KT,3,20260214,ESA-TUT-001,CBASS,AGLO,50,10,0,34,TRUE,,23,,
KT,3,20260214,ESA-TUT-001,CBASS,AGLO,70,0,0,33,TRUE,,24,,
CSC,1,20260214,ESA-TUT-001,CBASS,AGLO,34,10,0,30,TRUE,,36,,
CSC,1,20260214,ESA-TUT-001,CBASS,AGLO,27,0,0,30,TRUE,,37,in spiral,
CSC,1,20260214,ESA-TUT-001,CBASS,AGLO,28,0,0,32,TRUE,,38,in spiral,
CSC,1,20260214,ESA-TUT-001,CBASS,AGLO,40,25,0,30,TRUE,,39,,
BH,2,20260214,ESA-TUT-001,CBASS,AHYA,30,0,0,32,TRUE,,5,,
KT,3,20260214,ESA-TUT-001,CBASS,ICRA,50,2,0,38,TRUE,,11,,
KT,3,20260214,ESA-TUT-001,CBASS,ICRA,35,1,0,38,TRUE,,12,,
KT,3,20260214,ESA-TUT-001,CBASS,ICRA,37,1,0,34,TRUE,,13,,
KT,3,20260214,ESA-TUT-001,CBASS,ICRA,70,40,0,35,TRUE,,25,,
BH,2,20260214,ESA-TUT-001,CBASS,ICRA,70,70,0,31,TRUE,,26,,
BH,2,20260214,ESA-TUT-001,CBASS,ICRA,65,65,0,35,TRUE,,27,,
BH,2,20260214,ESA-TUT-001,CBASS,ICRA,49,55,0,35,TRUE,,29,,
CSC,1,20260214,ESA-TUT-001,CBASS,ICRA,48,15,0,36,TRUE,,31,,
ES,4,20260216,ESA-TUT-009,CBASS,AABR,225,20,0,33,TRUE,,6,,
ES,4,20260216,ESA-TUT-009,CBASS,AABR,105,5,0,36,TRUE,,7,,
ES,4,20260216,ESA-TUT-009,CBASS,AABR,225,20,0,33,TRUE,,6,,
ES,4,20260216,ESA-TUT-009,CBASS,AABR,105,3,0,36,TRUE,,7,,
ES,4,20260216,ESA-TUT-009,CBASS,AGLO,74,50,0,40,TRUE,,8,,
KT,2,20260216,ESA-TUT-009,CBASS,AGLO,67,1,0,30,TRUE,,16,"thick, chunky, funky polyps at the base",
KT,2,20260216,ESA-TUT-009,CBASS,AGLO,45,1,0,39,TRUE,,17,sort of corymbose but otherwise classic,
KT,2,20260216,ESA-TUT-009,CBASS,AGLO,38,1,0,28,TRUE,,18,,
KT,2,20260216,ESA-TUT-009,CBASS,ICRA,82,7,0,42,TRUE,,19,,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,35,3,0,36,TRUE,21,21,in spiral,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,70,3,10,30,TRUE,24,22,pale and in sprial,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,27,0,20,27,TRUE,23,23,pale and in sprial,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,39,0,10,30,TRUE,,24,in spiral,
CSC,1,20260216,ESA-TUT-009,CBASS,AGLO,53,0,0,31,TRUE,,25,,
ES,4,20260216,ESA-TUT-009,CBASS,AGLO,74,50,0,40,TRUE,,8,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,47,0,0,39,TRUE,,31,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,70,0,0,32,TRUE,,32,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,80,0,0,38,TRUE,,33,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,125,20,0,34,TRUE,,34,,
BH,2,20260216,ESA-TUT-009,CBASS,AHYA,36,0,0,47,TRUE,,35,,
ES,4,20260216,ESA-TUT-009,CBASS,ICRA,53,5,0,33,TRUE,,9,,
BH,3,20260216,ESA-TUT-009,CBASS,ICRA,64,30,0,27,TRUE,31,36,,
BH,3,20260216,ESA-TUT-009,CBASS,ICRA,50,4,0,28,TRUE,,37,,
BH,3,20260216,ESA-TUT-009,CBASS,ICRA,62,5,0,31,TRUE,,38,,
BH,3,20260216,ESA-TUT-009,CBASS,ICRA,31,20,0,28,TRUE,,39,,
BH,3,20260217,ESA-TUT-010,CBASS,AABR,140,1,0,30,TRUE,,31,,
BH,3,20260217,ESA-TUT-010,CBASS,AABR,94,2,0,40,TRUE,,32,, 
CSC,1,20260217,ESA-TUT-010,CBASS,AGLO,73,15,0,30,TRUE,,21,in sprial,
CSC,1,20260217,ESA-TUT-010,CBASS,AGLO,42,0,0,29,TRUE,,22,,
ES,4,20260217,ESA-TUT-010,CBASS,AGLO,56,8,0,38,TRUE,,11,,
ES,4,20260217,ESA-TUT-010,CBASS,AGLO,29,0,0,35,TRUE,,12,,
ES,4,20260217,ESA-TUT-010,CBASS,AGLO,21,25,0,41,TRUE,,13,,
