Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,comments
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,18,1,1,ahya1,
ESA,TUT,20260210,11,-14.33699,-170.71101,AHYA,16,2,2,ahya2,
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,17,1,3,aabr1,
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,21,2,4,aabr2,
ESA,TUT,20260210,11,-14.33699,-170.71101,AABR,22,3,NA,aabr3,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,10,1,5,icra1,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,20,2,6,icra2,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,19,3,7,icra3,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,29,4,8,icra4,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,26,5,9,icra5,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,4,6,10,icra6,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,28,7,11,icra7,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,27,8,12,icra8,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,3,9,NA,icra9,
ESA,TUT,20260210,11,-14.33699,-170.71101,ICRA,5,10,NA,icra10,
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,23,1,13,aglo1,
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,24,2,14,aglo2,
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,11,3,15,aglo3,
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,12,4,16,aglo4,
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,13,5,17,aglo5,
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,33,6,18,aglo6,
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,14,7,19,aglo7,
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,32,8,20,aglo8,
ESA,TUT,20260210,11,-14.33699,-170.71101,AGLO,31,9,NA,aglo9,bb morph
ESA,TUT,20260211,2,-14.28964,-170.75946,AGLO,1,1,NA,aglo1,
ESA,TUT,20260211,2,-14.28964,-170.75946,AGLO,2,2,NA,aglo2,
ESA,TUT,20260211,2,-14.28964,-170.75946,AGLO,3,3,NA,aglo3,
ESA,TUT,20260211,2,-14.28964,-170.75946,AHYA,5,,NA,ahya,not AHYA
ESA,TUT,20260211,2,-14.28964,-170.75946,AHYA,6,1,NA,ahya1,
ESA,TUT,20260211,2,-14.28964,-170.75946,AGLO,7,4,NA,aglo4,
ESA,TUT,20260211,2,-14.28964,-170.75946,AGLO,8,5,NA,aglo5,
ESA,TUT,20260211,2,-14.28964,-170.75946,AGLO,9,6,NA,aglo6,bb morph
ESA,TUT,20260211,2,-14.28964,-170.75946,AGLO,10,7,NA,aglo7,
OCC,TUT,20260211,22,-14.29462,-170.812,AGLO,16,8,NA,aglo8,
OCC,TUT,20260211,22,-14.29462,-170.812,AGLO,17,9,NA,aglo9,
OCC,TUT,20260211,22,-14.29462,-170.812,AGLO,18,10,NA,aglo10,
OCC,TUT,20260211,22,-14.29462,-170.812,AGLO,19,11,NA,aglo11,
OCC,TUT,20260211,22,-14.29462,-170.812,AGLO,20,12,NA,aglo12,
OCC,TUT,20260211,22,-14.29462,-170.812,AHYA,21,2,NA,ahya2,
OCC,TUT,20260211,22,-14.29462,-170.812,AHYA,22,3,NA,ahya3,
OCC,TUT,20260211,22,-14.29462,-170.812,AABR,23,1,NA,aabr1,
OCC,TUT,20260211,22,-14.29462,-170.812,AHYA,24,4,NA,ahya4,
OCC,TUT,20260211,22,-14.29462,-170.812,AHYA,25,5,NA,ahya5,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,26,4,NA,icra4,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,27,5,NA,icra5,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,28,6,NA,icra6,
ESA,TUT,20260211,6,-14.34404,-170.7891,AABR,29,2,NA,aabr2,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,30,7,NA,icra7,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,31,8,NA,icra8,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,32,9,NA,icra9,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,33,10,NA,icra10,
ESA,TUT,20260211,6,-14.34404,-170.7891,AABR,34,3,NA,aabr3,
ESA,TUT,20260211,6,-14.34404,-170.7891,AABR,35,4,NA,aabr4,
ESA,TUT,20260211,6,-14.34404,-170.7891,AABR,36,5,NA,aabr5,
ESA,TUT,20260211,6,-14.34404,-170.7891,AABR,37,6,NA,aabr6,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,38,11,NA,icra11,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,11,1,NA,icra1,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,12,2,NA,icra2,
ESA,TUT,20260211,6,-14.34404,-170.7891,ICRA,13,3,NA,icra3,
ESA,TUT,20260213,7,-14.24378,-170.66918,AABR,26,1,1,AABR1,
ESA,TUT,20260213,7,-14.24378,-170.66918,AABR,27,2,2,AABR2,
ESA,TUT,20260213,7,-14.24378,-170.66918,AABR,28,3,3,AABR3,
ESA,TUT,20260213,7,-14.24378,-170.66918,AHYA,32,1,5,AHYA1,
ESA,TUT,20260213,7,-14.24378,-170.66918,AABR,2,4,4,AABR4,
ESA,TUT,20260213,7,-14.24378,-170.66918,AABR,16,5,6,AABR5,
ESA,TUT,20260213,7,-14.24378,-170.66918,AABR,1,6,7,AABR6,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,33,1,8,AGLO1,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,29,2,9,AGLO2,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,22,3,10,AGLO3,bb morph
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,34,4,11,AGLO4,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,35,5,12,AGLO5,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,3,6,13,AGLO6,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,31,7,14,AGLO7,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,30,8,15,AGLO8,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,21,9,16,AGLO9,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,5,10,17,AGLO10,
ESA,TUT,20260213,7,-14.24378,-170.66918,AGLO,23,11,18,AGLO11,
OCC,TUT,20260213,2,-14.24475,-170.66008,AGLO,11,12,NA,AGLO12,
OCC,TUT,20260213,2,-14.24475,-170.66008,AGLO,12,13,NA,AGLO13,
OCC,TUT,20260213,2,-14.24475,-170.66008,AGLO,13,14,NA,AGLO14,bb morph
ESA,TUT,20260214,8,-14.27687,-170.61161,AGLO,17,10,NA,AGLO10,
ESA,TUT,20260214,8,-14.27687,-170.61161,AGLO,16,11,NA,AGLO11,bb morph
ESA,TUT,20260214,8,-14.27687,-170.61161,AGLO,18,12,NA,AGLO12,
ESA,TUT,20260214,8,-14.28361,-170.60696,AGLO,8,13,NA,AGLO13,
ESA,TUT,20260214,1,-14.28361,-170.60696,AHYA,5,1,1,AHYA1,
ESA,TUT,20260214,1,-14.28361,-170.60696,ICRA,31,1,2,ICRA1,
ESA,TUT,20260214,1,-14.28361,-170.60696,ICRA,26,2,3,ICRA2,
ESA,TUT,20260214,1,-14.28361,-170.60696,ICRA,12,3,4,ICRA3,
ESA,TUT,20260214,1,-14.28361,-170.60696,ICRA,29,4,5,ICRA4,
ESA,TUT,20260214,1,-14.28361,-170.60696,ICRA,11,5,6,ICRA5,
ESA,TUT,20260214,1,-14.28361,-170.60696,ICRA,13,6,7,ICRA6,
ESA,TUT,20260214,1,-14.28361,-170.60696,ICRA,27,7,8,ICRA7,
ESA,TUT,20260214,1,-14.28361,-170.60696,ICRA,25,8,9,ICRA8,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,37,1,10,AGLO1,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,38,2,11,AGLO2,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,23,3,12,AGLO3,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,7,4,13,AGLO4,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,39,5,14,AGLO5,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,36,6,15,AGLO6,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,24,7,16,AGLO7,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,6,8,17,AGLO8,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,9,9,18,AGLO9,
ESA,TUT,20260214,1,-14.28361,-170.60696,AGLO,NA,10,NA,AGLO10,
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,22,1,19,AABR1,
ESA,TUT,20260214,1,-14.28361,-170.60696,AABR,21,2,20,AABR2,
ESA,TUT,20260216,9,14.36045,170.74851,AGLO,23,9,NA,AGLO9,
ESA,TUT,20260216,9,14.36045,170.74851,AABR,7,2,NA,AABR2,
ESA,TUT,20260216,9,14.36045,170.74851,AHYA,32,1,1,AHYA1,
ESA,TUT,20260216,9,14.36045,170.74851,AHYA,34,2,2,AHYA2,
ESA,TUT,20260216,9,14.36045,170.74851,AHYA,35,3,3,AHYA3,
ESA,TUT,20260216,9,14.36045,170.74851,AHYA,31,4,4,AHYA4,
ESA,TUT,20260216,9,14.36045,170.74851,AHYA,33,5,5,AHYA5,
ESA,TUT,20260216,9,14.36045,170.74851,AGLO,18,1,6,AGLO1,
ESA,TUT,20260216,9,14.36045,170.74851,AGLO,25,2,7,AGLO2,
ESA,TUT,20260216,9,14.36045,170.74851,AGLO,8,3,8,AGLO3,
ESA,TUT,20260216,9,14.36045,170.74851,AGLO,24,4,9,AGLO4,
ESA,TUT,20260216,9,14.36045,170.74851,AGLO,21,5,10,AGLO5,
ESA,TUT,20260216,9,14.36045,170.74851,AGLO,16,6,11,AGLO6,
ESA,TUT,20260216,9,14.36045,170.74851,AGLO,22,7,12,AGLO7,
ESA,TUT,20260216,9,14.36045,170.74851,ICRA,38,1,13,ICRA1,
ESA,TUT,20260216,9,14.36045,170.74851,ICRA,9,2,14,ICRA2,
