Project,Country,Date,Site_number,SITE,Latitude,Longitude,Species,Genotype,Condition,Tank_color,Temperature,Pam_value,Timepoint,SampleID_clean,MINIMUM_DEPTH_FEET,MAXIMUM_DEPTH_FEET,MINIMUM_DEPTH_METERS,MAXIMUM_DEPTH_METERS,Bag_number
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,1,wild,1-green,39,0.039,420,1_AABR_1,30,41,9.144,12.4968,22
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,1,wild,2-blue,34,0.638,420,1_AABR_1,30,41,9.144,12.4968,22
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,1,wild,3-red,37,0.495,420,1_AABR_1,30,41,9.144,12.4968,22
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,1,wild,4-yellow,29,0.652,420,1_AABR_1,30,41,9.144,12.4968,22
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,1,wild,5-orange,35,0.669,420,1_AABR_1,30,41,9.144,12.4968,22
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,1,wild,6-brown,38,0.389,420,1_AABR_1,30,41,9.144,12.4968,22
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,1,wild,7-grey,36,0.589,420,1_AABR_1,30,41,9.144,12.4968,22
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,2,wild,1-green,39,0.021,420,1_AABR_2,30,41,9.144,12.4968,21
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,2,wild,2-blue,34,0.615,420,1_AABR_2,30,41,9.144,12.4968,21
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,2,wild,3-red,37,0.449,420,1_AABR_2,30,41,9.144,12.4968,21
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,2,wild,4-yellow,29,0.615,420,1_AABR_2,30,41,9.144,12.4968,21
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,2,wild,5-orange,35,0.557,420,1_AABR_2,30,41,9.144,12.4968,21
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,2,wild,6-brown,38,0.414,420,1_AABR_2,30,41,9.144,12.4968,21
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AABR,2,wild,7-grey,36,0.622,420,1_AABR_2,30,41,9.144,12.4968,21
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,1,wild,1-green,39,0.089,420,1_AGLO_1,30,41,9.144,12.4968,37
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,1,wild,2-blue,34,0.668,420,1_AGLO_1,30,41,9.144,12.4968,37
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,1,wild,3-red,37,0.535,420,1_AGLO_1,30,41,9.144,12.4968,37
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,1,wild,4-yellow,29,0.647,420,1_AGLO_1,30,41,9.144,12.4968,37
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,1,wild,5-orange,35,0.671,420,1_AGLO_1,30,41,9.144,12.4968,37
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,1,wild,6-brown,38,0.569,420,1_AGLO_1,30,41,9.144,12.4968,37
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,1,wild,7-grey,36,0.638,420,1_AGLO_1,30,41,9.144,12.4968,37
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,2,wild,1-green,39,0.028,420,1_AGLO_2,30,41,9.144,12.4968,38
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,2,wild,2-blue,34,0.605,420,1_AGLO_2,30,41,9.144,12.4968,38
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,2,wild,3-red,37,0.467,420,1_AGLO_2,30,41,9.144,12.4968,38
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,2,wild,4-yellow,29,0.647,420,1_AGLO_2,30,41,9.144,12.4968,38
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,2,wild,5-orange,35,0.629,420,1_AGLO_2,30,41,9.144,12.4968,38
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,2,wild,6-brown,38,0.453,420,1_AGLO_2,30,41,9.144,12.4968,38
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,2,wild,7-grey,36,0.558,420,1_AGLO_2,30,41,9.144,12.4968,38
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,3,wild,1-green,39,0.04,420,1_AGLO_3,30,41,9.144,12.4968,23
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,3,wild,2-blue,34,0.622,420,1_AGLO_3,30,41,9.144,12.4968,23
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,3,wild,3-red,37,0.44,420,1_AGLO_3,30,41,9.144,12.4968,23
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,3,wild,4-yellow,29,0.635,420,1_AGLO_3,30,41,9.144,12.4968,23
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,3,wild,5-orange,35,0.628,420,1_AGLO_3,30,41,9.144,12.4968,23
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,3,wild,6-brown,38,0.442,420,1_AGLO_3,30,41,9.144,12.4968,23
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,3,wild,7-grey,36,0.587,420,1_AGLO_3,30,41,9.144,12.4968,23
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,4,wild,1-green,39,0.062,420,1_AGLO_4,30,41,9.144,12.4968,7
