"","Name","TG6 Camera #","Date","CBASS / Sophie","Species","Size (cm)","PM (% dead)","Bleaching (%)","Colony Depth (ft)","Colony Photo","Tag #","Bag_number","Notes","Site","Tank_color","Temperature","SampleID_clean","Project","Country","SITE","Latitude","Longitude","Genotype","Condition","Pam_value","Timepoint","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Color_mean","Color_SD"
"1","CSC",1,2026-02-10,"CBASS","aabr",150,0,0,31,TRUE,NA,"17",NA,11,"1-green",29,"11_AABR_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.656,420,29,44,8.8392,13.4112,7.531,0.396
"2","CSC",1,2026-02-10,"CBASS","aabr",150,0,0,31,TRUE,NA,"17",NA,11,"2-blue",37,"11_AABR_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.634,420,29,44,8.8392,13.4112,6.353,0.639
"3","CSC",1,2026-02-10,"CBASS","aabr",150,0,0,31,TRUE,NA,"17",NA,11,"3-red",34,"11_AABR_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.67,420,29,44,8.8392,13.4112,6.93,0.459
"4","CSC",1,2026-02-10,"CBASS","aabr",150,0,0,31,TRUE,NA,"17",NA,11,"4-yellow",35,"11_AABR_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.688,420,29,44,8.8392,13.4112,7.075,0.447
"5","CSC",1,2026-02-10,"CBASS","aabr",150,0,0,31,TRUE,NA,"17",NA,11,"5-orange",38,"11_AABR_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.185,420,29,44,8.8392,13.4112,6.467,0.445
"6","CSC",1,2026-02-10,"CBASS","aabr",150,0,0,31,TRUE,NA,"17",NA,11,"6-brown",39,"11_AABR_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.085,420,29,44,8.8392,13.4112,6.374,0.797
"7","CSC",1,2026-02-10,"CBASS","aabr",150,0,0,31,TRUE,NA,"17",NA,11,"7-grey",32,"11_AABR_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.657,420,29,44,8.8392,13.4112,7.291,0.336
"8","CSC",1,2026-02-10,"CBASS","aabr",150,0,0,31,TRUE,NA,"17",NA,11,"8-purple",36,"11_AABR_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.636,420,29,44,8.8392,13.4112,6.1,0.893
"9","KT",1,2026-02-10,"CBASS","aabr",100,1,0,29,TRUE,NA,"21",NA,11,"1-green",29,"11_AABR_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.654,420,29,44,8.8392,13.4112,6.617,0.654
"10","KT",1,2026-02-10,"CBASS","aabr",100,1,0,29,TRUE,NA,"21",NA,11,"2-blue",37,"11_AABR_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.551,420,29,44,8.8392,13.4112,6.31,0.636
