Folder,Date,Site,Image,Tank_color,Temperature
02.10.2026_ESA-TUT-011_AFTER,20260210,11,IMG_4708.jpg,1-green,29
02.10.2026_ESA-TUT-011_AFTER,20260210,11,IMG_4709.jpg,2-blue,37
02.10.2026_ESA-TUT-011_AFTER,20260210,11,IMG_4710.jpg,3-red,34
02.10.2026_ESA-TUT-011_AFTER,20260210,11,IMG_4711.jpg,4-yellow,35
02.10.2026_ESA-TUT-011_AFTER,20260210,11,IMG_4712.jpg,5-orange,38
02.10.2026_ESA-TUT-011_AFTER,20260210,11,IMG_4713.jpg,6-brown,39
02.10.2026_ESA-TUT-011_AFTER,20260210,11,IMG_4714.jpg,7-grey,32
02.10.2026_ESA-TUT-011_AFTER,20260210,11,IMG_4715.jpg,8-purple,36
02.13.2026_ESA-TUT-007_AFTER,20260213,7,IMG_4753.jpg,3-red,29
02.13.2026_ESA-TUT-007_AFTER,20260213,7,IMG_4755.jpg,4-yellow,39
02.13.2026_ESA-TUT-007_AFTER,20260213,7,IMG_4758.jpg,5-orange,35
02.13.2026_ESA-TUT-007_AFTER,20260213,7,IMG_4760.jpg,6-brown,36
02.13.2026_ESA-TUT-007_AFTER,20260213,7,IMG_4762.jpg,8-purple,38
02.13.2026_ESA-TUT-007_AFTER,20260213,7,IMG_4764.jpg,2-blue,37
02.13.2026_ESA-TUT-007_AFTER,20260213,7,IMG_4765.jpg,7-grey,34
02.14.2026_ESA-TUT-001_AFTER,20260214,1,IMG_4766.jpg,4-yellow,29
02.14.2026_ESA-TUT-001_AFTER,20260214,1,IMG_4767.jpg,2-blue,34
02.14.2026_ESA-TUT-001_AFTER,20260214,1,IMG_4768.jpg,5-orange,35
02.14.2026_ESA-TUT-001_AFTER,20260214,1,IMG_4769.jpg,7-grey,36
02.14.2026_ESA-TUT-001_AFTER,20260214,1,IMG_4771.jpg,6-brown,38
02.14.2026_ESA-TUT-001_AFTER,20260214,1,IMG_4772.jpg,3-red,37
02.14.2026_ESA-TUT-001_AFTER,20260214,1,IMG_4775.jpg,1-green,39
02.16.2026_ESA-TUT-009_AFTER,20260216,9,IMG_4893.jpg,4-yellow,29
02.16.2026_ESA-TUT-009_AFTER,20260216,9,IMG_4894.jpg,1-green,36
02.16.2026_ESA-TUT-009_AFTER,20260216,9,IMG_4895.jpg,2-blue,38
02.16.2026_ESA-TUT-009_AFTER,20260216,9,IMG_4896.jpg,3-red,37
02.16.2026_ESA-TUT-009_AFTER,20260216,9,IMG_4897.jpg,5-orange,39
02.16.2026_ESA-TUT-009_AFTER,20260216,9,IMG_4898.jpg,6-brown,37.5
02.16.2026_ESA-TUT-009_AFTER,20260216,9,IMG_4900.jpg,7-grey,38.5
02.16.2026_ESA-TUT-009_AFTER,20260216,9,IMG_4901.jpg,8-purple,35
02.17.2026_ESA-TUT-010_AFTER,20260217,10,IMG_4936.jpg,5-orange,29
02.17.2026_ESA-TUT-010_AFTER,20260217,10,IMG_4937.jpg,1-green,35
02.17.2026_ESA-TUT-010_AFTER,20260217,10,IMG_4938.jpg,2-blue,36
02.17.2026_ESA-TUT-010_AFTER,20260217,10,IMG_4939.jpg,3-red,37.5
02.17.2026_ESA-TUT-010_AFTER,20260217,10,IMG_4942.jpg,4-yellow,38
02.17.2026_ESA-TUT-010_AFTER,20260217,10,IMG_4943.jpg,6-brown,38.5
02.17.2026_ESA-TUT-010_AFTER,20260217,10,IMG_4945.jpg,7-grey,39
02.17.2026_ESA-TUT-010_AFTER,20260217,10,IMG_4946.jpg,8-purple,37
02.19.2026_ESA-TUT-003_AFTER,20260219,3,IMG_4978.jpg,7-grey,29
02.19.2026_ESA-TUT-003_AFTER,20260219,3,IMG_4981.jpg,1-green,35
02.19.2026_ESA-TUT-003_AFTER,20260219,3,IMG_4983.jpg,3-red,37
02.19.2026_ESA-TUT-003_AFTER,20260219,3,IMG_4984.jpg,2-blue,38
02.19.2026_ESA-TUT-003_AFTER,20260219,3,IMG_4985.jpg,4-yellow,37.5
02.19.2026_ESA-TUT-003_AFTER,20260219,3,IMG_4986.jpg,5-orange,38.5
02.19.2026_ESA-TUT-003_AFTER,20260219,3,IMG_4987.jpg,6-brown,39
02.19.2026_ESA-TUT-003_AFTER,20260219,3,IMG_4989.jpg,8-purple,36
02.20.2026_ESA-TUT-004_AFTER,20260220,4,IMG_5064.jpg,8-purple,29
02.20.2026_ESA-TUT-004_AFTER,20260220,4,IMG_5065.jpg,3-red,35
02.20.2026_ESA-TUT-004_AFTER,20260220,4,IMG_5066.jpg,6-brown,36
02.20.2026_ESA-TUT-004_AFTER,20260220,4,IMG_5067.jpg,4-yellow,37
02.20.2026_ESA-TUT-004_AFTER,20260220,4,IMG_5069.jpg,5-orange,37.5
02.20.2026_ESA-TUT-004_AFTER,20260220,4,IMG_5070.jpg,7-grey,38
02.20.2026_ESA-TUT-004_AFTER,20260220,4,IMG_5071.jpg,1-green,38.5
02.20.2026_ESA-TUT-004_AFTER,20260220,4,IMG_5072.jpg,2-blue,39
02.23.2026_ESA-TUT-005_AFTER,20260223,5,IMG_5101.jpg,6-brown,29
02.23.2026_ESA-TUT-005_AFTER,20260223,5,IMG_5103.jpg,7-grey,35
02.23.2026_ESA-TUT-005_AFTER,20260223,5,IMG_5104.jpg,5-orange,36
02.23.2026_ESA-TUT-005_AFTER,20260223,5,IMG_5105.jpg,1-green,37.5
02.23.2026_ESA-TUT-005_AFTER,20260223,5,IMG_5106.jpg,2-blue,38
02.23.2026_ESA-TUT-005_AFTER,20260223,5,IMG_5110.jpg,3-red,38.5
02.23.2026_ESA-TUT-005_AFTER,20260223,5,IMG_5111.jpg,8-purple,37
02.23.2026_ESA-TUT-005_AFTER,20260223,5,IMG_5112.jpg,4-yellow,39
