Identifier,cookie,Click_No,Image,Mean,SD
scale,,1,IMG_4708.jpg,177.499,1.541
scale,,2,IMG_4708.jpg,160.139,2.54
scale,,3,IMG_4708.jpg,140.897,2.763
scale,,4,IMG_4708.jpg,115.82,2.395
scale,,5,IMG_4708.jpg,78.794,2.133
scale,,6,IMG_4708.jpg,57.013,1.795
,1,7,IMG_4708.jpg,6.786,0.414
,2,8,IMG_4708.jpg,4.494,0.728
,3,9,IMG_4708.jpg,7.531,0.396
,4,10,IMG_4708.jpg,6.617,0.654
,5,11,IMG_4708.jpg,7.182,0.838
,6,12,IMG_4708.jpg,6.233,0.619
,7,13,IMG_4708.jpg,7.281,0.867
,8,14,IMG_4708.jpg,7.037,0.591
,9,15,IMG_4708.jpg,6.87,0.682
,10,16,IMG_4708.jpg,6.606,0.619
,11,17,IMG_4708.jpg,7.666,0.352
,12,18,IMG_4708.jpg,7.492,0.284
,13,19,IMG_4708.jpg,7.679,0.311
,14,20,IMG_4708.jpg,6.499,0.632
,15,21,IMG_4708.jpg,6.095,0.53
,16,22,IMG_4708.jpg,6.556,0.6
,17,23,IMG_4708.jpg,6.493,0.458
,18,24,IMG_4708.jpg,6.582,0.24
,19,25,IMG_4708.jpg,7.213,0.404
,20,26,IMG_4708.jpg,6.937,0.492
scale,,1,IMG_4709.jpg,177.79,1.999
scale,,2,IMG_4709.jpg,160.843,1.758
scale,,3,IMG_4709.jpg,142.583,1.824
scale,,4,IMG_4709.jpg,112.774,3.385
scale,,5,IMG_4709.jpg,76.741,1.696
scale,,6,IMG_4709.jpg,53.702,2.142
,1,7,IMG_4709.jpg,6.161,0.593
,2,8,IMG_4709.jpg,4.509,0.428
,3,9,IMG_4709.jpg,6.353,0.639
,4,10,IMG_4709.jpg,6.31,0.636
,5,11,IMG_4709.jpg,6.784,0.978
,6,12,IMG_4709.jpg,6.63,0.773
,7,13,IMG_4709.jpg,6.93,0.492
,8,14,IMG_4709.jpg,7.411,0.478
,9,15,IMG_4709.jpg,6.858,0.521
,10,16,IMG_4709.jpg,6.536,1.18
,11,17,IMG_4709.jpg,6.93,0.697
,12,18,IMG_4709.jpg,6.877,0.691
,13,19,IMG_4709.jpg,6.196,0.815
,14,20,IMG_4709.jpg,5.722,0.584
,15,21,IMG_4709.jpg,5.334,0.721
,16,22,IMG_4709.jpg,5.604,0.588
,17,23,IMG_4709.jpg,4.407,0.767
,18,24,IMG_4709.jpg,6.024,0.665
,19,25,IMG_4709.jpg,5.167,0.553
,20,26,IMG_4709.jpg,5.597,0.745
scale,,1,IMG_4710.jpg,179.502,2.391
scale,,2,IMG_4710.jpg,161.98,1.853
scale,,3,IMG_4710.jpg,142.769,2.123
scale,,4,IMG_4710.jpg,115.362,2.69
scale,,5,IMG_4710.jpg,78.765,2.676
scale,,6,IMG_4710.jpg,58.219,2.261
,1,7,IMG_4710.jpg,6.734,0.522
,2,8,IMG_4710.jpg,4.712,0.717
,3,9,IMG_4710.jpg,6.93,0.459
,4,10,IMG_4710.jpg,5.584,0.706
,5,11,IMG_4710.jpg,6.768,0.693
,6,12,IMG_4710.jpg,6.503,0.391
,7,13,IMG_4710.jpg,6.597,0.854
,8,14,IMG_4710.jpg,6.886,0.576
,9,15,IMG_4710.jpg,6.635,0.755
,10,16,IMG_4710.jpg,6.849,0.692
,11,17,IMG_4710.jpg,6.674,0.553
,12,18,IMG_4710.jpg,6.513,0.507
,13,19,IMG_4710.jpg,4.787,0.96
,14,20,IMG_4710.jpg,5.654,0.319
,15,21,IMG_4710.jpg,6.299,0.627
,16,22,IMG_4710.jpg,6.124,0.654
,17,23,IMG_4710.jpg,5.58,0.745
,18,24,IMG_4710.jpg,5.638,0.751
,19,25,IMG_4710.jpg,5.961,0.942
,20,26,IMG_4710.jpg,6.634,0.553
scale,,1,IMG_4711.jpg,172.221,2.611
scale,,2,IMG_4711.jpg,156.09,2.226
scale,,3,IMG_4711.jpg,136.282,2.111
scale,,4,IMG_4711.jpg,109.009,4.194
scale,,5,IMG_4711.jpg,73.75,4.41
scale,,6,IMG_4711.jpg,54.466,1.902
,1,7,IMG_4711.jpg,6.568,0.635
,2,8,IMG_4711.jpg,4.478,0.56
,3,9,IMG_4711.jpg,7.075,0.447
,4,10,IMG_4711.jpg,5.864,0.718
,5,11,IMG_4711.jpg,6.727,0.645
,6,12,IMG_4711.jpg,7.07,0.364
,7,13,IMG_4711.jpg,6.951,0.789
,8,14,IMG_4711.jpg,6.953,0.539
