"","Model_Name","AIC","BIC","Marginal_R2","Conditional_R2"
"Marginal R2...1","spp_m",114.6,132.9,0.07,0.376
"Marginal R2...2","k2m",115.9,128.1,0.017,0.299
"Marginal R2...3","k2ms",118.7,140.1,0.07,0.375
"Marginal R2...4","k3m",115.6,130.9,0.057,0.391
"Marginal R2...5","k3ms",114.1,147.7,0.185,0.597
"Marginal R2...6","k4m",118,136.3,0.065,0.39
"Marginal R2...7","k4ms",118.1,154.7,0.18,0.584
"Marginal R2...8","k5m",122.6,144,0.066,0.382
"Marginal R2...9","k5ms",117.7,148.3,0.164,0.557
"Marginal R2...10","k6m",123.3,147.7,0.083,0.398
"Marginal R2...11","k6ms",118.9,152.5,0.176,0.57
"Marginal R2...12","k7m",125.6,153.1,0.09,0.39
"Marginal R2...13","k7ms",123.2,159.9,0.171,0.557
"Marginal R2...14","k8m",128.6,159.2,0.094,0.391
"Marginal R2...15","k8ms",127.2,166.9,0.168,0.548
"Marginal R2...16","k9m",132.8,166.4,0.094,0.395
"Marginal R2...17","k9ms",131,173.8,0.175,0.566
"Marginal R2...18","k10m",137,173.7,0.093,0.393
"Marginal R2...19","k10ms",135.3,181.2,0.175,0.565
"Marginal R2...20","k11m",130.3,170,0.137,0.389
"Marginal R2...21","k11ms",132.6,181.5,0.169,0.464
"Marginal R2...22","k12m",132.3,175.1,0.139,0.392
"Marginal R2...23","k12ms",134.7,186.7,0.17,0.467
"Marginal R2...24","k13m",135.8,181.7,0.139,0.389
"Marginal R2...25","k13ms",138.3,193.3,0.17,0.465
"Marginal R2...26","k14m",136.6,185.5,0.152,0.384
"Marginal R2...27","k14ms",139.6,197.7,0.179,0.455
