"","uni","metric","metrix","stage","col","ASnormalized.t10_icra7.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.311937975884778,0.00000000000000000000000000000000000000000000000000000000233132880582525
"2","Sigma.1.0","Sigma","2","1","1",5.02248002994854,0.000000000000000000000000000000000000000000159674670213813
"3","Connect.1.0","Connect","3","1","1",0.256357556104517,0.0000000000438054070121583
"4","Tau1.1.0","Tau1","4","1","1",713.239505911207,0.0000000000000000000000000539846218916865
"5","Tau2.1.0","Tau2","5","1","1",1651218.21063405,0.00000000000000000154705904438078
"6","NPQ.1.0","NPQ","6","1","1",0.560260973669066,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000588316946923491
"7","qP.1.0","qP","7","1","1",1.25765559709698,0.0000000000000000000000000000000000000000000000000000000046626576116505
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000159674670213813
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000233132880582525
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000539846218916865
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000154705904438078
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000438054070121583
"13","Fm.1.0","Fm","13","1","1",1737.90923861142,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000588316946923491
"14","Fo.1.0","Fo","14","1","1",1195.78934844751,0.0000000000000000000000000000000000000000000000000000000046626576116505
"15","Quant.3.0","Quant","1","3","1",0.0451880019367158,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000144277972144645
"16","Sigma.3.0","Sigma","2","3","1",2.91811809143901,0.0000000000000000000000000000190910833824993
"17","Connect.3.0","Connect","3","3","1",0.45234208092595,0.0000000000061231759193736
"18","Tau1.3.0","Tau1","4","3","1",3803.46048615687,0.000000186756680972456
"19","Tau2.3.0","Tau2","5","3","1",7371187.80470242,0.00000485834224163459
"20","NPQ.3.0","NPQ","6","3","1",0.0184020241686196,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000498112841620043
"21","qP.3.0","qP","7","3","1",0.140479568261642,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000028855594428924
"22","ABQ.3.0","ABQ","8","3","1",0.418988612390976,0.0000000000000000000000000000190910833824993
"23","qm.3.0","qm","9","3","1",0.855137862555706,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000144277972144645
"24","nTau1.3.0","nTau1","10","3","1",5.33265537681864,0.000000186756680972456
"25","nTau2.3.0","nTau2","11","3","1",4.46409066786634,0.00000485834224163459
"26","nCon.3.0","nCon","12","3","1",1.76449677473727,0.0000000000061231759193736
"27","Fm.3.0","Fm","13","3","1",2662.59482643698,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000498112841620043
"28","Fo.3.0","Fo","14","3","1",2542.27748626326,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000028855594428924
"29","Quant.4.0","Quant","1","4","1",0.047717743032042,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000209685938890156
"30","Sigma.4.0","Sigma","2","4","1",2.74766432057198,0.0000000000000000000000000000133420647823474
"31","Connect.4.0","Connect","3","4","1",0.550069080698288,0.000000000000000206161885681333
"32","Tau1.4.0","Tau1","4","4","1",1834.39516643602,0.000000111071201567723
