"","uni","metric","metrix","stage","col","ASnormalized.t11_aabr2.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.399843394130292,0.0000000000000000000000000000000000000000000000000000000298825075159394
"2","Sigma.1.0","Sigma","2","1","1",4.43249851406633,0.00000000000000000000000000000000000000000000000014526716760615
"3","Connect.1.0","Connect","3","1","1",0.345635422171604,0.00000000000000000000880350972747018
"4","Tau1.1.0","Tau1","4","1","1",614.450673426994,0.000000000000000000000000000433238529069769
"5","Tau2.1.0","Tau2","5","1","1",785870.068886017,0.0000000000000000000000000000483450922967074
"6","NPQ.1.0","NPQ","6","1","1",0.838020450889709,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000204540718132625
"7","qP.1.0","qP","7","1","1",1.4529083538834,0.0000000000000000000000000000000000000000000000000000000597650150318788
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000014526716760615
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000298825075159394
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000433238529069769
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000000483450922967074
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000000880350972747018
"13","Fm.1.0","Fm","13","1","1",1958.75746255548,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000204540718132625
"14","Fo.1.0","Fo","14","1","1",1175.56123044926,0.0000000000000000000000000000000000000000000000000000000597650150318788
"15","Quant.3.0","Quant","1","3","1",0.0572129613509161,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000472764397219745
"16","Sigma.3.0","Sigma","2","3","1",2.85038251563739,0.00000000000000000000000000000000106302570610765
"17","Connect.3.0","Connect","3","3","1",0.418075768090033,0.000000000000710654412941884
"18","Tau1.3.0","Tau1","4","3","1",2342.80086018713,0.00000262961542940338
"19","Tau2.3.0","Tau2","5","3","1",6331928.25429865,0.00000347161742640892
"20","NPQ.3.0","NPQ","6","3","1",0.120160168525643,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017506696709453
"21","qP.3.0","qP","7","3","1",0.341604344673238,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000945528794437739
"22","ABQ.3.0","ABQ","8","3","1",0.356935483093377,0.00000000000000000000000000000000106302570610765
"23","qm.3.0","qm","9","3","1",0.856911575404762,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000472764397219745
"24","nTau1.3.0","nTau1","10","3","1",3.81283797301508,0.00000262961542940338
"25","nTau2.3.0","nTau2","11","3","1",8.05722027723266,0.00000347161742640892
"26","nCon.3.0","nCon","12","3","1",1.20958600094658,0.000000000000710654412941884
"27","Fm.3.0","Fm","13","3","1",3214.03704190664,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017506696709453
"28","Fo.3.0","Fo","14","3","1",3030.15246484762,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000945528794437739
"29","Quant.4.0","Quant","1","4","1",0.0412585371125341,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000184182617627478
