"","uni","metric","metrix","stage","col","ASnormalized.t11_aglo5.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.369247272436923,0.000000000000000000000000000000000000000000000000000000000631325239977719
"2","Sigma.1.0","Sigma","2","1","1",4.15026394432631,0.0000000000000000000000000000000000000000000000029294052768729
"3","Connect.1.0","Connect","3","1","1",0.329672885487588,0.000000000000000000317165883586943
"4","Tau1.1.0","Tau1","4","1","1",629.867162241698,0.0000000000000000000000000335409640357524
"5","Tau2.1.0","Tau2","5","1","1",1048668.38329395,0.000000000000000000000000842276072250633
"6","NPQ.1.0","NPQ","6","1","1",0.794893475850358,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000130708305365458
"7","qP.1.0","qP","7","1","1",1.51839484261317,0.00000000000000000000000000000000000000000000000000000000126265047995544
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000029294052768729
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000631325239977719
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000335409640357524
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000842276072250633
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000000317165883586943
"13","Fm.1.0","Fm","13","1","1",2006.81962436455,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000130708305365458
"14","Fo.1.0","Fo","14","1","1",1265.80695179505,0.00000000000000000000000000000000000000000000000000000000126265047995544
"15","Quant.3.0","Quant","1","3","1",0.0645067648217185,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000199238879509135
"16","Sigma.3.0","Sigma","2","3","1",3.09250733998208,0.0000000000000000000000000000000129308089642846
"17","Connect.3.0","Connect","3","3","1",0.352889768058422,0.00000000235997731617571
"18","Tau1.3.0","Tau1","4","3","1",2188.70590666535,0.00000129634057414188
"19","Tau2.3.0","Tau2","5","3","1",4463541.84223182,0.0000000312012467774592
"20","NPQ.3.0","NPQ","6","3","1",0.144377237214099,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000258361650229558
"21","qP.3.0","qP","7","3","1",0.427320646522148,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000398477759018245
"22","ABQ.3.0","ABQ","8","3","1",0.254864899807217,0.0000000000000000000000000000000129308089642846
"23","qm.3.0","qm","9","3","1",0.825301986942265,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000199238879509135
"24","nTau1.3.0","nTau1","10","3","1",3.47486904838116,0.00000129634057414188
"25","nTau2.3.0","nTau2","11","3","1",4.2563902119481,0.0000000312012467774592
"26","nCon.3.0","nCon","12","3","1",1.07042399782589,0.00000000235997731617571
"27","Fm.3.0","Fm","13","3","1",3147.58746840269,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000258361650229558
"28","Fo.3.0","Fo","14","3","1",2944.54678382265,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000398477759018245
"29","Quant.4.0","Quant","1","4","1",0.0452874532609521,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000563744335326181
"30","Sigma.4.0","Sigma","2","4","1",2.94824984955907,0.000000000000000000000000000000571818963415653
"31","Connect.4.0","Connect","3","4","1",0.443450766087396,0.00000000000291877540554218
"32","Tau1.4.0","Tau1","4","4","1",2881.49314931241,0.0000000608000590830579
"33","Tau2.4.0","Tau2","5","4","1",4449994.97028673,0.000000000264487027480686
"34","NPQ.4.0","NPQ","6","4","1",0.098421587820526,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000254214552856064
"35","qP.4.0","qP","7","4","1",0.306290085911133,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000112748867065234
"36","ABQ.4.0","ABQ","8","4","1",0.289623530187875,0.000000000000000000000000000000571818963415653
"37","qm.4.0","qm","9","4","1",0.877351962650751,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000563744335326181
"38","nTau1.4.0","nTau1","10","4","1",4.57476325493326,0.0000000608000590830579
"39","nTau2.4.0","nTau2","11","4","1",4.24347204624299,0.000000000264487027480686
"40","nCon.4.0","nCon","12","4","1",1.34512356219872,0.00000000000291877540554218
"41","Fm.4.0","Fm","13","4","1",3279.27590910471,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000254214552856064
"42","Fo.4.0","Fo","14","4","1",3130.76585464136,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000112748867065234
"43","Quant.5.0","Quant","1","5","1",0.0409941419293193,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000552123348797261
"44","Sigma.5.0","Sigma","2","5","1",3.18190701548982,0.000000000000000000000000000522586797450809
"45","Connect.5.0","Connect","3","5","1",0.376004909189398,0.0000000137033994307891
"46","Tau1.5.0","Tau1","4","5","1",1901.88502093734,0.0000000118121965676995
"47","Tau2.5.0","Tau2","5","5","1",7252173.99598991,0.0000037939195860392
"48","NPQ.5.0","NPQ","6","5","1",0.093452825269395,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150309728391965
"49","qP.5.0","qP","7","5","1",0.287851745192528,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000110424669759452
"50","ABQ.5.0","ABQ","8","5","1",0.233324179335702,0.000000000000000000000000000522586797450809
"51","qm.5.0","qm","9","5","1",0.888979161149194,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000552123348797261
"52","nTau1.5.0","nTau1","10","5","1",3.01950178537412,0.0000000118121965676995
"53","nTau2.5.0","nTau2","11","5","1",6.9156027887579,0.0000037939195860392
"54","nCon.5.0","nCon","12","5","1",1.14053938234345,0.0000000137033994307891
"55","Fm.5.0","Fm","13","5","1",3294.17727746321,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150309728391965
"56","Fo.5.0","Fo","14","5","1",3159.13530661055,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000110424669759452
"57","Quant.6.0","Quant","1","6","1",0.0397809014222471,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000315847567107399
"58","Sigma.6.0","Sigma","2","6","1",3.78600575852535,0.0000000000000000000000000000000474958433498427
"59","Connect.6.0","Connect","3","6","1",0.372908928538248,0.0000000000812276404356335
"60","Tau1.6.0","Tau1","4","6","1",1409.86470039151,0.0000000565936146114931
"61","Tau2.6.0","Tau2","5","6","1",11501328.4848254,0.00462335644503154
"62","NPQ.6.0","NPQ","6","6","1",0.0999765278524311,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000939892532156277
"63","qP.6.0","qP","7","6","1",0.297446863304549,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000631695134214797
"64","ABQ.6.0","ABQ","8","6","1",0.0877674747166203,0.0000000000000000000000000000000474958433498427
"65","qm.6.0","qm","9","6","1",0.892264873997024,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000315847567107399
"66","nTau1.6.0","nTau1","10","6","1",2.23835244144781,0.0000000565936146114931
"67","nTau2.6.0","nTau2","11","6","1",10.9675552997019,0.00462335644503154
"68","nCon.6.0","nCon","12","6","1",1.13114831384059,0.0000000000812276404356335
"69","Fm.6.0","Fm","13","6","1",3274.64028529128,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000939892532156277
"70","Fo.6.0","Fo","14","6","1",3144.37214290878,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000631695134214797
"71","Quant.7.0","Quant","1","7","1",0.0468696802172639,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000168742771532504
"72","Sigma.7.0","Sigma","2","7","1",3.8431310236016,0.0000000000000000000000000000179410528305927
"73","Connect.7.0","Connect","3","7","1",0.296676455374168,0.00000184567075610444
"74","Tau1.7.0","Tau1","4","7","1",1516.64724746942,0.0000000000402215318264182
"75","Tau2.7.0","Tau2","5","7","1",8941062.19599767,0.000050985966154298
"76","NPQ.7.0","NPQ","6","7","1",0.124003599477374,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000735762745102124
"77","qP.7.0","qP","7","7","1",0.355897027804757,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000337485543065007
"78","ABQ.7.0","ABQ","8","7","1",0.0740032260224274,0.0000000000000000000000000000179410528305927
"79","qm.7.0","qm","9","7","1",0.873066956167509,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000168742771532504
"80","nTau1.7.0","nTau1","10","7","1",2.40788429431957,0.0000000000402215318264182
"81","nTau2.7.0","nTau2","11","7","1",8.52611019692712,0.000050985966154298
"82","nCon.7.0","nCon","12","7","1",0.899911604605826,0.00000184567075610444
"83","Fm.7.0","Fm","13","7","1",3204.64049461694,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000735762745102124
"84","Fo.7.0","Fo","14","7","1",3054.44001942295,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000337485543065007
"85","Quant.8.0","Quant","1","8","1",0.0530736024404187,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000413288240392061
"86","Sigma.8.0","Sigma","2","8","1",3.49729876190157,0.000000000000000000000000000000173795862089326
"87","Connect.8.0","Connect","3","8","1",0.275033695014047,0.00000192338852524108
"88","Tau1.8.0","Tau1","4","8","1",1266.0098423133,0.0000000000000446986460985964
"89","Tau2.8.0","Tau2","5","8","1",8105744.49710096,0.0000000586467158723277
"90","NPQ.8.0","NPQ","6","8","1",0.138443048312711,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000895300294114073
"91","qP.8.0","qP","7","8","1",0.393833936649749,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000826576480784123
"92","ABQ.8.0","ABQ","8","8","1",0.157331001397487,0.000000000000000000000000000000173795862089326
"93","qm.8.0","qm","9","8","1",0.856265417777771,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000413288240392061
"94","nTau1.8.0","nTau1","10","8","1",2.00996324019745,0.0000000000000446986460985964
"95","nTau2.8.0","nTau2","11","8","1",7.72955934042766,0.0000000586467158723277
"96","nCon.8.0","nCon","12","8","1",0.834262407135092,0.00000192338852524108
"97","Fm.8.0","Fm","13","8","1",3163.99441879764,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000895300294114073
"98","Fo.8.0","Fo","14","8","1",2996.06983689067,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000826576480784123
"99","Quant.9.0","Quant","1","9","1",0.0496748451302795,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000104419406293852
"100","Sigma.9.0","Sigma","2","9","1",3.78432807415923,0.00000000000000000000000000000575138088514237
"101","Connect.9.0","Connect","3","9","1",0.299596569608839,0.000000865474782817222
"102","Tau1.9.0","Tau1","4","9","1",1496.39422747377,0.0000000000000000546482540810043
"103","Tau2.9.0","Tau2","5","9","1",10830987.2684581,0.0000132327497806042
"104","NPQ.9.0","NPQ","6","9","1",0.167355697767906,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000493996206338265
"105","qP.9.0","qP","7","9","1",0.435246770388629,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000208838812587705
"106","ABQ.9.0","ABQ","8","9","1",0.0881717102998585,0.00000000000000000000000000000575138088514237
"107","qm.9.0","qm","9","9","1",0.865469974084195,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000104419406293852
"108","nTau1.9.0","nTau1","10","9","1",2.37572986365586,0.0000000000000000546482540810043
"109","nTau2.9.0","nTau2","11","9","1",10.3283244169497,0.0000132327497806042
"110","nCon.9.0","nCon","12","9","1",0.908769215781072,0.000000865474782817222
"111","Fm.9.0","Fm","13","9","1",3085.62973382304,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000493996206338265
"112","Fo.9.0","Fo","14","9","1",2932.35155466599,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000208838812587705
"113","Quant.10.0","Quant","1","10","1",0.0936403557510311,0.000000000000000000000000000000000000000000000000000000000000000000000000063563156575348
"114","Sigma.10.0","Sigma","2","10","1",4.6658168906644,0.000000000000000000000000000000000395357984635246
"115","Connect.10.0","Connect","3","10","1",0.280645291187199,0.000000109872587825261
"116","Tau1.10.0","Tau1","4","10","1",1771.25125492057,0.00000000000000000189567452890941
"117","Tau2.10.0","Tau2","5","10","1",5506091.64755376,0.000000416902487382207
"118","NPQ.10.0","NPQ","6","10","1",0.196383919806936,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000493594879607168
"119","qP.10.0","qP","7","10","1",0.567520679789131,0.000000000000000000000000000000000000000000000000000000000000000000000000127126313150696
"120","ABQ.10.0","ABQ","8","10","1",-0.124221724992426,0.000000000000000000000000000000000395357984635246
"121","qm.10.0","qm","9","10","1",0.746402038035292,0.000000000000000000000000000000000000000000000000000000000000000000000000063563156575348
"122","nTau1.10.0","nTau1","10","10","1",2.81210287041586,0.00000000000000000189567452890941
"123","nTau2.10.0","nTau2","11","10","1",5.25055559533383,0.000000416902487382207
