"","uni","metric","metrix","stage","col","ASnormalized.t5_icra1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.286089380586605,0.0000000000000000000000000000000000000000000000000000000000000174487368970377
"2","Sigma.1.0","Sigma","2","1","1",5.39016027326347,0.0000000000000000000000000000000000000000000000786324124666504
"3","Connect.1.0","Connect","3","1","1",0.288049493184681,0.00000000000000632876833637766
"4","Tau1.1.0","Tau1","4","1","1",684.627152335158,0.00000000000000000000000000446839959860401
"5","Tau2.1.0","Tau2","5","1","1",2030450.94989019,0.0000000000000000399116102430877
"6","NPQ.1.0","NPQ","6","1","1",0.490324016677202,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128206568828321
"7","qP.1.0","qP","7","1","1",1.11825130689098,0.0000000000000000000000000000000000000000000000000000000000000348974737940754
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000786324124666504
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000000174487368970377
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000446839959860401
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000399116102430877
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000632876833637766
"13","Fm.1.0","Fm","13","1","1",1909.10978084238,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128206568828321
"14","Fo.1.0","Fo","14","1","1",1362.93374616935,0.0000000000000000000000000000000000000000000000000000000000000348974737940754
"15","Quant.3.0","Quant","1","3","1",0.0465327415310052,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000148900019437439
"16","Sigma.3.0","Sigma","2","3","1",2.84525746398144,0.00000000000000000000000000000338419862623082
"17","Connect.3.0","Connect","3","3","1",0.463306115498679,0.00000000000044126201154444
"18","Tau1.3.0","Tau1","4","3","1",2694.27564985899,0.0000000660560570266023
"19","Tau2.3.0","Tau2","5","3","1",6529503.37744135,0.0000000214105113886599
"20","NPQ.3.0","NPQ","6","3","1",0.0558289303365965,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000753539572036158
"21","qP.3.0","qP","7","3","1",0.208099437716484,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000297800038874803
"22","ABQ.3.0","ABQ","8","3","1",0.472138615600239,0.00000000000000000000000000000338419862623082
"23","qm.3.0","qm","9","3","1",0.837348938168928,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000148900019437439
"24","nTau1.3.0","nTau1","10","3","1",3.93539116973265,0.0000000660560570266023
"25","nTau2.3.0","nTau2","11","3","1",3.21578976226659,0.0000000214105113886599
"26","nCon.3.0","nCon","12","3","1",1.60842537987606,0.00000000000044126201154444
"27","Fm.3.0","Fm","13","3","1",2694.74729770447,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000753539572036158
"28","Fo.3.0","Fo","14","3","1",2569.35331820901,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000297800038874803
"29","Quant.4.0","Quant","1","4","1",0.0461614250484707,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000278326647470314
"30","Sigma.4.0","Sigma","2","4","1",2.79208508386894,0.0000000000000000000000000000000356729823028053
"31","Connect.4.0","Connect","3","4","1",0.51352355608648,0.0000000000000000273438516519528
"32","Tau1.4.0","Tau1","4","4","1",1205.33044140532,0.00000000143967099908117
"33","Tau2.4.0","Tau2","5","4","1",5469273.09378324,0.00000000760225828638407
"34","NPQ.4.0","NPQ","6","4","1",0.158804783212169,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108480154432336
"35","qP.4.0","qP","7","4","1",0.379663705201477,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000556653294940618
"36","ABQ.4.0","ABQ","8","4","1",0.482003327856803,0.0000000000000000000000000000000356729823028053
"37","qm.4.0","qm","9","4","1",0.838646841928141,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000278326647470314
"38","nTau1.4.0","nTau1","10","4","1",1.76056476476886,0.00000000143967099908117
"39","nTau2.4.0","nTau2","11","4","1",2.693624829538,0.00000000760225828638407
"40","nCon.4.0","nCon","12","4","1",1.78276153312735,0.0000000000000000273438516519528
"41","Fm.4.0","Fm","13","4","1",2455.28168167891,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108480154432336
"42","Fo.4.0","Fo","14","4","1",2341.94238035721,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000556653294940618
"43","Quant.5.0","Quant","1","5","1",0.0513788353525376,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000154202572242066
"44","Sigma.5.0","Sigma","2","5","1",3.78292990067265,0.00000000000000000000000000000350269361428194
"45","Connect.5.0","Connect","3","5","1",0.2123566517412,0.000744944111135243
"46","Tau1.5.0","Tau1","4","5","1",1599.12279322424,0.0000000000117478885818051
