"","uni","metric","metrix","stage","col","ASnormalized.t7_aglo1.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.389426348582313,0.000000000000000000000000000000000000000000000000000000995551623931692
"2","Sigma.1.0","Sigma","2","1","1",4.74399496927871,0.0000000000000000000000000000000000000000000000240152292104
"3","Connect.1.0","Connect","3","1","1",0.317381723145945,0.0000000000000000329205714391911
"4","Tau1.1.0","Tau1","4","1","1",740.566683960732,0.00000000000000000000000000525791367627838
"5","Tau2.1.0","Tau2","5","1","1",775727.541602975,0.0000000000000000000000000334836095610047
"6","NPQ.1.0","NPQ","6","1","1",0.813707269181969,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000105254021608461
"7","qP.1.0","qP","7","1","1",1.53548912052482,0.00000000000000000000000000000000000000000000000000000199110324786338
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000240152292104
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000995551623931692
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000525791367627838
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000334836095610047
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000329205714391911
"13","Fm.1.0","Fm","13","1","1",1957.54334150991,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000105254021608461
"14","Fo.1.0","Fo","14","1","1",1195.22438583409,0.00000000000000000000000000000000000000000000000000000199110324786338
"15","Quant.3.0","Quant","1","3","1",0.055199761703745,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000231315715395991
"16","Sigma.3.0","Sigma","2","3","1",2.9389263317113,0.000000000000000000000000000000000615222755246365
"17","Connect.3.0","Connect","3","3","1",0.402363619550049,0.000000000000823837065209116
"18","Tau1.3.0","Tau1","4","3","1",2226.11039094386,0.00000154329669602004
"19","Tau2.3.0","Tau2","5","3","1",5431652.29123167,0.000000324653457232817
"20","NPQ.3.0","NPQ","6","3","1",0.111517318518644,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000453062041226006
"21","qP.3.0","qP","7","3","1",0.347187385377842,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000462631430791936
"22","ABQ.3.0","ABQ","8","3","1",0.380495478864697,0.000000000000000000000000000000000615222755246365
"23","qm.3.0","qm","9","3","1",0.858253654626357,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000231315715395991
"24","nTau1.3.0","nTau1","10","3","1",3.00595535710313,0.00000154329669602004
"25","nTau2.3.0","nTau2","11","3","1",7.00201037081604,0.000000324653457232817
"26","nCon.3.0","nCon","12","3","1",1.26775926339346,0.000000000000823837065209116
"27","Fm.3.0","Fm","13","3","1",3194.20177183298,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000453062041226006
"28","Fo.3.0","Fo","14","3","1",3017.88259519412,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000462631430791936
"29","Quant.4.0","Quant","1","4","1",0.0410183725842635,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261540226145591
"30","Sigma.4.0","Sigma","2","4","1",2.73947267367138,0.00000000000000000000000000000000272727959940895
"31","Connect.4.0","Connect","3","4","1",0.465849366595568,0.00000000000000994548083523918
"32","Tau1.4.0","Tau1","4","4","1",7186.09102202122,0.0000375243393614274
"33","Tau2.4.0","Tau2","5","4","1",4921145.68914417,0.000007490029936498
"34","NPQ.4.0","NPQ","6","4","1",0.0797520681877369,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000717548262587831
"35","qP.4.0","qP","7","4","1",0.258902761123279,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523080452290464
"36","ABQ.4.0","ABQ","8","4","1",0.422538874637994,0.00000000000000000000000000000000272727959940895
"37","qm.4.0","qm","9","4","1",0.894669755311656,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261540226145591
"38","nTau1.4.0","nTau1","10","4","1",9.70350297638054,0.0000375243393614274
"39","nTau2.4.0","nTau2","11","4","1",6.34390997511192,0.000007490029936498
"40","nCon.4.0","nCon","12","4","1",1.46778888833921,0.00000000000000994548083523918
"41","Fm.4.0","Fm","13","4","1",3288.17206545789,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000717548262587831
"42","Fo.4.0","Fo","14","4","1",3153.29659855577,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523080452290464
"43","Quant.5.0","Quant","1","5","1",0.0415611085788166,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000199945986209489
"44","Sigma.5.0","Sigma","2","5","1",3.12728427782833,0.000000000000000000000000000000629739170029179
"45","Connect.5.0","Connect","3","5","1",0.420007705383365,0.00000000000171096420488584
"46","Tau1.5.0","Tau1","4","5","1",2723.65725302323,0.00000128878624002683
"47","Tau2.5.0","Tau2","5","5","1",5595076.76949471,0.000000287634905512075
