"","uni","metric","metrix","stage","col","ASnormalized.t9_ahya4.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.374068163606281,0.000000000000000000000000000000000000000000000000000000000884286352173967
"2","Sigma.1.0","Sigma","2","1","1",4.67628858836152,0.00000000000000000000000000000000000000000000000045654356761964
"3","Connect.1.0","Connect","3","1","1",0.322818569985934,0.000000000000000000664492009953254
"4","Tau1.1.0","Tau1","4","1","1",652.344331997466,0.0000000000000000000000000000672824245891305
"5","Tau2.1.0","Tau2","5","1","1",906114.505651177,0.0000000000000000000000000000678627978468698
"6","NPQ.1.0","NPQ","6","1","1",0.790575016788296,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000173446912247916
"7","qP.1.0","qP","7","1","1",1.3074169615108,0.00000000000000000000000000000000000000000000000000000000176857270434793
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000045654356761964
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000884286352173967
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000672824245891305
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000000678627978468698
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000000664492009953254
"13","Fm.1.0","Fm","13","1","1",1796.43343248418,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000173446912247916
"14","Fo.1.0","Fo","14","1","1",1124.44487735389,0.00000000000000000000000000000000000000000000000000000000176857270434793
"15","Quant.3.0","Quant","1","3","1",0.0410097945229056,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000500694297430973
"16","Sigma.3.0","Sigma","2","3","1",2.75398791516951,0.0000000000000000000000000000808494170939924
"17","Connect.3.0","Connect","3","3","1",0.493641899945732,0.000000000000192986852026101
"18","Tau1.3.0","Tau1","4","3","1",5392.95690235588,0.000000423946475009461
"19","Tau2.3.0","Tau2","5","3","1",5940436.52375175,0.00000004891801962773
"20","NPQ.3.0","NPQ","6","3","1",0.0782524392608453,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000758470895770389
"21","qP.3.0","qP","7","3","1",0.222329063007261,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000100138859486119
"22","ABQ.3.0","ABQ","8","3","1",0.411074003853459,0.0000000000000000000000000000808494170939924
"23","qm.3.0","qm","9","3","1",0.890368124013703,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000500694297430973
"24","nTau1.3.0","nTau1","10","3","1",8.26704033105148,0.000000423946475009461
"25","nTau2.3.0","nTau2","11","3","1",6.55594462587559,0.00000004891801962773
"26","nCon.3.0","nCon","12","3","1",1.52916203044714,0.000000000000192986852026101
"27","Fm.3.0","Fm","13","3","1",2983.20570063766,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000758470895770389
"28","Fo.3.0","Fo","14","3","1",2860.86504783495,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000100138859486119
"29","Quant.4.0","Quant","1","4","1",0.0402887672585244,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000016925705746089
"30","Sigma.4.0","Sigma","2","4","1",2.84096032525171,0.0000000000000000000000000161099393791242
"31","Connect.4.0","Connect","3","4","1",0.558396386395619,0.0000000000000420875034630586
"32","Tau1.4.0","Tau1","4","4","1",5514.38177799295,0.00000150922311530763
"33","Tau2.4.0","Tau2","5","4","1",7395966.52978386,0.0000130174434701747
"34","NPQ.4.0","NPQ","6","4","1",0.116450447921355,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000369740599927565
"35","qP.4.0","qP","7","4","1",0.282196720981679,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000338514114921744
"36","ABQ.4.0","ABQ","8","4","1",0.392475406175236,0.0000000000000000000000000161099393791242
"37","qm.4.0","qm","9","4","1",0.892295653096719,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000016925705746089
"38","nTau1.4.0","nTau1","10","4","1",8.45317650129345,0.00000150922311530763
"39","nTau2.4.0","nTau2","11","4","1",8.16228686734108,0.0000130174434701747
"40","nCon.4.0","nCon","12","4","1",1.72975298917888,0.0000000000000420875034630586
"41","Fm.4.0","Fm","13","4","1",2881.13890725583,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000369740599927565
"42","Fo.4.0","Fo","14","4","1",2765.06137238192,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000338514114921744
"43","Quant.5.0","Quant","1","5","1",0.0407079152101111,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000057873268882081
"44","Sigma.5.0","Sigma","2","5","1",3.82049418362764,0.00000000000000000000000622199428640782
"45","Connect.5.0","Connect","3","5","1",0.383243374908555,0.0000241407691851571
"46","Tau1.5.0","Tau1","4","5","1",2617.99500466349,0.000000000109252592180791
"47","Tau2.5.0","Tau2","5","5","1",8866358.27064194,0.0000000367429507663838
"48","NPQ.5.0","NPQ","6","5","1",0.140675618450341,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000527910444260507
"49","qP.5.0","qP","7","5","1",0.319631407514348,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000115746537764162
"50","ABQ.5.0","ABQ","8","5","1",0.183007183702007,0.00000000000000000000000622199428640782
"51","qm.5.0","qm","9","5","1",0.89117514086829,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000057873268882081
"52","nTau1.5.0","nTau1","10","5","1",4.0132103189235,0.000000000109252592180791
"53","nTau2.5.0","nTau2","11","5","1",9.7850307166975,0.0000000367429507663838
"54","nCon.5.0","nCon","12","5","1",1.18717883833403,0.0000241407691851571
"55","Fm.5.0","Fm","13","5","1",2819.9505376466,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000527910444260507
"56","Fo.5.0","Fo","14","5","1",2705.15623026338,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000115746537764162
"57","Quant.6.0","Quant","1","6","1",0.0407718052380798,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000375320278651545
"58","Sigma.6.0","Sigma","2","6","1",3.72630929093318,0.00000000000000000000000006458370193202
