"","uni","metric","metrix","stage","col","ASnormalized.aabr5.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.361603830386095,0.0000000000000000000000000000000000000000000000000000000000342902588322049
"2","Sigma.1.0","Sigma","2","1","1",4.35166407302102,0.000000000000000000000000000000000000000000000000338139315178822
"3","Connect.1.0","Connect","3","1","1",0.311252665483539,0.00000000000000000209060611046624
"4","Tau1.1.0","Tau1","4","1","1",817.3733664099,0.0000000000000000000000000000374716670620756
"5","Tau2.1.0","Tau2","5","1","1",993582.985132251,0.00000000000000000000000000000859396110120111
"6","NPQ.1.0","NPQ","6","1","1",0.665603588330436,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000647179850243531
"7","qP.1.0","qP","7","1","1",1.54029896888453,0.0000000000000000000000000000000000000000000000000000000000685805176644097
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000000338139315178822
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000342902588322049
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000374716670620756
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000000000859396110120111
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000209060611046624
"13","Fm.1.0","Fm","13","1","1",2168.13340798189,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000647179850243531
"14","Fo.1.0","Fo","14","1","1",1384.12806286758,0.0000000000000000000000000000000000000000000000000000000000685805176644097
"15","Quant.3.0","Quant","1","3","1",0.0444088897545877,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000197995934200896
"16","Sigma.3.0","Sigma","2","3","1",2.99750924001407,0.00000000000000000000000000000614020067535631
"17","Connect.3.0","Connect","3","3","1",0.379741933651123,0.00000000474665748358035
"18","Tau1.3.0","Tau1","4","3","1",2648.26811647482,0.0000526012421026596
"19","Tau2.3.0","Tau2","5","3","1",12362443.4814176,0.0116951277771912
"20","NPQ.3.0","NPQ","6","3","1",0.0390963032278683,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037223383229588
"21","qP.3.0","qP","7","3","1",0.200713326842685,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000395991868401754
"22","ABQ.3.0","ABQ","8","3","1",0.311180920743008,0.00000000000000000000000000000614020067535631
