"","uni","metric","metrix","stage","col","ASnormalized.t7_aabr4.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.375777147756258,0.00000000000000000000000000000000000000000000000000000000279187363223643
"2","Sigma.1.0","Sigma","2","1","1",4.49464079903862,0.00000000000000000000000000000000000000000000000129149098983928
"3","Connect.1.0","Connect","3","1","1",0.321672274019133,0.0000000000000000013068590258183
"4","Tau1.1.0","Tau1","4","1","1",671.95105239015,0.00000000000000000000000000000255312877579125
"5","Tau2.1.0","Tau2","5","1","1",894773.308541324,0.00000000000000000000000000000736940873079979
"6","NPQ.1.0","NPQ","6","1","1",0.747620872243567,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000526780304438006
"7","qP.1.0","qP","7","1","1",1.39298734984354,0.00000000000000000000000000000000000000000000000000000000558374726447285
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000129149098983928
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000279187363223643
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000000255312877579125
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000000000736940873079979
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000013068590258183
"13","Fm.1.0","Fm","13","1","1",1831.7321475016,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000526780304438006
"14","Fo.1.0","Fo","14","1","1",1143.40906566,0.00000000000000000000000000000000000000000000000000000000558374726447285
"15","Quant.3.0","Quant","1","3","1",0.0522523011772621,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000175029516429171
"16","Sigma.3.0","Sigma","2","3","1",3.01702530218462,0.0000000000000000000000000000000733608067839611
"17","Connect.3.0","Connect","3","3","1",0.428704147147448,0.000000000000713167977651165
"18","Tau1.3.0","Tau1","4","3","1",2694.76890980472,0.000000362042457570088
"19","Tau2.3.0","Tau2","5","3","1",5503994.6652596,0.000000355121889943598
"20","NPQ.3.0","NPQ","6","3","1",0.110329525119206,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000323816181802016
"21","qP.3.0","qP","7","3","1",0.317307874993669,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000035005903285834
"22","ABQ.3.0","ABQ","8","3","1",0.328750519322936,0.0000000000000000000000000000000733608067839611
"23","qm.3.0","qm","9","3","1",0.860948699277598,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000175029516429171
"24","nTau1.3.0","nTau1","10","3","1",4.01036489223337,0.000000362042457570088
"25","nTau2.3.0","nTau2","11","3","1",6.15127274441424,0.000000355121889943598
"26","nCon.3.0","nCon","12","3","1",1.33273577418099,0.000000000000713167977651165
"27","Fm.3.0","Fm","13","3","1",2883.08404028944,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000323816181802016
"28","Fo.3.0","Fo","14","3","1",2732.43626469688,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000035005903285834
