"","uni","metric","metrix","stage","col","ASnormalized.aglo6.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.384414958898297,0.000000000000000000000000000000000000000000000000000000251422218868825
"2","Sigma.1.0","Sigma","2","1","1",4.94064471680912,0.00000000000000000000000000000000000000000000000676979962504241
"3","Connect.1.0","Connect","3","1","1",0.32637919393218,0.00000000000000000641889982861499
"4","Tau1.1.0","Tau1","4","1","1",779.282886732763,0.0000000000000000000000000000598321738498365
"5","Tau2.1.0","Tau2","5","1","1",854513.350640826,0.00000000000000000000000000000390675528858513
"6","NPQ.1.0","NPQ","6","1","1",0.815991693682869,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000195469402708846
"7","qP.1.0","qP","7","1","1",1.50127309337612,0.00000000000000000000000000000000000000000000000000000050284443773765
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000676979962504241
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000251422218868825
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000598321738498365
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000000000390675528858513
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000641889982861499
"13","Fm.1.0","Fm","13","1","1",1994.69373538585,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000195469402708846
"14","Fo.1.0","Fo","14","1","1",1227.90362508281,0.00000000000000000000000000000000000000000000000000000050284443773765
"15","Quant.3.0","Quant","1","3","1",0.0590484643044324,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000851588778980783
"16","Sigma.3.0","Sigma","2","3","1",3.07121277581067,0.0000000000000000000000000000000000000190795084827641
"17","Connect.3.0","Connect","3","3","1",0.380707892133794,0.00000000000000213443671446637
"18","Tau1.3.0","Tau1","4","3","1",2558.68177424738,0.00000142446850004654
"19","Tau2.3.0","Tau2","5","3","1",4529404.06753142,0.00000000553000366776252
"20","NPQ.3.0","NPQ","6","3","1",0.0958141781373339,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219574028369468
"21","qP.3.0","qP","7","3","1",0.320962959114631,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000170317755796154
"22","ABQ.3.0","ABQ","8","3","1",0.378378136488593,0.0000000000000000000000000000000000000190795084827641
"23","qm.3.0","qm","9","3","1",0.846393947640174,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000851588778980783
"24","nTau1.3.0","nTau1","10","3","1",3.2833799096692,0.00000142446850004654
"25","nTau2.3.0","nTau2","11","3","1",5.30056559576826,0.00000000553000366776252
"26","nCon.3.0","nCon","12","3","1",1.16645882829438,0.00000000000000213443671446637
"27","Fm.3.0","Fm","13","3","1",3305.62181724937,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219574028369468
"28","Fo.3.0","Fo","14","3","1",3110.42992536957,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000170317755796154
"29","Quant.4.0","Quant","1","4","1",0.0435059805260127,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000227780806434124
"30","Sigma.4.0","Sigma","2","4","1",2.99683906175212,0.00000000000000000000000000000851321588062053
"31","Connect.4.0","Connect","3","4","1",0.395597227120296,0.00000000120276143068914
"32","Tau1.4.0","Tau1","4","4","1",4708.06680870484,0.00000237710374134167
"33","Tau2.4.0","Tau2","5","4","1",4220336.08170483,0.00000000113429183216529
"34","NPQ.4.0","NPQ","6","4","1",0.0613770391279343,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000220999709412015
"35","qP.4.0","qP","7","4","1",0.224429870768403,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000455561612868246
"36","ABQ.4.0","ABQ","8","4","1",0.393431579575792,0.00000000000000000000000000000851321588062053
"37","qm.4.0","qm","9","4","1",0.886825474610308,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000227780806434124
"38","nTau1.4.0","nTau1","10","4","1",6.04153753259484,0.00000237710374134167
"39","nTau2.4.0","nTau2","11","4","1",4.93887670513266,0.00000000113429183216529
"40","nCon.4.0","nCon","12","4","1",1.21207857141316,0.00000000120276143068914
"41","Fm.4.0","Fm","13","4","1",3412.87508713983,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000220999709412015
"42","Fo.4.0","Fo","14","4","1",3264.39461006101,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000455561612868246
"43","Quant.5.0","Quant","1","5","1",0.0418464599210101,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000130215517612173
"44","Sigma.5.0","Sigma","2","5","1",3.19057550333095,0.0000000000000000000000000000238863828954171
"45","Connect.5.0","Connect","3","5","1",0.416410489075045,0.0000000000344209302224475
"46","Tau1.5.0","Tau1","4","5","1",2476.28715958252,0.0000000106840968009045
"47","Tau2.5.0","Tau2","5","5","1",4714663.01355557,0.0000000000300514803567332
"48","NPQ.5.0","NPQ","6","5","1",0.0749788192586529,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187079073482367
"49","qP.5.0","qP","7","5","1",0.24682098743967,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000260431035224346
"50","ABQ.5.0","ABQ","8","5","1",0.354218794062254,0.0000000000000000000000000000238863828954171
"51","qm.5.0","qm","9","5","1",0.891142477803312,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000130215517612173
"52","nTau1.5.0","nTau1","10","5","1",3.17764858146013,0.0000000106840968009045
"53","nTau2.5.0","nTau2","11","5","1",5.51736612426231,0.0000000000300514803567332
"54","nCon.5.0","nCon","12","5","1",1.27584875756993,0.0000000000344209302224475
"55","Fm.5.0","Fm","13","5","1",3369.6917464849,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187079073482367
"56","Fo.5.0","Fo","14","5","1",3228.68207586946,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000260431035224346
"57","Quant.6.0","Quant","1","6","1",0.0437675107392636,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000196414337177193
"58","Sigma.6.0","Sigma","2","6","1",3.67574204845916,0.00000000000000000000000000000000837843892698516
"59","Connect.6.0","Connect","3","6","1",0.262545687569204,0.00000165530998379743
"60","Tau1.6.0","Tau1","4","6","1",1834.6015120526,0.0000000135113219555596
"61","Tau2.6.0","Tau2","5","6","1",8282573.54036651,0.0000596031942927448
"62","NPQ.6.0","NPQ","6","6","1",0.0907397928554321,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252905785318699
"63","qP.6.0","qP","7","6","1",0.280072117091808,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000392828674354386
"64","ABQ.6.0","ABQ","8","6","1",0.256019758726324,0.00000000000000000000000000000000837843892698516
"65","qm.6.0","qm","9","6","1",0.886145141529617,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000196414337177193
"66","nTau1.6.0","nTau1","10","6","1",2.35421763173113,0.0000000135113219555596
"67","nTau2.6.0","nTau2","11","6","1",9.69273743254586,0.0000596031942927448
"68","nCon.6.0","nCon","12","6","1",0.804419192308442,0.00000165530998379743
"69","Fm.6.0","Fm","13","6","1",3321.0003693173,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252905785318699
"70","Fo.6.0","Fo","14","6","1",3175.6484499881,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000392828674354386
