"","uni","metric","metrix","stage","col","ASnormalized.aglo9.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.385248427533575,0.0000000000000000000000000000000000000000000000000000000508763507510761
"2","Sigma.1.0","Sigma","2","1","1",4.46092801410842,0.00000000000000000000000000000000000000000000000413528389640032
"3","Connect.1.0","Connect","3","1","1",0.325498428267177,0.00000000000000000204084850075769
"4","Tau1.1.0","Tau1","4","1","1",547.2419224274,0.000000000000000000000000000000185143880493536
"5","Tau2.1.0","Tau2","5","1","1",927791.602300565,0.0000000000000000000000000000652135814147779
"6","NPQ.1.0","NPQ","6","1","1",0.868599562390546,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000551475120460255
"7","qP.1.0","qP","7","1","1",1.21555122678589,0.000000000000000000000000000000000000000000000000000000101752701502152
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000413528389640032
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000508763507510761
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000000185143880493536
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000000652135814147779
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000204084850075769
"13","Fm.1.0","Fm","13","1","1",1965.26385341359,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000551475120460255
"14","Fo.1.0","Fo","14","1","1",1208.14904419743,0.000000000000000000000000000000000000000000000000000000101752701502152
"15","Quant.3.0","Quant","1","3","1",0.0772134948468651,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000029233469752858
"16","Sigma.3.0","Sigma","2","3","1",2.91948228551192,0.0000000000000000000000000000000000000537484360390454
"17","Connect.3.0","Connect","3","3","1",0.415118649127671,0.000000000000000109575752659717
"18","Tau1.3.0","Tau1","4","3","1",1559.50503477515,0.0000000811060666531706
"19","Tau2.3.0","Tau2","5","3","1",2860281.58364696,0.000000000000559396673019716
"20","NPQ.3.0","NPQ","6","3","1",0.182073960141978,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000268602646381829
"21","qP.3.0","qP","7","3","1",0.397357555529927,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000584669395057134
"22","ABQ.3.0","ABQ","8","3","1",0.345543735232092,0.0000000000000000000000000000000000000537484360390454
"23","qm.3.0","qm","9","3","1",0.799574795564517,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000029233469752858
"24","nTau1.3.0","nTau1","10","3","1",2.84975432411621,0.0000000811060666531706
"25","nTau2.3.0","nTau2","11","3","1",3.08289229666939,0.000000000000559396673019716
"26","nCon.3.0","nCon","12","3","1",1.27533226915287,0.000000000000000109575752659717
"27","Fm.3.0","Fm","13","3","1",3106.65093750099,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000268602646381829
