"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo13.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.381294318581391,0.000000000000000000000000000000000000000000000000000000621824588522515
"2","Sigma.1.0","Sigma","2","1","1",4.71267617107732,0.0000000000000000000000000000000000000000000000480963323717028
"3","Connect.1.0","Connect","3","1","1",0.323320274268573,0.0000000000000000251051919273614
"4","Tau1.1.0","Tau1","4","1","1",698.946075101373,0.0000000000000000000000000000103455523783606
"5","Tau2.1.0","Tau2","5","1","1",855141.643350731,0.000000000000000000000000000000000818280058604695
"6","NPQ.1.0","NPQ","6","1","1",0.768046201904057,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000135406321507783
"7","qP.1.0","qP","7","1","1",1.54989568789889,0.00000000000000000000000000000000000000000000000000000124364917704503
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000480963323717028
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000621824588522515
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000103455523783606
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000000000000818280058604695
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000251051919273614
"13","Fm.1.0","Fm","13","1","1",1866.82482927486,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000135406321507783
"14","Fo.1.0","Fo","14","1","1",1155.01512808568,0.00000000000000000000000000000000000000000000000000000124364917704503
"15","Quant.3.0","Quant","1","3","1",0.0503218971710152,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000196266484357723
"16","Sigma.3.0","Sigma","2","3","1",2.70918336855712,0.0000000000000000000000000000000000275038363931269
"17","Connect.3.0","Connect","3","3","1",0.477898941292863,0.000000000000000055179695105017
"18","Tau1.3.0","Tau1","4","3","1",2463.59628506144,0.0000420566792706135
"19","Tau2.3.0","Tau2","5","3","1",6622241.61115545,0.00000342750582943874
"20","NPQ.3.0","NPQ","6","3","1",0.0942127400722517,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000695829724558224
"21","qP.3.0","qP","7","3","1",0.314932536595918,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000392532968708487
"22","ABQ.3.0","ABQ","8","3","1",0.425128468367094,0.0000000000000000000000000000000000275038363931269
"23","qm.3.0","qm","9","3","1",0.868023480238997,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000196266484357723
"24","nTau1.3.0","nTau1","10","3","1",3.52473012271244,0.0000420566792706135
"25","nTau2.3.0","nTau2","11","3","1",7.74402891339415,0.00000342750582943874
"26","nCon.3.0","nCon","12","3","1",1.47809766144107,0.000000000000000055179695105017
"27","Fm.3.0","Fm","13","3","1",3016.44500026719,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000695829724558224
"28","Fo.3.0","Fo","14","3","1",2864.65176514172,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000392532968708487
"29","Quant.4.0","Quant","1","4","1",0.0335547242822795,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115403575329623
"30","Sigma.4.0","Sigma","2","4","1",2.50659164181824,0.00000000000000000000000000000217699374514994
"31","Connect.4.0","Connect","3","4","1",0.534068032548037,0.00000000000000327686935667308
"32","Tau1.4.0","Tau1","4","4","1",7007.07790964016,0.0000631304894055299
"33","Tau2.4.0","Tau2","5","4","1",6291968.90815719,0.0000719220940331755
"34","NPQ.4.0","NPQ","6","4","1",0.0589098772915227,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046627673829518
"35","qP.4.0","qP","7","4","1",0.20819191728927,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000230807150612618
"36","ABQ.4.0","ABQ","8","4","1",0.46811714812876,0.00000000000000000000000000000217699374514994
"37","qm.4.0","qm","9","4","1",0.911997838291637,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115403575329623
"38","nTau1.4.0","nTau1","10","4","1",10.0252053187707,0.0000631304894055299
"39","nTau2.4.0","nTau2","11","4","1",7.35780903325342,0.0000719220940331755
"40","nCon.4.0","nCon","12","4","1",1.65182351696387,0.00000000000000327686935667308
"41","Fm.4.0","Fm","13","4","1",3117.0098795017,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046627673829518
"42","Fo.4.0","Fo","14","4","1",3012.41947240988,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000230807150612618
"43","Quant.5.0","Quant","1","5","1",0.0323193121529493,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000189409373210446
"44","Sigma.5.0","Sigma","2","5","1",2.93799816568901,0.0000000000000000000000000596382931277998
"45","Connect.5.0","Connect","3","5","1",0.471607716096013,0.0000000000109373437008054
"46","Tau1.5.0","Tau1","4","5","1",2393.30615618176,0.00012075601279992
"47","Tau2.5.0","Tau2","5","5","1",5250890.43780981,0.000000025766522266931
"48","NPQ.5.0","NPQ","6","5","1",0.0772626199052543,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000628393564008216
"49","qP.5.0","qP","7","5","1",0.242529585340792,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000378818746420891
"50","ABQ.5.0","ABQ","8","5","1",0.376575419350873,0.0000000000000000000000000596382931277998
"51","qm.5.0","qm","9","5","1",0.915237886907957,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000189409373210446
"52","nTau1.5.0","nTau1","10","5","1",3.42416424018783,0.00012075601279992
"53","nTau2.5.0","nTau2","11","5","1",6.14037508129655,0.000000025766522266931
"54","nCon.5.0","nCon","12","5","1",1.45863947803119,0.0000000000109373437008054
"55","Fm.5.0","Fm","13","5","1",3063.90706224439,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000628393564008216
"56","Fo.5.0","Fo","14","5","1",2964.88369349209,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000378818746420891
"57","Quant.6.0","Quant","1","6","1",0.0335684883081383,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000121326226248917
"58","Sigma.6.0","Sigma","2","6","1",3.29752868125387,0.0000000000000000000000000376259350842047
"59","Connect.6.0","Connect","3","6","1",0.354262144275431,0.000000739523896721687
"60","Tau1.6.0","Tau1","4","6","1",2423.56715806177,0.000000529675155262315
"61","Tau2.6.0","Tau2","5","6","1",12660940.7008514,0.00865580187284166
"62","NPQ.6.0","NPQ","6","6","1",0.0990347969432199,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106003216430157
"63","qP.6.0","qP","7","6","1",0.287667104686943,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000242652452497833
"64","ABQ.6.0","ABQ","8","6","1",0.300285323763282,0.0000000000000000000000000376259350842047
"65","qm.6.0","qm","9","6","1",0.911961740124977,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000121326226248917
"66","nTau1.6.0","nTau1","10","6","1",3.46745942841193,0.000000529675155262315
"67","nTau2.6.0","nTau2","11","6","1",14.8056650021646,0.00865580187284166
"68","nCon.6.0","nCon","12","6","1",1.09570037040472,0.000000739523896721687
"69","Fm.6.0","Fm","13","6","1",3003.21023337911,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106003216430157
"70","Fo.6.0","Fo","14","6","1",2902.39700577304,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000242652452497833
"71","Quant.7.0","Quant","1","7","1",0.0366674726574275,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000307640734374748
"72","Sigma.7.0","Sigma","2","7","1",3.91292072279228,0.0000000000000000000000000675655654185326
"73","Connect.7.0","Connect","3","7","1",0.272410353072085,0.000162196374249633
"74","Tau1.7.0","Tau1","4","7","1",1722.55989304601,0.000000000953978268831086
"75","Tau2.7.0","Tau2","5","7","1",9511954.12957142,0.0000276673334263755
"76","NPQ.7.0","NPQ","6","7","1",0.126058628599611,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000185091989963551
"77","qP.7.0","qP","7","7","1",0.344543116687175,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000615281468749496
"78","ABQ.7.0","ABQ","8","7","1",0.169703034805003,0.0000000000000000000000000675655654185326
"79","qm.7.0","qm","9","7","1",0.903834201375333,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000307640734374748
"80","nTau1.7.0","nTau1","10","7","1",2.46451043136078,0.000000000953978268831086
"81","nTau2.7.0","nTau2","11","7","1",11.1232498189427,0.0000276673334263755
"82","nCon.7.0","nCon","12","7","1",0.842540275856013,0.000162196374249633
"83","Fm.7.0","Fm","13","7","1",2931.13738946643,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000185091989963551
"84","Fo.7.0","Fo","14","7","1",2823.659989383,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000615281468749496
"85","Quant.8.0","Quant","1","8","1",0.0418340978561641,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000253859427023288
"86","Sigma.8.0","Sigma","2","8","1",4.07350629602876,0.00000000000000000000000000000000279954618088172
"87","Connect.8.0","Connect","3","8","1",0.243614418443573,0.00000237243557851506
"88","Tau1.8.0","Tau1","4","8","1",2079.44653183705,0.000000022280176036128
"89","Tau2.8.0","Tau2","5","8","1",10985829.8875648,0.000526183527015736
"90","NPQ.8.0","NPQ","6","8","1",0.150048719226444,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102571612490409
"91","qP.8.0","qP","7","8","1",0.397802225632757,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000507718854046576
"92","ABQ.8.0","ABQ","8","8","1",0.135627794451756,0.00000000000000000000000000000000279954618088172
"93","qm.8.0","qm","9","8","1",0.890283972727923,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000253859427023288
"94","nTau1.8.0","nTau1","10","8","1",2.97511725999098,0.000000022280176036128
"95","nTau2.8.0","nTau2","11","8","1",12.8467955840844,0.000526183527015736
"96","nCon.8.0","nCon","12","8","1",0.75347708706077,0.00000237243557851506
"97","Fm.8.0","Fm","13","8","1",2869.99367404166,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102571612490409
"98","Fo.8.0","Fo","14","8","1",2749.93007783523,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000507718854046576
"99","Quant.9.0","Quant","1","9","1",0.0434512647306982,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000901331343183559
"100","Sigma.9.0","Sigma","2","9","1",4.24353385267261,0.0000000000000000000000000000257182992217647
"101","Connect.9.0","Connect","3","9","1",0.225536413630335,0.000307343254990896
"102","Tau1.9.0","Tau1","4","9","1",1840.80957856544,0.0000000000000113213856697669
"103","Tau2.9.0","Tau2","5","9","1",11377010.9777709,0.0000618828496191184
"104","NPQ.9.0","NPQ","6","9","1",0.164955993258877,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117074376590344
"105","qP.9.0","qP","7","9","1",0.426531078712393,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000180266268636712
"106","ABQ.9.0","ABQ","8","9","1",0.099549025091929,0.0000000000000000000000000000257182992217647
"107","qm.9.0","qm","9","9","1",0.886042716575587,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000901331343183559
"108","nTau1.9.0","nTau1","10","9","1",2.63369327640684,0.0000000000000113213856697669
"109","nTau2.9.0","nTau2","11","9","1",13.3042415443505,0.0000618828496191184
"110","nCon.9.0","nCon","12","9","1",0.697563473681174,0.000307343254990896
"111","Fm.9.0","Fm","13","9","1",2833.26801022443,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117074376590344
