"","uni","metric","metrix","stage","col","ASnormalized.t9_aglo1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.386585317981685,0.000000000000000000000000000000000000000000000000000000000229412895980673
"2","Sigma.1.0","Sigma","2","1","1",4.73318360925831,0.0000000000000000000000000000000000000000000000000142710163603732
"3","Connect.1.0","Connect","3","1","1",0.326533405044983,0.0000000000000000000259564980966522
"4","Tau1.1.0","Tau1","4","1","1",674.463509139792,0.00000000000000000000000000152325446426688
"5","Tau2.1.0","Tau2","5","1","1",867264.290180666,0.000000000000000000000122221256442054
"6","NPQ.1.0","NPQ","6","1","1",0.838184212221682,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000200607422159056
"7","qP.1.0","qP","7","1","1",1.3805166543934,0.000000000000000000000000000000000000000000000000000000000458825791961346
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000000142710163603732
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000229412895980673
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000152325446426688
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000122221256442054
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000259564980966522
"13","Fm.1.0","Fm","13","1","1",1744.31300526495,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000200607422159056
"14","Fo.1.0","Fo","14","1","1",1069.98720746501,0.000000000000000000000000000000000000000000000000000000000458825791961346
"15","Quant.3.0","Quant","1","3","1",0.0488514555368748,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000121972488629318
"16","Sigma.3.0","Sigma","2","3","1",2.87668921933737,0.000000000000000000000000000000579333532696739
"17","Connect.3.0","Connect","3","3","1",0.453261111133172,0.00000000000172324126127842
"18","Tau1.3.0","Tau1","4","3","1",4809.2096219356,0.0000383834705812522
"19","Tau2.3.0","Tau2","5","3","1",4123205.03778843,0.000000000203850227913794
"20","NPQ.3.0","NPQ","6","3","1",0.125005054837955,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000750515376288724
"21","qP.3.0","qP","7","3","1",0.3201937076297,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000243944977257886
"22","ABQ.3.0","ABQ","8","3","1",0.392229531575652,0.000000000000000000000000000000579333532696739
"23","qm.3.0","qm","9","3","1",0.873633443215272,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000121972488629318
"24","nTau1.3.0","nTau1","10","3","1",7.13042226416259,0.0000383834705812522
"25","nTau2.3.0","nTau2","11","3","1",4.75426589618892,0.000000000203850227913794
"26","nCon.3.0","nCon","12","3","1",1.38810028049269,0.00000000000172324126127842
"27","Fm.3.0","Fm","13","3","1",2850.09264061736,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000750515376288724
"28","Fo.3.0","Fo","14","3","1",2710.86146670826,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000243944977257886
"29","Quant.4.0","Quant","1","4","1",0.0439579988811149,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000107351469724752
"30","Sigma.4.0","Sigma","2","4","1",2.90590234181027,0.000000000000000000000000000128397913634179
"31","Connect.4.0","Connect","3","4","1",0.512538588284152,0.00000000000000714688913330315
"32","Tau1.4.0","Tau1","4","4","1",2145.76824434583,0.0000746049075020632
"33","Tau2.4.0","Tau2","5","4","1",4708166.1098647,0.000000219960146545012
"34","NPQ.4.0","NPQ","6","4","1",0.156105597647917,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120244498194816
"35","qP.4.0","qP","7","4","1",0.358547646715482,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000214702939449503
