"","uni","metric","metrix","stage","col","ASnormalized.ahya1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.393106092054312,0.0000000000000000000000000000000000000000000000000000000152753181893944
"2","Sigma.1.0","Sigma","2","1","1",4.83275130787796,0.000000000000000000000000000000000000000000000000319993277885626
"3","Connect.1.0","Connect","3","1","1",0.296210862990429,0.0000000000000000261491129198568
"4","Tau1.1.0","Tau1","4","1","1",1184.03617390172,0.00000000000000000000373800076110276
"5","Tau2.1.0","Tau2","5","1","1",542965.456905128,0.0000000000000000000000000577957026159277
"6","NPQ.1.0","NPQ","6","1","1",0.554099935051532,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000002610236156101
"7","qP.1.0","qP","7","1","1",1.25600288970375,0.0000000000000000000000000000000000000000000000000000000305506363787887
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000000319993277885626
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000152753181893944
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000373800076110276
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000577957026159277
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000261491129198568
"13","Fm.1.0","Fm","13","1","1",1796.48754465588,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000002610236156101
"14","Fo.1.0","Fo","14","1","1",1090.27734655196,0.0000000000000000000000000000000000000000000000000000000305506363787887
"15","Quant.3.0","Quant","1","3","1",0.0302334417790536,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000103308403022911
"16","Sigma.3.0","Sigma","2","3","1",3.09291836156956,0.000000000000000000000000817603976313589
"17","Connect.3.0","Connect","3","3","1",0.476783263177463,0.000000000971556438362852
"18","Tau1.3.0","Tau1","4","3","1",5567.49761678861,0.00018551910701399
"19","Tau2.3.0","Tau2","5","3","1",8410862.15214636,0.00000176370701392498
"20","NPQ.3.0","NPQ","6","3","1",0.0350317159772957,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000709368474941091
"21","qP.3.0","qP","7","3","1",0.129942991974993,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000206616806045815
"22","ABQ.3.0","ABQ","8","3","1",0.360008789087133,0.000000000000000000000000817603976313589
"23","qm.3.0","qm","9","3","1",0.923090884648828,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000103308403022911
"24","nTau1.3.0","nTau1","10","3","1",4.70213473161229,0.00018551910701399
"25","nTau2.3.0","nTau2","11","3","1",15.4906026620695,0.00000176370701392498
"26","nCon.3.0","nCon","12","3","1",1.60960762331282,0.000000000971556438362852
"27","Fm.3.0","Fm","13","3","1",2697.42572461599,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000709368474941091
"28","Fo.3.0","Fo","14","3","1",2615.87326101749,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000206616806045815
"29","Quant.4.0","Quant","1","4","1",0.0339448171822568,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000230621060292375
"30","Sigma.4.0","Sigma","2","4","1",2.794618824242,0.0000000000000000000000158794671558009
"31","Connect.4.0","Connect","3","4","1",0.551295168294788,0.0000000000897763250587818
"32","Tau1.4.0","Tau1","4","4","1",5945.50028510855,0.000408782358287174
"33","Tau2.4.0","Tau2","5","4","1",6218361.1138039,0.0000103215778230717
"34","NPQ.4.0","NPQ","6","4","1",0.113624453141411,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215286068997657
"35","qP.4.0","qP","7","4","1",0.273075224421894,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000461242120582597
"36","ABQ.4.0","ABQ","8","4","1",0.421733367556811,0.0000000000000000000000158794671558009
"37","qm.4.0","qm","9","4","1",0.913649730013426,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000230621060292375
"38","nTau1.4.0","nTau1","10","4","1",5.02138398822436,0.000408782358287174
"39","nTau2.4.0","nTau2","11","4","1",11.4525906477517,0.0000103215778230717
"40","nCon.4.0","nCon","12","4","1",1.86115783441947,0.0000000000897763250587818
"41","Fm.4.0","Fm","13","4","1",2507.05807383709,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215286068997657
"42","Fo.4.0","Fo","14","4","1",2421.95644585539,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000461242120582597
"43","Quant.5.0","Quant","1","5","1",0.0330157830085922,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000479171650889207
"44","Sigma.5.0","Sigma","2","5","1",3.41244655984819,0.0000000000000000000000441596090685382
"45","Connect.5.0","Connect","3","5","1",0.478271896836788,0.0000000578533108957261
"46","Tau1.5.0","Tau1","4","5","1",4652.81406153451,0.0000000910374109192524
"47","Tau2.5.0","Tau2","5","5","1",9635189.43550688,0.000000761319466149261
"48","NPQ.5.0","NPQ","6","5","1",0.167310425740276,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000299934543263258
"49","qP.5.0","qP","7","5","1",0.353652339640589,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000958343301778412
"50","ABQ.5.0","ABQ","8","5","1",0.293891544908281,0.0000000000000000000000441596090685382
"51","qm.5.0","qm","9","5","1",0.916013046666215,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000479171650889207
"52","nTau1.5.0","nTau1","10","5","1",3.92962154712066,0.0000000910374109192524
"53","nTau2.5.0","nTau2","11","5","1",17.7454924857041,0.000000761319466149261
"54","nCon.5.0","nCon","12","5","1",1.61463321097796,0.0000000578533108957261
"55","Fm.5.0","Fm","13","5","1",2391.75553897758,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000299934543263258
"56","Fo.5.0","Fo","14","5","1",2312.7898570931,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000958343301778412
"57","Quant.6.0","Quant","1","6","1",0.0324731632192277,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000089519649402238
"58","Sigma.6.0","Sigma","2","6","1",3.76751012637418,0.00000000000000000000000917181888656037
"59","Connect.6.0","Connect","3","6","1",0.207855368743889,0.0191913015691776
"60","Tau1.6.0","Tau1","4","6","1",2977.31091554965,0.0000000534537137244892
"61","Tau2.6.0","Tau2","5","6","1",8987283.24621937,0.0000187005358137847
"62","NPQ.6.0","NPQ","6","6","1",0.208970459878889,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175116132591406
