"","uni","metric","metrix","stage","col","ASnormalized.t11_ahya1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.386495482500041,0.000000000000000000000000000000000000000000000000000000000399683864615288
"2","Sigma.1.0","Sigma","2","1","1",4.66781027873342,0.0000000000000000000000000000000000000000000000000335066081337744
"3","Connect.1.0","Connect","3","1","1",0.301791853904475,0.00000000000000000230679483721162
"4","Tau1.1.0","Tau1","4","1","1",686.68750887672,0.00000000000000000000000000026733384156942
"5","Tau2.1.0","Tau2","5","1","1",852966.541786048,0.000000000000000000000000000000276045756743049
"6","NPQ.1.0","NPQ","6","1","1",0.686593685976474,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000005357117971748
"7","qP.1.0","qP","7","1","1",1.3893558427137,0.000000000000000000000000000000000000000000000000000000000799367729230575
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000000335066081337744
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000399683864615288
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000026733384156942
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000000000276045756743049
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000230679483721162
"13","Fm.1.0","Fm","13","1","1",2166.71058509337,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000005357117971748
"14","Fo.1.0","Fo","14","1","1",1329.28673206976,0.000000000000000000000000000000000000000000000000000000000799367729230575
"15","Quant.3.0","Quant","1","3","1",0.0213441799310311,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000414531154050586
"16","Sigma.3.0","Sigma","2","3","1",2.3265984233793,0.00000000000000000000414637278444569
"17","Connect.3.0","Connect","3","3","1",0.683025736250822,0.0000000000000000209398027674006
"18","Tau1.3.0","Tau1","4","3","1",12222.5270587233,0.00572206832516938
"19","Tau2.3.0","Tau2","5","3","1",10354232.710474,0.00659021152459872
"20","NPQ.3.0","NPQ","6","3","1",-0.00234696160556143,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000610861294315352
"21","qP.3.0","qP","7","3","1",0.0415813547666885,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000829062308100561
"22","ABQ.3.0","ABQ","8","3","1",0.501565341252343,0.00000000000000000000414637278444569
"23","qm.3.0","qm","9","3","1",0.944775085615577,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000414531154050586
"24","nTau1.3.0","nTau1","10","3","1",17.7992564313814,0.00572206832516938
"25","nTau2.3.0","nTau2","11","3","1",12.1390842468369,0.00659021152459872
"26","nCon.3.0","nCon","12","3","1",2.26323450223748,0.0000000000000000209398027674006
"27","Fm.3.0","Fm","13","3","1",3662.95721209647,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000610861294315352
"28","Fo.3.0","Fo","14","3","1",3584.77439428181,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000829062308100561
"29","Quant.4.0","Quant","1","4","1",0.0284476577850075,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000117216860216501
"30","Sigma.4.0","Sigma","2","4","1",2.61926737014417,0.00000000000000000000662254842865882
"31","Connect.4.0","Connect","3","4","1",0.666254487534045,0.00000000000000576026671331823
"32","Tau1.4.0","Tau1","4","4","1",4727.56712138845,0.00893634437975261
"33","Tau2.4.0","Tau2","5","4","1",5587058.13532044,0.000140011332918975
"34","NPQ.4.0","NPQ","6","4","1",0.015135986357036,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000765244415297418
"35","qP.4.0","qP","7","4","1",0.0937534950697544,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000234433720432925
"36","ABQ.4.0","ABQ","8","4","1",0.438865932045787,0.00000000000000000000662254842865882
"37","qm.4.0","qm","9","4","1",0.926395885403384,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000117216860216501
"38","nTau1.4.0","nTau1","10","4","1",6.88459752110793,0.00893634437975261
"39","nTau2.4.0","nTau2","11","4","1",6.55014922815326,0.000140011332918975
"40","nCon.4.0","nCon","12","4","1",2.20766226428674,0.00000000000000576026671331823
