"","uni","metric","metrix","stage","col","ASnormalized.t5_ahya2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.378030699710757,0.00000000000000000000000000000000000000000000000000000000508009674171521
"2","Sigma.1.0","Sigma","2","1","1",4.71733967613933,0.00000000000000000000000000000000000000000000000147782772204757
"3","Connect.1.0","Connect","3","1","1",0.310810490630047,0.00000000000000000896168195659451
"4","Tau1.1.0","Tau1","4","1","1",740.300412662968,0.000000000000000000000000000484343637682655
"5","Tau2.1.0","Tau2","5","1","1",900707.902717502,0.0000000000000000000000000106737279789957
"6","NPQ.1.0","NPQ","6","1","1",0.763206672443111,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000045795935378551
"7","qP.1.0","qP","7","1","1",1.40930569049233,0.0000000000000000000000000000000000000000000000000000000101601934834304
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000147782772204757
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000508009674171521
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000484343637682655
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000106737279789957
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000896168195659451
"13","Fm.1.0","Fm","13","1","1",1898.62453636353,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000045795935378551
"14","Fo.1.0","Fo","14","1","1",1180.88617439401,0.0000000000000000000000000000000000000000000000000000000101601934834304
"15","Quant.3.0","Quant","1","3","1",0.0404626742257282,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000007921394396896
"16","Sigma.3.0","Sigma","2","3","1",3.23964157430823,0.0000000000000000000000000000406173596785699
"17","Connect.3.0","Connect","3","3","1",0.481396451107016,0.00000000000134383864587848
"18","Tau1.3.0","Tau1","4","3","1",3010.96942818556,0.000119344563428232
"19","Tau2.3.0","Tau2","5","3","1",4222140.24111017,0.0000000000103445620109462
"20","NPQ.3.0","NPQ","6","3","1",0.0644293246574954,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000327246852375153
"21","qP.3.0","qP","7","3","1",0.214564550948322,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000158427887937917
"22","ABQ.3.0","ABQ","8","3","1",0.313248187173253,0.0000000000000000000000000000406173596785699
"23","qm.3.0","qm","9","3","1",0.89296458129806,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000007921394396896
"24","nTau1.3.0","nTau1","10","3","1",4.06722646196383,0.000119344563428232
"25","nTau2.3.0","nTau2","11","3","1",4.68757987841748,0.0000000000103445620109462
"26","nCon.3.0","nCon","12","3","1",1.54884235127061,0.00000000000134383864587848
"27","Fm.3.0","Fm","13","3","1",3145.03497172777,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000327246852375153
"28","Fo.3.0","Fo","14","3","1",3017.77844623822,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000158427887937917
"29","Quant.4.0","Quant","1","4","1",0.0377395102847636,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000273219422757446
"30","Sigma.4.0","Sigma","2","4","1",2.73337422705389,0.00000000000000000000000000195106640486259
"31","Connect.4.0","Connect","3","4","1",0.598738049297076,0.000000000000000552071134119587
"32","Tau1.4.0","Tau1","4","4","1",3088.78898517809,0.0000460770015936331
"33","Tau2.4.0","Tau2","5","4","1",6111683.07207291,0.00000343533144710143
"34","NPQ.4.0","NPQ","6","4","1",0.0983429864521799,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036083888119947
"35","qP.4.0","qP","7","4","1",0.269771911212915,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000546438845511283
"36","ABQ.4.0","ABQ","8","4","1",0.42056870721447,0.00000000000000000000000000195106640486259
"37","qm.4.0","qm","9","4","1",0.900168133663115,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000273219422757446
"38","nTau1.4.0","nTau1","10","4","1",4.17234535108155,0.0000460770015936331
"39","nTau2.4.0","nTau2","11","4","1",6.78542183723881,0.00000343533144710143
"40","nCon.4.0","nCon","12","4","1",1.92637657784127,0.000000000000000552071134119587
"41","Fm.4.0","Fm","13","4","1",3047.92536782511,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000036083888119947
"42","Fo.4.0","Fo","14","4","1",2932.89815705888,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000546438845511283
"43","Quant.5.0","Quant","1","5","1",0.0397477147905061,0.000000000000000000000000000000000000000000000000000000000000000000000000000000216295919759869
"44","Sigma.5.0","Sigma","2","5","1",3.6132923258998,0.000000000000000000000123348883373751
"45","Connect.5.0","Connect","3","5","1",0.24423135878184,0.0102832839337575
"46","Tau1.5.0","Tau1","4","5","1",2655.77160742079,0.0000000000179187148363868
"47","Tau2.5.0","Tau2","5","5","1",11617125.0379891,0.000000422866147181442
"48","NPQ.5.0","NPQ","6","5","1",0.109861490151333,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000520289422269568
"49","qP.5.0","qP","7","5","1",0.293509372244378,0.000000000000000000000000000000000000000000000000000000000000000000000000000000432591839519737
"50","ABQ.5.0","ABQ","8","5","1",0.234040248537515,0.000000000000000000000123348883373751
"51","qm.5.0","qm","9","5","1",0.894855854773387,0.000000000000000000000000000000000000000000000000000000000000000000000000000000216295919759869
"52","nTau1.5.0","nTau1","10","5","1",3.58742418887435,0.0000000000179187148363868
"53","nTau2.5.0","nTau2","11","5","1",12.8977718558252,0.000000422866147181442
"54","nCon.5.0","nCon","12","5","1",0.785788659471423,0.0102832839337575
"55","Fm.5.0","Fm","13","5","1",3016.29300654799,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000520289422269568
"56","Fo.5.0","Fo","14","5","1",2896.40225239912,0.000000000000000000000000000000000000000000000000000000000000000000000000000000432591839519737
"57","Quant.6.0","Quant","1","6","1",0.0370993053016744,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000504338633128239
"58","Sigma.6.0","Sigma","2","6","1",3.14806265163438,0.000000000000000000000000000148871998111672
"59","Connect.6.0","Connect","3","6","1",0.423413975017989,0.0000000000682488026463112
"60","Tau1.6.0","Tau1","4","6","1",2034.38368051162,0.000000138294157928566
"61","Tau2.6.0","Tau2","5","6","1",11914005.0778363,0.00417207975395422
"62","NPQ.6.0","NPQ","6","6","1",0.137348731262511,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000415989803651347
"63","qP.6.0","qP","7","6","1",0.333968018166712,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000100867726625648
"64","ABQ.6.0","ABQ","8","6","1",0.332661443152478,0.000000000000000000000000000148871998111672
"65","qm.6.0","qm","9","6","1",0.901861660097817,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000504338633128239
"66","nTau1.6.0","nTau1","10","6","1",2.74805152842431,0.000000138294157928566
"67","nTau2.6.0","nTau2","11","6","1",13.2273793111961,0.00417207975395422
"68","nCon.6.0","nCon","12","6","1",1.36228984472076,0.0000000000682488026463112
"69","Fm.6.0","Fm","13","6","1",2943.3957755985,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000415989803651347
"70","Fo.6.0","Fo","14","6","1",2834.19783709592,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000100867726625648
"71","Quant.7.0","Quant","1","7","1",0.0420089007918299,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000625638977231199
"72","Sigma.7.0","Sigma","2","7","1",3.85642008384905,0.000000000000000000000000000000528147288025122
"73","Connect.7.0","Connect","3","7","1",0.32461013703982,0.0000000252780036517295
"74","Tau1.7.0","Tau1","4","7","1",1413.85205459833,0.00000000000330557040906769
"75","Tau2.7.0","Tau2","5","7","1",15803275.7243893,0.0103191681656224
"76","NPQ.7.0","NPQ","6","7","1",0.173237678390838,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000723562795309879
"77","qP.7.0","qP","7","7","1",0.399468645868756,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000012512779544624
"78","ABQ.7.0","ABQ","8","7","1",0.182501081413509,0.000000000000000000000000000000528147288025122
"79","qm.7.0","qm","9","7","1",0.888874367018414,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000625638977231199
"80","nTau1.7.0","nTau1","10","7","1",1.90983556190722,0.00000000000330557040906769
"81","nTau2.7.0","nTau2","11","7","1",17.5453947686144,0.0103191681656224
"82","nCon.7.0","nCon","12","7","1",1.04439890809927,0.0000000252780036517295
"83","Fm.7.0","Fm","13","7","1",2853.35828591177,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000723562795309879
