"","uni","metric","metrix","stage","col","ASnormalized.icra9.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.320764014192338,0.00000000000000000000000000000000000000000000000000000000000211552006056066
"2","Sigma.1.0","Sigma","2","1","1",4.88828115850593,0.0000000000000000000000000000000000000000000000295007879483914
"3","Connect.1.0","Connect","3","1","1",0.285990541141089,0.00000000000000222344154551357
"4","Tau1.1.0","Tau1","4","1","1",802.686783650773,0.0000000000000000000000000000478777497166072
"5","Tau2.1.0","Tau2","5","1","1",1797981.00732147,0.00000000000000000271269139120207
"6","NPQ.1.0","NPQ","6","1","1",0.515804180301172,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000209599630824289
"7","qP.1.0","qP","7","1","1",1.13827171720276,0.00000000000000000000000000000000000000000000000000000000000423104012112132
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000295007879483914
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000000211552006056066
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000478777497166072
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000271269139120207
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000222344154551357
"13","Fm.1.0","Fm","13","1","1",1725.54209544992,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000209599630824289
"14","Fo.1.0","Fo","14","1","1",1172.05028625554,0.00000000000000000000000000000000000000000000000000000000000423104012112132
"15","Quant.3.0","Quant","1","3","1",0.047763795041206,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000016461081625758
"16","Sigma.3.0","Sigma","2","3","1",2.8933464427463,0.000000000000000000000000000000176710955745317
"17","Connect.3.0","Connect","3","3","1",0.461012355323913,0.000000000000292930738061539
"18","Tau1.3.0","Tau1","4","3","1",3085.36739076847,0.0000000487008561526598
"19","Tau2.3.0","Tau2","5","3","1",6313694.67740607,0.0000000000123031888178104
"20","NPQ.3.0","NPQ","6","3","1",0.0182859815235127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000796774018884014
"21","qP.3.0","qP","7","3","1",0.133779412426587,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000329221632514364
"22","ABQ.3.0","ABQ","8","3","1",0.408105559208334,0.000000000000000000000000000000176710955745317
"23","qm.3.0","qm","9","3","1",0.851093660984783,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000016461081625758
"24","nTau1.3.0","nTau1","10","3","1",3.84379991500001,0.0000000487008561526598
"25","nTau2.3.0","nTau2","11","3","1",3.51154692496549,0.0000000000123031888178104
"26","nCon.3.0","nCon","12","3","1",1.6119846253813,0.000000000000292930738061539
"27","Fm.3.0","Fm","13","3","1",2568.61428815441,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000796774018884014
"28","Fo.3.0","Fo","14","3","1",2445.92752175508,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000329221632514364
"29","Quant.4.0","Quant","1","4","1",0.0552274534113144,0.000000000000000000000000000000000000000000000000000000000000000000000000000000764102505505999
"30","Sigma.4.0","Sigma","2","4","1",2.97219190233138,0.00000000000000000000000000000472696165265157
"31","Connect.4.0","Connect","3","4","1",0.446978843678976,0.00000000000141018630311089
"32","Tau1.4.0","Tau1","4","4","1",1503.18755483565,0.0000000000210189047969929
"33","Tau2.4.0","Tau2","5","4","1",3937609.61819877,0.000000000000100658088709698
"34","NPQ.4.0","NPQ","6","4","1",0.0958017081808559,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103737704317722
"35","qP.4.0","qP","7","4","1",0.284260512528015,0.000000000000000000000000000000000000000000000000000000000000000000000000000001528205011012
"36","ABQ.4.0","ABQ","8","4","1",0.391976073806727,0.00000000000000000000000000000472696165265157
"37","qm.4.0","qm","9","4","1",0.827825282862938,0.000000000000000000000000000000000000000000000000000000000000000000000000000000764102505505999
"38","nTau1.4.0","nTau1","10","4","1",1.8726950355391,0.0000000000210189047969929
"39","nTau2.4.0","nTau2","11","4","1",2.1900173595631,0.000000000000100658088709698
"40","nCon.4.0","nCon","12","4","1",1.56291477996283,0.00000000000141018630311089
"41","Fm.4.0","Fm","13","4","1",2386.91352827946,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103737704317722
"42","Fo.4.0","Fo","14","4","1",2255.09037259957,0.000000000000000000000000000000000000000000000000000000000000000000000000000001528205011012
"43","Quant.5.0","Quant","1","5","1",0.071647515381996,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000777276322737925
"44","Sigma.5.0","Sigma","2","5","1",3.35951359572852,0.00000000000000000000000000000000128947734527177
"45","Connect.5.0","Connect","3","5","1",0.29855744206524,0.000000111348806824075
"46","Tau1.5.0","Tau1","4","5","1",1691.9078516375,0.00000000000000020384559580238
"47","Tau2.5.0","Tau2","5","5","1",7454718.87412458,0.000000028321066389846
"48","NPQ.5.0","NPQ","6","5","1",0.19653981183401,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000635663286984499
"49","qP.5.0","qP","7","5","1",0.462273284041671,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000155455264547585
"50","ABQ.5.0","ABQ","8","5","1",0.312741332424639,0.00000000000000000000000000000000128947734527177
"51","qm.5.0","qm","9","5","1",0.776634808731897,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000777276322737925
"52","nTau1.5.0","nTau1","10","5","1",2.10780579187112,0.00000000000000020384559580238
"53","nTau2.5.0","nTau2","11","5","1",4.14616107943776,0.000000028321066389846
"54","nCon.5.0","nCon","12","5","1",1.0439416663013,0.000000111348806824075
"55","Fm.5.0","Fm","13","5","1",2185.95645184556,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000635663286984499
"56","Fo.5.0","Fo","14","5","1",2029.33810333758,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000155455264547585
"57","Quant.6.0","Quant","1","6","1",0.077267529494418,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000170634574474812
"58","Sigma.6.0","Sigma","2","6","1",3.56983760286717,0.0000000000000000000000000000000000000343344172688485
"59","Connect.6.0","Connect","3","6","1",0.310525823589661,0.0000000000111238571060738
"60","Tau1.6.0","Tau1","4","6","1",1102.86899171786,0.00000000000000433503654333517
"61","Tau2.6.0","Tau2","5","6","1",5368602.94951898,0.00000000341577811062852
"62","NPQ.6.0","NPQ","6","6","1",0.286638586878996,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063547706880523
"63","qP.6.0","qP","7","6","1",0.583338283620512,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000341269148949623
"64","ABQ.6.0","ABQ","8","6","1",0.26971516426476,0.0000000000000000000000000000000000000343344172688485
"65","qm.6.0","qm","9","6","1",0.759114096109027,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000170634574474812
"66","nTau1.6.0","nTau1","10","6","1",1.37397178349169,0.00000000000000433503654333517
"67","nTau2.6.0","nTau2","11","6","1",2.98590637368123,0.00000000341577811062852
"68","nCon.6.0","nCon","12","6","1",1.08579053821388,0.0000000000111238571060738
"69","Fm.6.0","Fm","13","6","1",2032.88160967818,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000063547706880523
"70","Fo.6.0","Fo","14","6","1",1875.80586994371,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000341269148949623
"71","Quant.7.0","Quant","1","7","1",0.0784406261000824,0.00000000000000000000000000000000000000000000000000000000000000000000000000000160444654393453
"72","Sigma.7.0","Sigma","2","7","1",3.44421641530838,0.000000000000000000000000000000000132567436636717
"73","Connect.7.0","Connect","3","7","1",0.339002759830651,0.000000000154665012953952
"74","Tau1.7.0","Tau1","4","7","1",1157.61124179251,0.00000000000000129327248002143
"75","Tau2.7.0","Tau2","5","7","1",5471394.4512771,0.000000199666677371355
"76","NPQ.7.0","NPQ","6","7","1",0.320860719086616,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000260871940239888
"77","qP.7.0","qP","7","7","1",0.623492802853384,0.00000000000000000000000000000000000000000000000000000000000000000000000000000320889308786907
"78","ABQ.7.0","ABQ","8","7","1",0.2954136017084,0.000000000000000000000000000000000132567436636717
"79","qm.7.0","qm","9","7","1",0.755456900932012,0.00000000000000000000000000000000000000000000000000000000000000000000000000000160444654393453
"80","nTau1.7.0","nTau1","10","7","1",1.442170551915,0.00000000000000129327248002143
"81","nTau2.7.0","nTau2","11","7","1",3.04307688957631,0.000000199666677371355
"82","nCon.7.0","nCon","12","7","1",1.1853635385214,0.000000000154665012953952
"83","Fm.7.0","Fm","13","7","1",1980.21175417899,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000260871940239888
"84","Fo.7.0","Fo","14","7","1",1824.88270437045,0.00000000000000000000000000000000000000000000000000000000000000000000000000000320889308786907
"85","Quant.8.0","Quant","1","8","1",0.0788301408294062,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000163432900542782
"86","Sigma.8.0","Sigma","2","8","1",3.43295506044812,0.000000000000000000000000000000000000152483147277341
"87","Connect.8.0","Connect","3","8","1",0.345322564752482,0.000000000000737294399011596
"88","Tau1.8.0","Tau1","4","8","1",1334.83260676529,0.000000000000000466204926375211
"89","Tau2.8.0","Tau2","5","8","1",5557790.10078045,0.000000318735553799155
"90","NPQ.8.0","NPQ","6","8","1",0.326890324086549,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000393240551344619
