"","uni","metric","metrix","stage","col","ASnormalized.t10_icra2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.330241174562793,0.00000000000000000000000000000000000000000000000000000000000100291218314254
"2","Sigma.1.0","Sigma","2","1","1",4.9205052797554,0.00000000000000000000000000000000000000000000000177270247798624
"3","Connect.1.0","Connect","3","1","1",0.297346367791388,0.0000000000000000801460628557499
"4","Tau1.1.0","Tau1","4","1","1",651.540085589799,0.0000000000000000000000000123548639836226
"5","Tau2.1.0","Tau2","5","1","1",1317399.15715953,0.000000000000000000000434285613191744
"6","NPQ.1.0","NPQ","6","1","1",0.534222040787291,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000855920075164984
"7","qP.1.0","qP","7","1","1",1.12545736559344,0.00000000000000000000000000000000000000000000000000000000000200582436628509
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000177270247798624
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000000100291218314254
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000123548639836226
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000434285613191744
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000801460628557499
"13","Fm.1.0","Fm","13","1","1",1945.29656294964,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000855920075164984
"14","Fo.1.0","Fo","14","1","1",1302.87954112819,0.00000000000000000000000000000000000000000000000000000000000200582436628509
"15","Quant.3.0","Quant","1","3","1",0.0492488325905446,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000901491184810795
"16","Sigma.3.0","Sigma","2","3","1",3.13229737568738,0.0000000000000000000000000000000548119771563419
"17","Connect.3.0","Connect","3","3","1",0.404828663337769,0.0000000000064140094697776
"18","Tau1.3.0","Tau1","4","3","1",3443.14616582608,0.000000031117538677618
"19","Tau2.3.0","Tau2","5","3","1",5327689.26054272,0.0000000440139218149108
"20","NPQ.3.0","NPQ","6","3","1",0.0769443454755281,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107618931118398
