"","uni","metric","metrix","stage","col","ASnormalized.t5_icra2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.303649470096601,0.000000000000000000000000000000000000000000000000000000000000586688761265271
"2","Sigma.1.0","Sigma","2","1","1",5.11702818776604,0.000000000000000000000000000000000000000000000127807216751663
"3","Connect.1.0","Connect","3","1","1",0.281436803081114,0.0000000000000185887367012557
"4","Tau1.1.0","Tau1","4","1","1",664.548830199961,0.000000000000000000000000000369796991281943
"5","Tau2.1.0","Tau2","5","1","1",1778196.12343015,0.000000000000000000274257027360112
"6","NPQ.1.0","NPQ","6","1","1",0.546165431417931,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000517163095768098
"7","qP.1.0","qP","7","1","1",1.12487194954279,0.00000000000000000000000000000000000000000000000000000000000117337752253054
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000127807216751663
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000000586688761265271
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000369796991281943
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000274257027360112
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000185887367012557
"13","Fm.1.0","Fm","13","1","1",1880.27542439556,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000517163095768098
"14","Fo.1.0","Fo","14","1","1",1309.33078814219,0.00000000000000000000000000000000000000000000000000000000000117337752253054
"15","Quant.3.0","Quant","1","3","1",0.0486134423326009,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000168585085445856
"16","Sigma.3.0","Sigma","2","3","1",2.95593251245419,0.00000000000000000000000000000279953323789635
"17","Connect.3.0","Connect","3","3","1",0.433715719159358,0.0000000000133737481662473
"18","Tau1.3.0","Tau1","4","3","1",2647.495881098,0.000000656891399029222
"19","Tau2.3.0","Tau2","5","3","1",5332732.33339076,0.0000000105025509491073
"20","NPQ.3.0","NPQ","6","3","1",0.0697865267000631,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005921627798533
"21","qP.3.0","qP","7","3","1",0.226510933052651,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000337170170891653
"22","ABQ.3.0","ABQ","8","3","1",0.422334135363701,0.00000000000000000000000000000279953323789635
"23","qm.3.0","qm","9","3","1",0.839902759200814,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000168585085445856
"24","nTau1.3.0","nTau1","10","3","1",3.9838996937236,0.000000656891399029222
"25","nTau2.3.0","nTau2","11","3","1",2.9989562248645,0.0000000105025509491073
"26","nCon.3.0","nCon","12","3","1",1.54107676896242,0.0000000000133737481662473
"27","Fm.3.0","Fm","13","3","1",2717.56728112187,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005921627798533
"28","Fo.3.0","Fo","14","3","1",2585.45698081609,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000337170170891653
"29","Quant.4.0","Quant","1","4","1",0.0490434906294978,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000578764697970182
"30","Sigma.4.0","Sigma","2","4","1",3.20391407894523,0.00000000000000000000000000000141439832810465
"31","Connect.4.0","Connect","3","4","1",0.490551701251088,0.0000000000000529859130404116
"32","Tau1.4.0","Tau1","4","4","1",1582.45525294289,0.0000000437094901459032
"33","Tau2.4.0","Tau2","5","4","1",5243216.59580943,0.000000126703823527857
"34","NPQ.4.0","NPQ","6","4","1",0.165769175591889,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000357645926520713
"35","qP.4.0","qP","7","4","1",0.377122133268253,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000115752939594036
"36","ABQ.4.0","ABQ","8","4","1",0.373872106742493,0.00000000000000000000000000000141439832810465
"37","qm.4.0","qm","9","4","1",0.838486493607595,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000578764697970182
"38","nTau1.4.0","nTau1","10","4","1",2.38124751866124,0.0000000437094901459032
"39","nTau2.4.0","nTau2","11","4","1",2.94861546863303,0.000000126703823527857
"40","nCon.4.0","nCon","12","4","1",1.74302612835502,0.0000000000000529859130404116
"41","Fm.4.0","Fm","13","4","1",2493.81860801821,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000357645926520713
"42","Fo.4.0","Fo","14","4","1",2371.5130384842,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000115752939594036
