"","uni","metric","metrix","stage","col","ASnormalized.t7_aabr4.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.394102145749645,1.25735470919828e-59
"2","Sigma.1.0","Sigma","2","1","1",3.98081628708967,1.08241195547673e-51
"3","Connect.1.0","Connect","3","1","1",0.351846952815828,1.17744820601872e-23
"4","Tau1.1.0","Tau1","4","1","1",575.926420541336,8.50248850266654e-28
"5","Tau2.1.0","Tau2","5","1","1",923120.679699214,1.11660775869698e-25
"6","NPQ.1.0","NPQ","6","1","1",0.955600264010914,5.69760678679275e-85
"7","qP.1.0","qP","7","1","1",1.44388722217801,2.51470941839656e-59
"8","ABQ.1.0","ABQ","8","1","1",0,1.08241195547673e-51
"9","qm.1.0","qm","9","1","1",0,1.25735470919828e-59
"10","nTau1.1.0","nTau1","10","1","1",1,8.50248850266654e-28
"11","nTau2.1.0","nTau2","11","1","1",1,1.11660775869698e-25
"12","nCon.1.0","nCon","12","1","1",1,1.17744820601872e-23
"13","Fm.1.0","Fm","13","1","1",1837.7610928832,5.69760678679275e-85
"14","Fo.1.0","Fo","14","1","1",1113.49550280272,2.51470941839656e-59
"15","Quant.3.0","Quant","1","3","1",0.0556502730387719,5.92148913710584e-86
"16","Sigma.3.0","Sigma","2","3","1",2.97243433712012,4.6267058289927e-37
"17","Connect.3.0","Connect","3","3","1",0.44212968293987,1.98476303771779e-17
"18","Tau1.3.0","Tau1","4","3","1",3110.24561739364,6.11988550896589e-06
"19","Tau2.3.0","Tau2","5","3","1",3482511.22565159,5.50673082564105e-12
"20","NPQ.3.0","NPQ","6","3","1",0.15594868624277,1.24166323947992e-98
"21","qP.3.0","qP","7","3","1",0.3829572613026,1.18429782742104e-85
"22","ABQ.3.0","ABQ","8","3","1",0.25331034572981,4.6267058289927e-37
"23","qm.3.0","qm","9","3","1",0.858792260740128,5.92148913710584e-86
"24","nTau1.3.0","nTau1","10","3","1",5.40042183595292,6.11988550896589e-06
"25","nTau2.3.0","nTau2","11","3","1",3.77254166463513,5.50673082564105e-12
"26","nCon.3.0","nCon","12","3","1",1.25659659520002,1.98476303771779e-17
"27","Fm.3.0","Fm","13","3","1",3109.07060253069,1.24166323947992e-98
"28","Fo.3.0","Fo","14","3","1",2936.04997460304,1.18429782742104e-85
"29","Quant.4.0","Quant","1","4","1",0.0568491686617784,1.56899161529553e-80
"30","Sigma.4.0","Sigma","2","4","1",2.81568082592016,3.32619510100327e-32
"31","Connect.4.0","Connect","3","4","1",0.479939062758397,1.10936660697023e-15
"32","Tau1.4.0","Tau1","4","4","1",2064.20428648833,8.04699370160105e-07
"33","Tau2.4.0","Tau2","5","4","1",3343040.1391347,2.2555583006087e-13
"34","NPQ.4.0","NPQ","6","4","1",0.178039184623636,2.47386106245307e-94
"35","qP.4.0","qP","7","4","1",0.417135434778983,3.13798323059104e-80
"36","ABQ.4.0","ABQ","8","4","1",0.292687573889857,3.32619510100327e-32
"37","qm.4.0","qm","9","4","1",0.855750167120653,1.56899161529553e-80
"38","nTau1.4.0","nTau1","10","4","1",3.58414584374876,8.04699370160105e-07
"39","nTau2.4.0","nTau2","11","4","1",3.62145514953037,2.2555583006087e-13
"40","nCon.4.0","nCon","12","4","1",1.36405632880276,1.10936660697023e-15
"41","Fm.4.0","Fm","13","4","1",3050.76955447757,2.47386106245307e-94
"42","Fo.4.0","Fo","14","4","1",2877.33584152686,3.13798323059104e-80
"43","Quant.5.0","Quant","1","5","1",0.0591424554304419,2.17708654237492e-81
"44","Sigma.5.0","Sigma","2","5","1",3.23825000600755,4.7165782745587e-32
"45","Connect.5.0","Connect","3","5","1",0.402100364491569,2.78742212420043e-11
"46","Tau1.5.0","Tau1","4","5","1",2304.26274984525,1.0639361914689e-12
"47","Tau2.5.0","Tau2","5","5","1",5168128.44509513,1.55415792829057e-14
"48","NPQ.5.0","NPQ","6","5","1",0.180663256138743,3.01673587903363e-96
"49","qP.5.0","qP","7","5","1",0.424921603920259,4.35417308474984e-81
