"","uni","metric","metrix","stage","col","ASnormalized.t7_aglo4.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.382288938647927,2.12648080292444e-58
"2","Sigma.1.0","Sigma","2","1","1",4.70948962469171,3.36873489847202e-50
"3","Connect.1.0","Connect","3","1","1",0.314805080816037,2.68591077626577e-19
"4","Tau1.1.0","Tau1","4","1","1",815.612601571342,2.24588519257065e-28
"5","Tau2.1.0","Tau2","5","1","1",882779.439421688,2.79884163377048e-30
"6","NPQ.1.0","NPQ","6","1","1",0.741841298834482,2.54561803193677e-85
"7","qP.1.0","qP","7","1","1",1.69853314893544,4.25296160584887e-58
"8","ABQ.1.0","ABQ","8","1","1",0,3.36873489847202e-50
"9","qm.1.0","qm","9","1","1",0,2.12648080292444e-58
"10","nTau1.1.0","nTau1","10","1","1",1,2.24588519257065e-28
"11","nTau2.1.0","nTau2","11","1","1",1,2.79884163377048e-30
"12","nCon.1.0","nCon","12","1","1",1,2.68591077626577e-19
"13","Fm.1.0","Fm","13","1","1",2061.36302848286,2.54561803193677e-85
"14","Fo.1.0","Fo","14","1","1",1273.32674415607,4.25296160584887e-58
"15","Quant.3.0","Quant","1","3","1",0.0322666537506971,1.42431412547313e-80
"16","Sigma.3.0","Sigma","2","3","1",2.74120307291747,3.93392196579339e-25
"17","Connect.3.0","Connect","3","3","1",0.514824404227687,9.38582180744337e-13
"18","Tau1.3.0","Tau1","4","3","1",8771.54175410647,8.56888392763165e-05
"19","Tau2.3.0","Tau2","5","3","1",10987294.2946098,0.00018660408077225
"20","NPQ.3.0","NPQ","6","3","1",0.0195976098846168,2.49346967081439e-94
"21","qP.3.0","qP","7","3","1",0.133876820042402,2.84862825094624e-80
"22","ABQ.3.0","ABQ","8","3","1",0.417940521931415,3.93392196579339e-25
"23","qm.3.0","qm","9","3","1",0.915596161728306,1.42431412547313e-80
"24","nTau1.3.0","nTau1","10","3","1",10.7545441760064,8.56888392763165e-05
"25","nTau2.3.0","nTau2","11","3","1",12.4462507892205,0.00018660408077225
"26","nCon.3.0","nCon","12","3","1",1.6353751435433,9.38582180744337e-13
"27","Fm.3.0","Fm","13","3","1",3521.5532285411,2.49346967081439e-94
"28","Fo.3.0","Fo","14","3","1",3407.92448985111,2.84862825094624e-80
"29","Quant.4.0","Quant","1","4","1",0.0309886350944912,6.47074576730799e-80
"30","Sigma.4.0","Sigma","2","4","1",2.66676763905104,8.10795134541611e-23
"31","Connect.4.0","Connect","3","4","1",0.658692457281021,1.21752931442245e-17
"32","Tau1.4.0","Tau1","4","4","1",8430.11236523616,0.000139344293778361
"33","Tau2.4.0","Tau2","5","4","1",8996765.52248239,0.000765801397024895
"34","NPQ.4.0","NPQ","6","4","1",0.0411144986791704,2.83376550136722e-94
