"","uni","metric","metrix","stage","col","barefoot2025.bad20.003","pval"
"1","Quant.1.0","Quant","1","1","1",0.346269327669195,2.6402684709339e-56
"2","Sigma.1.0","Sigma","2","1","1",5.0702400491512,1.75270656170874e-46
"3","Connect.1.0","Connect","3","1","1",0.259816757176448,2.32538938374738e-12
"4","Tau1.1.0","Tau1","4","1","1",657.121271818275,2.53134626477627e-25
"5","Tau2.1.0","Tau2","5","1","1",1021953.47439545,2.93266998609364e-26
"6","NPQ.1.0","NPQ","6","1","1",0.679167412775821,3.6413231179286e-86
"7","qP.1.0","qP","7","1","1",0.885053604526293,5.2805369418678e-56
"8","ABQ.1.0","ABQ","8","1","1",0,1.75270656170874e-46
"9","qm.1.0","qm","9","1","1",0,2.6402684709339e-56
"10","nTau1.1.0","nTau1","10","1","1",1,2.53134626477627e-25
"11","nTau2.1.0","nTau2","11","1","1",1,2.93266998609364e-26
"12","nCon.1.0","nCon","12","1","1",1,2.32538938374738e-12
"13","Fm.1.0","Fm","13","1","1",2301.49014654437,3.6413231179286e-86
"14","Fo.1.0","Fo","14","1","1",1504.55470086318,5.2805369418678e-56
"15","Quant.3.0","Quant","1","3","1",0.0691168257146686,1.81060608908452e-76
"16","Sigma.3.0","Sigma","2","3","1",3.37864989637182,1.89479322201366e-25
"17","Connect.3.0","Connect","3","3","1",0.0351632931744474,0.698165904597284
"18","Tau1.3.0","Tau1","4","3","1",768.533022317522,1.57822355013805e-09
"19","Tau2.3.0","Tau2","5","3","1",4977381.31626078,5.12150069723209e-13
"20","NPQ.3.0","NPQ","6","3","1",0.0605330098196458,4.66114603020032e-93
"21","qP.3.0","qP","7","3","1",0.177175015005345,3.62121217816904e-76
"22","ABQ.3.0","ABQ","8","3","1",0.333631176508608,1.89479322201366e-25
"23","qm.3.0","qm","9","3","1",0.80039576077989,1.81060608908452e-76
"24","nTau1.3.0","nTau1","10","3","1",1.16954518941529,1.57822355013805e-09
"25","nTau2.3.0","nTau2","11","3","1",4.8704578446736,5.12150069723209e-13
"26","nCon.3.0","nCon","12","3","1",0.135338819391727,0.698165904597284
"27","Fm.3.0","Fm","13","3","1",3644.00468360638,4.66114603020032e-93
"28","Fo.3.0","Fo","14","3","1",3392.14264698612,3.62121217816904e-76
"29","Quant.4.0","Quant","1","4","1",0.0639720646662609,3.9434510063846e-76
"30","Sigma.4.0","Sigma","2","4","1",3.62275998878102,2.57671065578608e-20
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",762.855500034286,2.11549507670521e-07
"33","Tau2.4.0","Tau2","5","4","1",2908301.29643175,3.47664081205892e-19
"34","NPQ.4.0","NPQ","6","4","1",0.0364172853046528,5.77742386471825e-93
"35","qP.4.0","qP","7","4","1",0.140380793667724,7.8869020127692e-76
"36","ABQ.4.0","ABQ","8","4","1",0.285485508839469,2.57671065578608e-20
"37","qm.4.0","qm","9","4","1",0.815253447087361,3.9434510063846e-76
"38","nTau1.4.0","nTau1","10","4","1",1.16090519779316,2.11549507670521e-07
"39","nTau2.4.0","nTau2","11","4","1",2.84582553834183,3.47664081205892e-19
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3728.79467536666,5.77742386471825e-93
"42","Fo.4.0","Fo","14","4","1",3490.2559812669,7.8869020127692e-76
"43","Quant.5.0","Quant","1","5","1",0.0785321620459712,1.51264786372646e-74
"44","Sigma.5.0","Sigma","2","5","1",3.56178610637703,4.11289886540528e-24
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",885.322604536521,9.55324286012245e-09
"47","Tau2.5.0","Tau2","5","5","1",2474195.01895277,1.78025919867857e-18
"48","NPQ.5.0","NPQ","6","5","1",0.0904622084279162,1.08677845467049e-92
"49","qP.5.0","qP","7","5","1",0.224603395439818,3.02529572745292e-74
"50","ABQ.5.0","ABQ","8","5","1",0.297511346238271,4.11289886540528e-24
"51","qm.5.0","qm","9","5","1",0.773204971475278,1.51264786372646e-74
"52","nTau1.5.0","nTau1","10","5","1",1.34727430461474,9.55324286012245e-09
"53","nTau2.5.0","nTau2","11","5","1",2.42104467663404,1.78025919867857e-18
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",3543.99008515243,1.08677845467049e-92
"56","Fo.5.0","Fo","14","5","1",3265.67288149593,3.02529572745292e-74
"57","Quant.6.0","Quant","1","6","1",0.0817183132536695,1.80626941282317e-78
"58","Sigma.6.0","Sigma","2","6","1",3.5888652438404,4.32265861830371e-31
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",857.584311477814,2.13411447467449e-08
"61","Tau2.6.0","Tau2","5","6","1",2374264.91234783,4.65783867003125e-18
"62","NPQ.6.0","NPQ","6","6","1",0.139173621416671,1.98452965204262e-98
"63","qP.6.0","qP","7","6","1",0.281024793804212,3.61253882564634e-78
"64","ABQ.6.0","ABQ","8","6","1",0.292170546354861,4.32265861830371e-31
"65","qm.6.0","qm","9","6","1",0.764003604351182,1.80626941282317e-78
