"","uni","metric","metrix","stage","col","cclong2025.lad9.004","pval"
"1","Quant.1.0","Quant","1","1","1",0.342757146723016,3.12687603397547e-60
"2","Sigma.1.0","Sigma","2","1","1",4.45334368963552,4.23449012733061e-48
"3","Connect.1.0","Connect","3","1","1",0.200798926821039,6.83244557794567e-11
"4","Tau1.1.0","Tau1","4","1","1",545.87741670638,3.96650193690982e-27
"5","Tau2.1.0","Tau2","5","1","1",1474228.13818657,1.10361469105908e-19
"6","NPQ.1.0","NPQ","6","1","1",0.450705142716326,3.54123244417741e-88
"7","qP.1.0","qP","7","1","1",0.900003821156616,6.25375206795095e-60
"8","ABQ.1.0","ABQ","8","1","1",0,4.23449012733061e-48
"9","qm.1.0","qm","9","1","1",0,3.12687603397547e-60
"10","nTau1.1.0","nTau1","10","1","1",1,3.96650193690982e-27
"11","nTau2.1.0","nTau2","11","1","1",1,1.10361469105908e-19
"12","nCon.1.0","nCon","12","1","1",1,6.83244557794567e-11
"13","Fm.1.0","Fm","13","1","1",2176.9723598869,3.54123244417741e-88
"14","Fo.1.0","Fo","14","1","1",1430.79952531719,6.25375206795095e-60
"15","Quant.3.0","Quant","1","3","1",0.0882390188307566,1.1513337002834e-68
"16","Sigma.3.0","Sigma","2","3","1",3.57752414295524,5.75456176048557e-21
"17","Connect.3.0","Connect","3","3","1",0.0306264195246737,0.797230433245432
"18","Tau1.3.0","Tau1","4","3","1",677.746087243095,5.09446997316081e-13
"19","Tau2.3.0","Tau2","5","3","1",4419999.93618348,4.61662417160202e-13
"20","NPQ.3.0","NPQ","6","3","1",-0.0146803172319619,4.21114515720897e-84
"21","qP.3.0","qP","7","3","1",0.122844045263434,2.30266740056679e-68
"22","ABQ.3.0","ABQ","8","3","1",0.196665608522113,5.75456176048557e-21
"23","qm.3.0","qm","9","3","1",0.742561111637264,1.1513337002834e-68
"24","nTau1.3.0","nTau1","10","3","1",1.24157194729242,5.09446997316081e-13
"25","nTau2.3.0","nTau2","11","3","1",2.99817906177023,4.61662417160202e-13
"26","nCon.3.0","nCon","12","3","1",0.152522824745818,0.797230433245432
"27","Fm.3.0","Fm","13","3","1",3205.19832626007,4.21114515720897e-84
"28","Fo.3.0","Fo","14","3","1",2922.3747707929,2.30266740056679e-68
"29","Quant.4.0","Quant","1","4","1",0.0798695680128985,1.4280577302724e-71
"30","Sigma.4.0","Sigma","2","4","1",3.60430341433169,8.11887482634171e-19
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",1156.45683289412,1.0046930219256e-08
"33","Tau2.4.0","Tau2","5","4","1",3865669.48237102,1.69336283829892e-13
"34","NPQ.4.0","NPQ","6","4","1",-0.0608573128185652,2.97815193777479e-86
"35","qP.4.0","qP","7","4","1",0.0333118894679812,2.85611546054479e-71
"36","ABQ.4.0","ABQ","8","4","1",0.190652313065313,8.11887482634171e-19
"37","qm.4.0","qm","9","4","1",0.766979131503153,1.4280577302724e-71
"38","nTau1.4.0","nTau1","10","4","1",2.11852844155331,1.0046930219256e-08
"39","nTau2.4.0","nTau2","11","4","1",2.62216503825936,1.69336283829892e-13
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3362.79570841091,2.97815193777479e-86
"42","Fo.4.0","Fo","14","4","1",3094.2106678645,2.85611546054479e-71
"43","Quant.5.0","Quant","1","5","1",0.1014448004064,5.36127114828259e-70
"44","Sigma.5.0","Sigma","2","5","1",3.62769863967686,2.55502010943436e-24
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",1058.98959375461,5.35988564107353e-12
"47","Tau2.5.0","Tau2","5","5","1",3024792.79781008,1.57695375859253e-14
"48","NPQ.5.0","NPQ","6","5","1",-0.00732597528526197,1.74077810059858e-87
"49","qP.5.0","qP","7","5","1",0.156015250349672,1.07225422965652e-69
"50","ABQ.5.0","ABQ","8","5","1",0.185398906417266,2.55502010943436e-24
"51","qm.5.0","qm","9","5","1",0.704033011780268,5.36127114828259e-70
"52","nTau1.5.0","nTau1","10","5","1",1.93997692768489,5.35988564107353e-12
"53","nTau2.5.0","nTau2","11","5","1",2.05178067048079,1.57695375859253e-14
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",3181.45223850978,1.74077810059858e-87
"56","Fo.5.0","Fo","14","5","1",2858.71045117166,1.07225422965652e-69
"57","Quant.6.0","Quant","1","6","1",0.118399623979389,4.81955201017643e-70
"58","Sigma.6.0","Sigma","2","6","1",3.58536100404698,3.02796868412488e-29
"59","Connect.6.0","Connect","3","6","1",0.0253221857110281,0.732525757765184
"60","Tau1.6.0","Tau1","4","6","1",962.386517743405,1.18480757220124e-13
"61","Tau2.6.0","Tau2","5","6","1",2455188.67235291,7.96367602224192e-15
"62","NPQ.6.0","NPQ","6","6","1",0.0469702485965012,5.07880975259573e-89
"63","qP.6.0","qP","7","6","1",0.259907770590291,9.63910402035287e-70
"64","ABQ.6.0","ABQ","8","6","1",0.194905838417239,3.02796868412488e-29
"65","qm.6.0","qm","9","6","1",0.654567016001366,4.81955201017643e-70
"66","nTau1.6.0","nTau1","10","6","1",1.76300848558653,1.18480757220124e-13
"67","nTau2.6.0","nTau2","11","6","1",1.66540619376117,7.96367602224192e-15
"68","nCon.6.0","nCon","12","6","1",0.126107176526877,0.732525757765184
"69","Fm.6.0","Fm","13","6","1",3016.4610716234,5.07880975259573e-89
"70","Fo.6.0","Fo","14","6","1",2659.31321499472,9.63910402035287e-70
"71","Quant.7.0","Quant","1","7","1",0.13228361852429,3.31030484456506e-68
"72","Sigma.7.0","Sigma","2","7","1",3.59558332125402,1.91385666504844e-29
"73","Connect.7.0","Connect","3","7","1",0.0646318741795677,0.369983093042067
"74","Tau1.7.0","Tau1","4","7","1",866.086296299701,6.46313785673273e-13
"75","Tau2.7.0","Tau2","5","7","1",2225582.85373113,1.78211834933618e-13
"76","NPQ.7.0","NPQ","6","7","1",0.0891710947217423,4.87332727207954e-87
"77","qP.7.0","qP","7","7","1",0.334569258318577,6.62060968913013e-68
"78","ABQ.7.0","ABQ","8","7","1",0.192610413244727,1.91385666504844e-29
"79","qm.7.0","qm","9","7","1",0.61406021788602,3.31030484456506e-68
"80","nTau1.7.0","nTau1","10","7","1",1.58659484674296,6.46313785673273e-13
"81","nTau2.7.0","nTau2","11","7","1",1.5096597304599,1.78211834933618e-13
"82","nCon.7.0","nCon","12","7","1",0.321873603623243,0.369983093042067
"83","Fm.7.0","Fm","13","7","1",2899.58576145105,4.87332727207954e-87
"84","Fo.7.0","Fo","14","7","1",2516.01806470479,6.62060968913013e-68
"85","Quant.8.0","Quant","1","8","1",0.137381179962162,3.33958301876591e-68
"86","Sigma.8.0","Sigma","2","8","1",3.61655719158136,3.13243359806084e-30
"87","Connect.8.0","Connect","3","8","1",0.0271768908332189,0.696431772996209
"88","Tau1.8.0","Tau1","4","8","1",894.842723192775,8.43803274193919e-16
"89","Tau2.8.0","Tau2","5","8","1",2417480.88514415,1.38277990194672e-13
"90","NPQ.8.0","NPQ","6","8","1",0.126648087710696,1.43700712442994e-87
"91","qP.8.0","qP","7","8","1",0.38562128734978,6.67916603753182e-68
"92","ABQ.8.0","ABQ","8","8","1",0.187900722776383,3.13243359806084e-30
"93","qm.8.0","qm","9","8","1",0.599187992794266,3.33958301876591e-68
"94","nTau1.8.0","nTau1","10","8","1",1.63927412236967,8.43803274193919e-16
"95","nTau2.8.0","nTau2","11","8","1",1.63982820740205,1.38277990194672e-13
"96","nCon.8.0","nCon","12","8","1",0.135343805185972,0.696431772996209
"97","Fm.8.0","Fm","13","8","1",2803.13350059151,1.43700712442994e-87
"98","Fo.8.0","Fo","14","8","1",2418.03571268878,6.67916603753182e-68
"99","Quant.9.0","Quant","1","9","1",0.138777954627975,6.14273045455687e-68
"100","Sigma.9.0","Sigma","2","9","1",3.66654979241224,1.0868928979804e-30
"101","Connect.9.0","Connect","3","9","1",0.0643138690081918,0.335015906977425
"102","Tau1.9.0","Tau1","4","9","1",892.088772793639,1.43517624315964e-15
"103","Tau2.9.0","Tau2","5","9","1",2618378.03188371,5.42406807906276e-12
"104","NPQ.9.0","NPQ","6","9","1",0.158087578154406,1.26536212083068e-87
"105","qP.9.0","qP","7","9","1",0.421808752295625,1.22854609091137e-67
"106","ABQ.9.0","ABQ","8","9","1",0.176674865462197,1.0868928979804e-30
"107","qm.9.0","qm","9","9","1",0.595112878156492,6.14273045455687e-68
"108","nTau1.9.0","nTau1","10","9","1",1.63422912450962,1.43517624315964e-15
"109","nTau2.9.0","nTau2","11","9","1",1.77610097383201,5.42406807906276e-12
"110","nCon.9.0","nCon","12","9","1",0.320289904066625,0.335015906977425
"111","Fm.9.0","Fm","13","9","1",2727.03468857875,1.26536212083068e-87
"112","Fo.9.0","Fo","14","9","1",2348.58239229825,1.22854609091137e-67
"113","Quant.10.0","Quant","1","10","1",0.2351075309571,2.37924286752596e-63
"114","Sigma.10.0","Sigma","2","10","1",4.02835220395592,6.83253290147888e-40
