"","uni","metric","metrix","stage","col","cclong2025.nah11.002","pval"
"1","Quant.1.0","Quant","1","1","1",0.347174967047173,5.10011774266109e-66
"2","Sigma.1.0","Sigma","2","1","1",4.60287195871694,1.6427409014664e-53
"3","Connect.1.0","Connect","3","1","1",0.26078264173923,1.07327134092257e-19
"4","Tau1.1.0","Tau1","4","1","1",484.813313568437,2.43393541883196e-27
"5","Tau2.1.0","Tau2","5","1","1",1623025.56617327,6.40123370718638e-18
"6","NPQ.1.0","NPQ","6","1","1",0.511811388588653,1.85046776842933e-90
"7","qP.1.0","qP","7","1","1",0.837667909178359,1.02002354853222e-65
"8","ABQ.1.0","ABQ","8","1","1",0,1.6427409014664e-53
"9","qm.1.0","qm","9","1","1",0,5.10011774266109e-66
"10","nTau1.1.0","nTau1","10","1","1",1,2.43393541883196e-27
"11","nTau2.1.0","nTau2","11","1","1",1,6.40123370718638e-18
"12","nCon.1.0","nCon","12","1","1",1,1.07327134092257e-19
"13","Fm.1.0","Fm","13","1","1",1867.70036634643,1.85046776842933e-90
"14","Fo.1.0","Fo","14","1","1",1219.28155320611,1.02002354853222e-65
"15","Quant.3.0","Quant","1","3","1",0.0642323747708655,3.35929991779831e-76
"16","Sigma.3.0","Sigma","2","3","1",4.15689624563674,5.37265908487509e-22
"17","Connect.3.0","Connect","3","3","1",0.0798478771289335,0.472062662281719
"18","Tau1.3.0","Tau1","4","3","1",338.498198029467,3.4088951285981e-08
"19","Tau2.3.0","Tau2","5","3","1",5481283.78484893,1.24357014811464e-10
"20","NPQ.3.0","NPQ","6","3","1",0.0248752880413345,5.29578797141353e-88
"21","qP.3.0","qP","7","3","1",0.128182062869372,6.71859983559133e-76
"22","ABQ.3.0","ABQ","8","3","1",0.0968907493148082,5.37265908487509e-22
"23","qm.3.0","qm","9","3","1",0.814985581140308,3.35929991779831e-76
"24","nTau1.3.0","nTau1","10","3","1",0.698203181628764,3.4088951285981e-08
"25","nTau2.3.0","nTau2","11","3","1",3.37720113539096,1.24357014811464e-10
"26","nCon.3.0","nCon","12","3","1",0.306185552061312,0.472062662281719
"27","Fm.3.0","Fm","13","3","1",2755.07734185883,5.29578797141353e-88
"28","Fo.3.0","Fo","14","3","1",2578.11218151384,6.71859983559133e-76
"29","Quant.4.0","Quant","1","4","1",0.0617973113803375,4.18916017857906e-79
"30","Sigma.4.0","Sigma","2","4","1",4.0884000359669,5.98017702716679e-22
"31","Connect.4.0","Connect","3","4","1",0.0578202857396836,0.609554777550398
"32","Tau1.4.0","Tau1","4","4","1",556.796485847338,5.84833456328456e-08
"33","Tau2.4.0","Tau2","5","4","1",4057558.31705359,2.42120937503413e-12
"34","NPQ.4.0","NPQ","6","4","1",0.0277425486987896,9.19915548945833e-91
"35","qP.4.0","qP","7","4","1",0.128444437110174,8.37832035714893e-79
"36","ABQ.4.0","ABQ","8","4","1",0.111771938773082,5.98017702716679e-22
"37","qm.4.0","qm","9","4","1",0.821999518266129,4.18916017857906e-79
"38","nTau1.4.0","nTau1","10","4","1",1.14847606339247,5.84833456328456e-08
"39","nTau2.4.0","nTau2","11","4","1",2.49999655065225,2.42120937503413e-12
"40","nCon.4.0","nCon","12","4","1",0.221718306686612,0.609554777550398
"41","Fm.4.0","Fm","13","4","1",2747.39105419802,9.19915548945833e-91
"42","Fo.4.0","Fo","14","4","1",2577.60967373819,8.37832035714893e-79
"43","Quant.5.0","Quant","1","5","1",0.0700532375764401,2.25566418199511e-79
"44","Sigma.5.0","Sigma","2","5","1",3.95137211848469,5.16633900162774e-26
"45","Connect.5.0","Connect","3","5","1",0.157204048051704,0.0781952214643593
"46","Tau1.5.0","Tau1","4","5","1",465.244810157176,8.08188530039101e-10
"47","Tau2.5.0","Tau2","5","5","1",3508333.69492358,1.82066365931725e-14
"48","NPQ.5.0","NPQ","6","5","1",0.0873503872820493,9.16633664381316e-91
"49","qP.5.0","qP","7","5","1",0.213416720150123,4.51132836398106e-79
"50","ABQ.5.0","ABQ","8","5","1",0.141542029862126,5.16633900162774e-26
"51","qm.5.0","qm","9","5","1",0.798219214443185,2.25566418199511e-79
"52","nTau1.5.0","nTau1","10","5","1",0.959637033753821,8.08188530039101e-10
"53","nTau2.5.0","nTau2","11","5","1",2.16160100496472,1.82066365931725e-14
"54","nCon.5.0","nCon","12","5","1",0.602816379967883,0.0781952214643593
"55","Fm.5.0","Fm","13","5","1",2596.78086966212,9.16633664381316e-91
"56","Fo.5.0","Fo","14","5","1",2414.86796246573,4.51132836398106e-79
"57","Quant.6.0","Quant","1","6","1",0.0848090875205779,1.16461542892817e-75
"58","Sigma.6.0","Sigma","2","6","1",4.21194581426569,3.54326993236505e-26
"59","Connect.6.0","Connect","3","6","1",0.0548029719349302,0.541091324873032
"60","Tau1.6.0","Tau1","4","6","1",801.161482340631,3.12873105645846e-09
"61","Tau2.6.0","Tau2","5","6","1",3320889.76219426,4.53148227257335e-11
"62","NPQ.6.0","NPQ","6","6","1",0.177474725352501,7.51994276431997e-90
"63","qP.6.0","qP","7","6","1",0.328399978464428,2.32923085785634e-75
"64","ABQ.6.0","ABQ","8","6","1",0.0849309187736406,3.54326993236505e-26
"65","qm.6.0","qm","9","6","1",0.755716582212409,1.16461542892817e-75
"66","nTau1.6.0","nTau1","10","6","1",1.65251543206133,3.12873105645846e-09
"67","nTau2.6.0","nTau2","11","6","1",2.04611056745346,4.53148227257335e-11
"68","nCon.6.0","nCon","12","6","1",0.21014808182567,0.541091324873032
"69","Fm.6.0","Fm","13","6","1",2398.02232992171,7.51994276431997e-90
"70","Fo.6.0","Fo","14","6","1",2194.64824426708,2.32923085785634e-75
"71","Quant.7.0","Quant","1","7","1",0.098372339463314,5.81970185647989e-75
"72","Sigma.7.0","Sigma","2","7","1",4.14056061861854,1.81915637322922e-29
"73","Connect.7.0","Connect","3","7","1",0.112642996481202,0.122655285383686
"74","Tau1.7.0","Tau1","4","7","1",821.892421301906,3.23305069149711e-10
"75","Tau2.7.0","Tau2","5","7","1",2694953.31762764,5.14208877837763e-12
"76","NPQ.7.0","NPQ","6","7","1",0.277032906334165,1.31239540924901e-89
"77","qP.7.0","qP","7","7","1",0.433392582404933,1.16394037129598e-74
