"","uni","metric","metrix","stage","col","barefoot2025.bpv19.002","pval"
"1","Quant.1.0","Quant","1","1","1",0.415083353489968,1.52379553983123e-56
"2","Sigma.1.0","Sigma","2","1","1",6.08436238973567,4.65310141047566e-51
"3","Connect.1.0","Connect","3","1","1",0.26661345137771,2.88305812626537e-16
"4","Tau1.1.0","Tau1","4","1","1",555.179608944345,2.42280317905984e-23
"5","Tau2.1.0","Tau2","5","1","1",605698.524289863,4.22426375432516e-21
"6","NPQ.1.0","NPQ","6","1","1",0.839253071509273,9.97655554640335e-86
"7","qP.1.0","qP","7","1","1",0.968847451172074,3.04759107966246e-56
"8","ABQ.1.0","ABQ","8","1","1",0,4.65310141047566e-51
"9","qm.1.0","qm","9","1","1",0,1.52379553983123e-56
"10","nTau1.1.0","nTau1","10","1","1",1,2.42280317905984e-23
"11","nTau2.1.0","nTau2","11","1","1",1,4.22426375432516e-21
"12","nCon.1.0","nCon","12","1","1",1,2.88305812626537e-16
"13","Fm.1.0","Fm","13","1","1",2096.87422176026,9.97655554640335e-86
"14","Fo.1.0","Fo","14","1","1",1226.49663794534,3.04759107966246e-56
"15","Quant.3.0","Quant","1","3","1",0.0585422274118765,2.45274603380298e-75
"16","Sigma.3.0","Sigma","2","3","1",5.03411814829852,6.7762278312172e-19
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",1950.58924313661,9.4084608910672e-05
"19","Tau2.3.0","Tau2","5","3","1",3563269.34021534,9.75209177319846e-13
"20","NPQ.3.0","NPQ","6","3","1",0.0861449067255201,2.17993621152562e-90
"21","qP.3.0","qP","7","3","1",0.189245256047593,4.90549206760596e-75
"22","ABQ.3.0","ABQ","8","3","1",0.172613689679122,6.7762278312172e-19
"23","qm.3.0","qm","9","3","1",0.858962719367903,2.45274603380298e-75
"24","nTau1.3.0","nTau1","10","3","1",3.51343819497548,9.4084608910672e-05
"25","nTau2.3.0","nTau2","11","3","1",5.88290906667308,9.75209177319846e-13
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3550.79909601399,2.17993621152562e-90
"28","Fo.3.0","Fo","14","3","1",3342.92740784125,4.90549206760596e-75
"29","Quant.4.0","Quant","1","4","1",0.0709293230835993,8.03400580714289e-77
"30","Sigma.4.0","Sigma","2","4","1",4.62273318661402,5.57992340769887e-25
"31","Connect.4.0","Connect","3","4","1",0.0381488020556876,0.6907950892643
"32","Tau1.4.0","Tau1","4","4","1",2493.23774762911,1.47529066644147e-06
"33","Tau2.4.0","Tau2","5","4","1",2770109.6416051,1.45214833019308e-13
"34","NPQ.4.0","NPQ","6","4","1",0.139999787905832,2.60884864550042e-93
"35","qP.4.0","qP","7","4","1",0.262854011119408,1.60680116142858e-76
"36","ABQ.4.0","ABQ","8","4","1",0.240227177392889,5.57992340769887e-25
"37","qm.4.0","qm","9","4","1",0.829120289967703,8.03400580714289e-77
"38","nTau1.4.0","nTau1","10","4","1",4.49086693290109,1.47529066644147e-06
"39","nTau2.4.0","nTau2","11","4","1",4.57341322542077,1.45214833019308e-13
"40","nCon.4.0","nCon","12","4","1",0.14308656168155,0.6907950892643
"41","Fm.4.0","Fm","13","4","1",3383.05532497148,2.60884864550042e-93
"42","Fo.4.0","Fo","14","4","1",3143.09750081688,1.60680116142858e-76
"43","Quant.5.0","Quant","1","5","1",0.102036573684642,1.06718958062568e-73
"44","Sigma.5.0","Sigma","2","5","1",4.94909717226709,2.39236445226573e-29
"45","Connect.5.0","Connect","3","5","1",0.0396412544237873,0.58790977500946
"46","Tau1.5.0","Tau1","4","5","1",1309.07094441784,1.97859983527049e-08
"47","Tau2.5.0","Tau2","5","5","1",1955531.27726609,6.59390230654201e-16
"48","NPQ.5.0","NPQ","6","5","1",0.218695524141542,3.32643208562395e-92
"49","qP.5.0","qP","7","5","1",0.37387813337769,2.13437916125136e-73
"50","ABQ.5.0","ABQ","8","5","1",0.186587376745306,2.39236445226573e-29
"51","qm.5.0","qm","9","5","1",0.754178111873842,1.06718958062568e-73
"52","nTau1.5.0","nTau1","10","5","1",2.35792331585628,1.97859983527049e-08
"53","nTau2.5.0","nTau2","11","5","1",3.22855545926715,6.59390230654201e-16
"54","nCon.5.0","nCon","12","5","1",0.148684375146653,0.58790977500946
"55","Fm.5.0","Fm","13","5","1",3164.59876691338,3.32643208562395e-92
"56","Fo.5.0","Fo","14","5","1",2841.6939516509,2.13437916125136e-73
"57","Quant.6.0","Quant","1","6","1",0.105782824553495,6.18933963095324e-74
"58","Sigma.6.0","Sigma","2","6","1",4.92069472540276,1.22543514186616e-30
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",1217.16261635099,1.04739376820091e-08
"61","Tau2.6.0","Tau2","5","6","1",2033208.32161126,9.08781968767763e-14
"62","NPQ.6.0","NPQ","6","6","1",0.269853338637271,5.19811344485072e-93
"63","qP.6.0","qP","7","6","1",0.420239322670054,1.23786792619065e-73
"64","ABQ.6.0","ABQ","8","6","1",0.191255482463703,1.22543514186616e-30
"65","qm.6.0","qm","9","6","1",0.745152814093635,6.18933963095324e-74
"66","nTau1.6.0","nTau1","10","6","1",2.192376299024,1.04739376820091e-08
"67","nTau2.6.0","nTau2","11","6","1",3.35679919972572,9.08781968767763e-14
"68","nCon.6.0","nCon","12","6","1",0,1
"69","Fm.6.0","Fm","13","6","1",3037.108487725,5.19811344485072e-93
"70","Fo.6.0","Fo","14","6","1",2715.83457341805,1.23786792619065e-73
"71","Quant.7.0","Quant","1","7","1",0.10950312032847,3.32066847796712e-75
"72","Sigma.7.0","Sigma","2","7","1",4.89890828187197,2.51175990691579e-34
"73","Connect.7.0","Connect","3","7","1",0.0496366856392193,0.355791335619289
"74","Tau1.7.0","Tau1","4","7","1",731.322575472303,3.72580151874477e-10
"75","Tau2.7.0","Tau2","5","7","1",1695063.91521945,1.15686014668296e-18
"76","NPQ.7.0","NPQ","6","7","1",0.315443771032453,4.380164606468e-95
"77","qP.7.0","qP","7","7","1",0.458928707162482,6.64133695593424e-75
"78","ABQ.7.0","ABQ","8","7","1",0.194836209931145,2.51175990691579e-34
"79","qm.7.0","qm","9","7","1",0.736190046149088,3.32066847796712e-75
"80","nTau1.7.0","nTau1","10","7","1",1.31727203897652,3.72580151874477e-10
"81","nTau2.7.0","nTau2","11","7","1",2.79852739810912,1.15686014668296e-18
"82","nCon.7.0","nCon","12","7","1",0.186174723678511,0.355791335619289
"83","Fm.7.0","Fm","13","7","1",2931.84888466512,4.380164606468e-95
"84","Fo.7.0","Fo","14","7","1",2610.80228346274,6.64133695593424e-75
