"","uni","metric","metrix","stage","col","cclong2025.lpv13.005","pval"
"1","Quant.1.0","Quant","1","1","1",0.368841527056028,1.68593985836759e-55
"2","Sigma.1.0","Sigma","2","1","1",5.26140055939268,3.02105116030749e-46
"3","Connect.1.0","Connect","3","1","1",0.217662268126015,1.90021460869119e-10
"4","Tau1.1.0","Tau1","4","1","1",623.411761843152,2.08789318501384e-26
"5","Tau2.1.0","Tau2","5","1","1",1164736.90024259,1.5963768037254e-21
"6","NPQ.1.0","NPQ","6","1","1",0.597974202157236,1.74122818703018e-85
"7","qP.1.0","qP","7","1","1",0.88083956728327,3.37187971673519e-55
"8","ABQ.1.0","ABQ","8","1","1",0,3.02105116030749e-46
"9","qm.1.0","qm","9","1","1",0,1.68593985836759e-55
"10","nTau1.1.0","nTau1","10","1","1",1,2.08789318501384e-26
"11","nTau2.1.0","nTau2","11","1","1",1,1.5963768037254e-21
"12","nCon.1.0","nCon","12","1","1",1,1.90021460869119e-10
"13","Fm.1.0","Fm","13","1","1",2495.35741020324,1.74122818703018e-85
"14","Fo.1.0","Fo","14","1","1",1574.9659724733,3.37187971673519e-55
"15","Quant.3.0","Quant","1","3","1",0.0777063048980042,5.57117906077434e-67
"16","Sigma.3.0","Sigma","2","3","1",4.29281787650035,1.11508490482174e-13
"17","Connect.3.0","Connect","3","3","1",0,1
"18","Tau1.3.0","Tau1","4","3","1",1508.72572566818,8.84789233390401e-07
"19","Tau2.3.0","Tau2","5","3","1",4561723.14737911,6.54616817804655e-12
"20","NPQ.3.0","NPQ","6","3","1",0.0908716100783023,4.91682465045672e-81
"21","qP.3.0","qP","7","3","1",0.224983106930884,1.11423581215486e-66
"22","ABQ.3.0","ABQ","8","3","1",0.184092176970486,1.11508490482174e-13
"23","qm.3.0","qm","9","3","1",0.789323329403198,5.57117906077434e-67
"24","nTau1.3.0","nTau1","10","3","1",2.42011110154153,8.84789233390401e-07
"25","nTau2.3.0","nTau2","11","3","1",3.91652668205928,6.54616817804655e-12
"26","nCon.3.0","nCon","12","3","1",0,1
"27","Fm.3.0","Fm","13","3","1",3655.34929117868,4.91682465045672e-81
"28","Fo.3.0","Fo","14","3","1",3371.30560464964,1.11423581215486e-66
"29","Quant.4.0","Quant","1","4","1",0.0745024307126061,1.85660223196933e-67
"30","Sigma.4.0","Sigma","2","4","1",4.20093639522814,7.94781340800387e-11
"31","Connect.4.0","Connect","3","4","1",0,1
"32","Tau1.4.0","Tau1","4","4","1",4765.82948713811,2.24498010398098e-06
"33","Tau2.4.0","Tau2","5","4","1",3870027.63360671,1.79405669874725e-10
"34","NPQ.4.0","NPQ","6","4","1",0.0631378482504607,1.78030667089641e-80
"35","qP.4.0","qP","7","4","1",0.188485886223997,3.71320446393847e-67
"36","ABQ.4.0","ABQ","8","4","1",0.201555489302442,7.94781340800387e-11
"37","qm.4.0","qm","9","4","1",0.798009645748785,1.85660223196933e-67
"38","nTau1.4.0","nTau1","10","4","1",7.64475388312801,2.24498010398098e-06
"39","nTau2.4.0","nTau2","11","4","1",3.32266251099341,1.79405669874725e-10
"40","nCon.4.0","nCon","12","4","1",0,1
"41","Fm.4.0","Fm","13","4","1",3750.7053043297,1.78030667089641e-80
"42","Fo.4.0","Fo","14","4","1",3471.26864227047,3.71320446393847e-67
"43","Quant.5.0","Quant","1","5","1",0.0909204341356526,5.6233355652347e-67
"44","Sigma.5.0","Sigma","2","5","1",4.06903576189791,6.8304171517971e-15
"45","Connect.5.0","Connect","3","5","1",0,1
"46","Tau1.5.0","Tau1","4","5","1",1907.74002039577,4.67015969787441e-08
"47","Tau2.5.0","Tau2","5","5","1",2727558.39499496,1.54007433162896e-17
"48","NPQ.5.0","NPQ","6","5","1",0.116438743723793,8.62452240077255e-81
"49","qP.5.0","qP","7","5","1",0.270402831012021,1.12466711304693e-66
"50","ABQ.5.0","ABQ","8","5","1",0.226624980180638,6.8304171517971e-15
"51","qm.5.0","qm","9","5","1",0.75349729499997,5.6233355652347e-67
"52","nTau1.5.0","nTau1","10","5","1",3.06016045439283,4.67015969787441e-08
"53","nTau2.5.0","nTau2","11","5","1",2.34178070122692,1.54007433162896e-17
"54","nCon.5.0","nCon","12","5","1",0,1
"55","Fm.5.0","Fm","13","5","1",3571.63954501133,8.62452240077255e-81
"56","Fo.5.0","Fo","14","5","1",3246.90452700283,1.12466711304693e-66
"57","Quant.6.0","Quant","1","6","1",0.107451318613007,6.50129946204746e-68
"58","Sigma.6.0","Sigma","2","6","1",3.73599245841414,1.24968918070321e-21
"59","Connect.6.0","Connect","3","6","1",0,1
"60","Tau1.6.0","Tau1","4","6","1",1372.98583779656,1.22390663349777e-10
"61","Tau2.6.0","Tau2","5","6","1",2206268.19921852,6.00765095887256e-19
"62","NPQ.6.0","NPQ","6","6","1",0.193452468506959,2.83754891794379e-83
"63","qP.6.0","qP","7","6","1",0.367067046925383,1.30025989240949e-67
"64","ABQ.6.0","ABQ","8","6","1",0.289924343102023,1.24968918070321e-21
"65","qm.6.0","qm","9","6","1",0.708678902100184,6.50129946204746e-68
"66","nTau1.6.0","nTau1","10","6","1",2.20237397147794,1.22390663349777e-10
"67","nTau2.6.0","nTau2","11","6","1",1.89422023013009,6.00765095887256e-19
"68","nCon.6.0","nCon","12","6","1",0,1
"69","Fm.6.0","Fm","13","6","1",3341.16093593167,2.83754891794379e-83
"70","Fo.6.0","Fo","14","6","1",2982.14878766754,1.30025989240949e-67
"71","Quant.7.0","Quant","1","7","1",0.115617173378024,1.55226718610886e-66
"72","Sigma.7.0","Sigma","2","7","1",3.77103895616468,1.37513047397426e-22
"73","Connect.7.0","Connect","3","7","1",0,1
"74","Tau1.7.0","Tau1","4","7","1",1430.0215716906,2.43392343443056e-10
"75","Tau2.7.0","Tau2","5","7","1",2185408.6068438,8.81080531052215e-17
"76","NPQ.7.0","NPQ","6","7","1",0.258646505745989,4.42556950348208e-83
"77","qP.7.0","qP","7","7","1",0.432909164094671,3.10453437221772e-66
"78","ABQ.7.0","ABQ","8","7","1",0.283263284443795,1.37513047397426e-22
"79","qm.7.0","qm","9","7","1",0.686539706358872,1.55226718610886e-66
"80","nTau1.7.0","nTau1","10","7","1",2.2938636375141,2.43392343443056e-10
"81","nTau2.7.0","nTau2","11","7","1",1.87631095605251,8.81080531052215e-17
"82","nCon.7.0","nCon","12","7","1",0,1
"83","Fm.7.0","Fm","13","7","1",3168.09902420005,4.42556950348208e-83
"84","Fo.7.0","Fo","14","7","1",2801.81237004036,3.10453437221772e-66
"85","Quant.8.0","Quant","1","8","1",0.117099961397043,3.77133722389226e-66
"86","Sigma.8.0","Sigma","2","8","1",3.67538531069561,8.34719861123341e-22
"87","Connect.8.0","Connect","3","8","1",0,1
"88","Tau1.8.0","Tau1","4","8","1",1276.03472972735,9.2614359945692e-10
"89","Tau2.8.0","Tau2","5","8","1",2039593.29222001,1.45302071254062e-16
"90","NPQ.8.0","NPQ","6","8","1",0.310756929641825,1.12194205777592e-81
"91","qP.8.0","qP","7","8","1",0.475224956908928,7.54267444778452e-66
"92","ABQ.8.0","ABQ","8","8","1",0.30144354735845,8.34719861123341e-22
"93","qm.8.0","qm","9","8","1",0.682519584137675,3.77133722389226e-66
"94","nTau1.8.0","nTau1","10","8","1",2.04685700179074,9.2614359945692e-10
"95","nTau2.8.0","nTau2","11","8","1",1.75111932299493,1.45302071254062e-16
"96","nCon.8.0","nCon","12","8","1",0,1
"97","Fm.8.0","Fm","13","8","1",3042.14814851773,1.12194205777592e-81
