"","uni","metric","metrix","stage","col","ASnormalized.aabr1.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.350981480329132,7.74214689477797e-64
"2","Sigma.1.0","Sigma","2","1","1",3.87008989115686,1.88748538937051e-52
"3","Connect.1.0","Connect","3","1","1",0.358810998552917,5.36907171188376e-25
"4","Tau1.1.0","Tau1","4","1","1",755.093368663361,4.18582295416858e-29
"5","Tau2.1.0","Tau2","5","1","1",1351839.08889357,6.17262544126295e-23
"6","NPQ.1.0","NPQ","6","1","1",0.63253363108183,7.40242717928519e-88
"7","qP.1.0","qP","7","1","1",1.38996627866144,1.54842937895559e-63
"8","ABQ.1.0","ABQ","8","1","1",0,1.88748538937051e-52
"9","qm.1.0","qm","9","1","1",0,7.74214689477797e-64
"10","nTau1.1.0","nTau1","10","1","1",1,4.18582295416858e-29
"11","nTau2.1.0","nTau2","11","1","1",1,6.17262544126295e-23
"12","nCon.1.0","nCon","12","1","1",1,5.36907171188376e-25
"13","Fm.1.0","Fm","13","1","1",1879.7114487799,7.40242717928519e-88
"14","Fo.1.0","Fo","14","1","1",1219.96754189552,1.54842937895559e-63
"15","Quant.3.0","Quant","1","3","1",0.0591327183067064,1.11843219110978e-81
"16","Sigma.3.0","Sigma","2","3","1",2.74684912850308,5.86574257579573e-33
"17","Connect.3.0","Connect","3","3","1",0.458694177701186,6.93244510713968e-14
"18","Tau1.3.0","Tau1","4","3","1",2228.31230310487,1.00938331783721e-09
"19","Tau2.3.0","Tau2","5","3","1",6590366.25481826,2.26866041671418e-06
"20","NPQ.3.0","NPQ","6","3","1",0.0713974701365,4.44205906139312e-92
"21","qP.3.0","qP","7","3","1",0.281090204996027,2.23686438217515e-81
"22","ABQ.3.0","ABQ","8","3","1",0.290236349605312,5.86574257579573e-33
"23","qm.3.0","qm","9","3","1",0.83152182772933,1.11843219110978e-81
"24","nTau1.3.0","nTau1","10","3","1",2.95104207715312,1.00938331783721e-09
"25","nTau2.3.0","nTau2","11","3","1",4.87511147514771,2.26866041671418e-06
"26","nCon.3.0","nCon","12","3","1",1.27837267963105,6.93244510713968e-14
"27","Fm.3.0","Fm","13","3","1",2864.19582124996,4.44205906139312e-92
"28","Fo.3.0","Fo","14","3","1",2694.82813657674,2.23686438217515e-81
"29","Quant.4.0","Quant","1","4","1",0.0438932289460371,1.07678864904529e-90
"30","Sigma.4.0","Sigma","2","4","1",2.34405563888282,7.05811548164867e-36
"31","Connect.4.0","Connect","3","4","1",0.58567887276477,1.32927928680646e-21
"32","Tau1.4.0","Tau1","4","4","1",3717.65078608054,3.98515297558261e-07
"33","Tau2.4.0","Tau2","5","4","1",5427540.55644328,1.44366685163882e-07
"34","NPQ.4.0","NPQ","6","4","1",0.0528728749969119,1.20349411636802e-97
"35","qP.4.0","qP","7","4","1",0.212047268379364,2.15357717774117e-90
"36","ABQ.4.0","ABQ","8","4","1",0.394314937170071,7.05811548164867e-36
"37","qm.4.0","qm","9","4","1",0.874941467268084,1.07678864904529e-90
"38","nTau1.4.0","nTau1","10","4","1",4.92343190970065,3.98515297558261e-07
"39","nTau2.4.0","nTau2","11","4","1",4.01493091968922,1.44366685163882e-07
"40","nCon.4.0","nCon","12","4","1",1.63227681182241,1.32927928680646e-21
"41","Fm.4.0","Fm","13","4","1",2914.58943404895,1.20349411636802e-97
"42","Fo.4.0","Fo","14","4","1",2786.65869273654,2.15357717774117e-90
"43","Quant.5.0","Quant","1","5","1",0.0381344151322773,2.59227167828557e-81
"44","Sigma.5.0","Sigma","2","5","1",2.81970917714011,3.55989780375588e-27
"45","Connect.5.0","Connect","3","5","1",0.509984449486361,6.41861641326094e-14
"46","Tau1.5.0","Tau1","4","5","1",2160.57896384341,1.21630035876799e-07
"47","Tau2.5.0","Tau2","5","5","1",8330229.29225213,8.71288090968925e-05
"48","NPQ.5.0","NPQ","6","5","1",0.0783900546019607,1.50883858259339e-96
"49","qP.5.0","qP","7","5","1",0.249302495118014,5.18454335657113e-81
"50","ABQ.5.0","ABQ","8","5","1",0.271409900947487,3.55989780375588e-27
"51","qm.5.0","qm","9","5","1",0.891349209945445,2.59227167828557e-81
"52","nTau1.5.0","nTau1","10","5","1",2.86134013819773,1.21630035876799e-07
"53","nTau2.5.0","nTau2","11","5","1",6.16214559905213,8.71288090968925e-05
"54","nCon.5.0","nCon","12","5","1",1.42131777326538,6.41861641326094e-14
"55","Fm.5.0","Fm","13","5","1",2845.6235698459,1.50883858259339e-96
"56","Fo.5.0","Fo","14","5","1",2737.1073793232,5.18454335657113e-81
"57","Quant.6.0","Quant","1","6","1",0.0385374103859225,6.48891855011234e-85
"58","Sigma.6.0","Sigma","2","6","1",2.77177537196495,2.59514812334294e-29
"59","Connect.6.0","Connect","3","6","1",0.490335552861234,1.10591453399499e-13
"60","Tau1.6.0","Tau1","4","6","1",1939.44691255788,4.94297008724211e-08
"61","Tau2.6.0","Tau2","5","6","1",15518757.7843121,0.0185640977342645
"62","NPQ.6.0","NPQ","6","6","1",0.101280517655612,3.70162244379013e-98
"63","qP.6.0","qP","7","6","1",0.29292083906022,1.29778371002243e-84
"64","ABQ.6.0","ABQ","8","6","1",0.283795609425392,2.59514812334294e-29
"65","qm.6.0","qm","9","6","1",0.890201014737917,6.48891855011234e-85
"66","nTau1.6.0","nTau1","10","6","1",2.56848622044055,4.94297008724211e-08
"67","nTau2.6.0","nTau2","11","6","1",11.4797374271916,0.0185640977342645
"68","nCon.6.0","nCon","12","6","1",1.36655664079071,1.10591453399499e-13
"69","Fm.6.0","Fm","13","6","1",2786.4763860486,3.70162244379013e-98
"70","Fo.6.0","Fo","14","6","1",2679.09280202877,1.29778371002243e-84
"71","Quant.7.0","Quant","1","7","1",0.0409716714506038,3.55696527649758e-83
"72","Sigma.7.0","Sigma","2","7","1",3.20615986522051,2.41744812417684e-28
"73","Connect.7.0","Connect","3","7","1",0.432113446168367,1.64276920241683e-10
"74","Tau1.7.0","Tau1","4","7","1",1231.17764794468,3.46282214579697e-11
"75","Tau2.7.0","Tau2","5","7","1",10374639.0383732,8.9205200591188e-05
"76","NPQ.7.0","NPQ","6","7","1",0.142280331434022,1.03976344370652e-98
"77","qP.7.0","qP","7","7","1",0.370136057654997,7.11393055299517e-83
"78","ABQ.7.0","ABQ","8","7","1",0.171554161430057,2.41744812417684e-28
"79","qm.7.0","qm","9","7","1",0.883265432090084,3.55696527649758e-83
"80","nTau1.7.0","nTau1","10","7","1",1.63049723257942,3.46282214579697e-11
"81","nTau2.7.0","nTau2","11","7","1",7.67446297685062,8.9205200591188e-05
"82","nCon.7.0","nCon","12","7","1",1.2042926440691,1.64276920241683e-10
"83","Fm.7.0","Fm","13","7","1",2686.46152123647,1.03976344370652e-98
"84","Fo.7.0","Fo","14","7","1",2576.39270242368,7.11393055299517e-83
"85","Quant.8.0","Quant","1","8","1",0.04772489692624,5.79947651167189e-84
"86","Sigma.8.0","Sigma","2","8","1",3.2870659141015,5.29785023378953e-31
"87","Connect.8.0","Connect","3","8","1",0.288870253504854,1.4937138074354e-06
"88","Tau1.8.0","Tau1","4","8","1",1698.30121792416,9.60635301194109e-13
"89","Tau2.8.0","Tau2","5","8","1",14870231.0207121,5.31380626763791e-05
"90","NPQ.8.0","NPQ","6","8","1",0.17733188535764,3.60462457797799e-100
"91","qP.8.0","qP","7","8","1",0.441040592648469,1.15989530233438e-83
"92","ABQ.8.0","ABQ","8","8","1",0.150648691232616,5.29785023378953e-31
"93","qm.8.0","qm","9","8","1",0.864024458266328,5.79947651167189e-84
"94","nTau1.8.0","nTau1","10","8","1",2.24912744357751,9.60635301194109e-13
"95","nTau2.8.0","nTau2","11","8","1",11.0000007714549,5.31380626763791e-05
"96","nCon.8.0","nCon","12","8","1",0.805076362402117,1.4937138074354e-06
"97","Fm.8.0","Fm","13","8","1",2606.48012257866,3.60462457797799e-100
"98","Fo.8.0","Fo","14","8","1",2482.0861273883,1.15989530233438e-83
"99","Quant.9.0","Quant","1","9","1",0.0492360138337688,3.10937477680266e-85
"100","Sigma.9.0","Sigma","2","9","1",3.55589251372567,7.71743586796563e-34
"101","Connect.9.0","Connect","3","9","1",0.297811993475719,8.71637376751668e-09
"102","Tau1.9.0","Tau1","4","9","1",1385.12175606822,4.97626041005296e-13
"103","Tau2.9.0","Tau2","5","9","1",13242970.3139616,0.00551657918892651
"104","NPQ.9.0","NPQ","6","9","1",0.21349925286439,1.75070169013587e-103
"105","qP.9.0","qP","7","9","1",0.499533044163852,6.21874955360532e-85
"106","ABQ.9.0","ABQ","8","9","1",0.0811860670598719,7.71743586796563e-34
"107","qm.9.0","qm","9","9","1",0.859719054727338,3.10937477680266e-85
"108","nTau1.9.0","nTau1","10","9","1",1.83437150099743,4.97626041005296e-13
"109","nTau2.9.0","nTau2","11","9","1",9.79626230870457,0.00551657918892651
"110","nCon.9.0","nCon","12","9","1",0.82999683587402,8.71637376751668e-09
