"","uni","metric","metrix","stage","col","ASnormalized.aabr6.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.351289448198542,2.29637400909359e-59
"2","Sigma.1.0","Sigma","2","1","1",4.07277343494275,2.37921076216631e-48
"3","Connect.1.0","Connect","3","1","1",0.34769848313542,1.62365932222469e-20
"4","Tau1.1.0","Tau1","4","1","1",707.140679704287,2.80396451205356e-28
"5","Tau2.1.0","Tau2","5","1","1",1350044.71018865,1.53390457100611e-22
"6","NPQ.1.0","NPQ","6","1","1",0.74817161842175,2.68671670484276e-84
"7","qP.1.0","qP","7","1","1",1.575187550914,4.59274801818719e-59
"8","ABQ.1.0","ABQ","8","1","1",0,2.37921076216631e-48
"9","qm.1.0","qm","9","1","1",0,2.29637400909359e-59
"10","nTau1.1.0","nTau1","10","1","1",1,2.80396451205356e-28
"11","nTau2.1.0","nTau2","11","1","1",1,1.53390457100611e-22
"12","nCon.1.0","nCon","12","1","1",1,1.62365932222469e-20
"13","Fm.1.0","Fm","13","1","1",1958.18852781379,2.68671670484276e-84
"14","Fo.1.0","Fo","14","1","1",1270.29756040937,4.59274801818719e-59
"15","Quant.3.0","Quant","1","3","1",0.0562149233140034,2.40665005066599e-83
"16","Sigma.3.0","Sigma","2","3","1",2.71273163975214,4.41182105257223e-34
"17","Connect.3.0","Connect","3","3","1",0.470665318982252,1.49048197182575e-15
"18","Tau1.3.0","Tau1","4","3","1",2232.91530138054,2.24963558993899e-07
"19","Tau2.3.0","Tau2","5","3","1",7881593.8357368,3.15443579899904e-06
"20","NPQ.3.0","NPQ","6","3","1",0.06425110938352,7.66096061533295e-94
"21","qP.3.0","qP","7","3","1",0.283502555105601,4.81330010125538e-83
"22","ABQ.3.0","ABQ","8","3","1",0.33393504866291,4.41182105257223e-34
"23","qm.3.0","qm","9","3","1",0.839975485736105,2.40665005066599e-83
"24","nTau1.3.0","nTau1","10","3","1",3.15766772506187,2.24963558993899e-07
"25","nTau2.3.0","nTau2","11","3","1",5.83802430856934,3.15443579899904e-06
"26","nCon.3.0","nCon","12","3","1",1.35365939689458,1.49048197182575e-15
"27","Fm.3.0","Fm","13","3","1",3216.58072766877,7.66096061533295e-94
"28","Fo.3.0","Fo","14","3","1",3035.76088872957,4.81330010125538e-83
"29","Quant.4.0","Quant","1","4","1",0.039713432319711,1.17696119168597e-89
