"","uni","metric","metrix","stage","col","ASnormalized.aglo6.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.384414958898297,2.51422218868825e-55
"2","Sigma.1.0","Sigma","2","1","1",4.94064471680912,6.76979962504241e-48
"3","Connect.1.0","Connect","3","1","1",0.32637919393218,6.41889982861499e-18
"4","Tau1.1.0","Tau1","4","1","1",779.282886732763,5.98321738498365e-29
"5","Tau2.1.0","Tau2","5","1","1",854513.350640826,3.90675528858513e-30
"6","NPQ.1.0","NPQ","6","1","1",0.815991693682869,1.95469402708846e-83
"7","qP.1.0","qP","7","1","1",1.50127309337612,5.0284443773765e-55
"8","ABQ.1.0","ABQ","8","1","1",0,6.76979962504241e-48
"9","qm.1.0","qm","9","1","1",0,2.51422218868825e-55
"10","nTau1.1.0","nTau1","10","1","1",1,5.98321738498365e-29
"11","nTau2.1.0","nTau2","11","1","1",1,3.90675528858513e-30
"12","nCon.1.0","nCon","12","1","1",1,6.41889982861499e-18
"13","Fm.1.0","Fm","13","1","1",1994.69373538585,1.95469402708846e-83
"14","Fo.1.0","Fo","14","1","1",1227.90362508281,5.0284443773765e-55
"15","Quant.3.0","Quant","1","3","1",0.0590484643044324,8.51588778980783e-87
"16","Sigma.3.0","Sigma","2","3","1",3.07121277581067,1.90795084827641e-38
"17","Connect.3.0","Connect","3","3","1",0.380707892133794,2.13443671446637e-15
"18","Tau1.3.0","Tau1","4","3","1",2558.68177424738,1.42446850004654e-06
"19","Tau2.3.0","Tau2","5","3","1",4529404.06753142,5.53000366776252e-09
"20","NPQ.3.0","NPQ","6","3","1",0.0958141781373339,2.19574028369468e-100
"21","qP.3.0","qP","7","3","1",0.320962959114631,1.70317755796154e-86
"22","ABQ.3.0","ABQ","8","3","1",0.378378136488593,1.90795084827641e-38
"23","qm.3.0","qm","9","3","1",0.846393947640174,8.51588778980783e-87
"24","nTau1.3.0","nTau1","10","3","1",3.2833799096692,1.42446850004654e-06
"25","nTau2.3.0","nTau2","11","3","1",5.30056559576826,5.53000366776252e-09
"26","nCon.3.0","nCon","12","3","1",1.16645882829438,2.13443671446637e-15
"27","Fm.3.0","Fm","13","3","1",3305.62181724937,2.19574028369468e-100
"28","Fo.3.0","Fo","14","3","1",3110.42992536957,1.70317755796154e-86
"29","Quant.4.0","Quant","1","4","1",0.0435059805260127,2.27780806434124e-84
"30","Sigma.4.0","Sigma","2","4","1",2.99683906175212,8.51321588062053e-30
"31","Connect.4.0","Connect","3","4","1",0.395597227120296,1.20276143068914e-09
"32","Tau1.4.0","Tau1","4","4","1",4708.06680870484,2.37710374134167e-06
"33","Tau2.4.0","Tau2","5","4","1",4220336.08170483,1.13429183216529e-09
"34","NPQ.4.0","NPQ","6","4","1",0.0613770391279343,2.20999709412015e-98
"35","qP.4.0","qP","7","4","1",0.224429870768403,4.55561612868246e-84
"36","ABQ.4.0","ABQ","8","4","1",0.393431579575792,8.51321588062053e-30
"37","qm.4.0","qm","9","4","1",0.886825474610308,2.27780806434124e-84
"38","nTau1.4.0","nTau1","10","4","1",6.04153753259484,2.37710374134167e-06
"39","nTau2.4.0","nTau2","11","4","1",4.93887670513266,1.13429183216529e-09
"40","nCon.4.0","nCon","12","4","1",1.21207857141316,1.20276143068914e-09
"41","Fm.4.0","Fm","13","4","1",3412.87508713983,2.20999709412015e-98
"42","Fo.4.0","Fo","14","4","1",3264.39461006101,4.55561612868246e-84
"43","Quant.5.0","Quant","1","5","1",0.0418464599210101,1.30215517612173e-82
"44","Sigma.5.0","Sigma","2","5","1",3.19057550333095,2.38863828954171e-29
"45","Connect.5.0","Connect","3","5","1",0.416410489075045,3.44209302224475e-11
"46","Tau1.5.0","Tau1","4","5","1",2476.28715958252,1.06840968009045e-08
"47","Tau2.5.0","Tau2","5","5","1",4714663.01355557,3.00514803567332e-11
"48","NPQ.5.0","NPQ","6","5","1",0.0749788192586529,1.87079073482367e-99
"49","qP.5.0","qP","7","5","1",0.24682098743967,2.60431035224346e-82
"50","ABQ.5.0","ABQ","8","5","1",0.354218794062254,2.38863828954171e-29
"51","qm.5.0","qm","9","5","1",0.891142477803312,1.30215517612173e-82
"52","nTau1.5.0","nTau1","10","5","1",3.17764858146013,1.06840968009045e-08
"53","nTau2.5.0","nTau2","11","5","1",5.51736612426231,3.00514803567332e-11
"54","nCon.5.0","nCon","12","5","1",1.27584875756993,3.44209302224475e-11
"55","Fm.5.0","Fm","13","5","1",3369.6917464849,1.87079073482367e-99
"56","Fo.5.0","Fo","14","5","1",3228.68207586946,2.60431035224346e-82
"57","Quant.6.0","Quant","1","6","1",0.0437675107392636,1.96414337177193e-87
"58","Sigma.6.0","Sigma","2","6","1",3.67574204845916,8.37843892698516e-33
"59","Connect.6.0","Connect","3","6","1",0.262545687569204,1.65530998379743e-06
"60","Tau1.6.0","Tau1","4","6","1",1834.6015120526,1.35113219555596e-08
"61","Tau2.6.0","Tau2","5","6","1",8282573.54036651,5.96031942927448e-05
"62","NPQ.6.0","NPQ","6","6","1",0.0907397928554321,2.52905785318699e-105
"63","qP.6.0","qP","7","6","1",0.280072117091808,3.92828674354386e-87
"64","ABQ.6.0","ABQ","8","6","1",0.256019758726324,8.37843892698516e-33
"65","qm.6.0","qm","9","6","1",0.886145141529617,1.96414337177193e-87
"66","nTau1.6.0","nTau1","10","6","1",2.35421763173113,1.35113219555596e-08
"67","nTau2.6.0","nTau2","11","6","1",9.69273743254586,5.96031942927448e-05
"68","nCon.6.0","nCon","12","6","1",0.804419192308442,1.65530998379743e-06
"69","Fm.6.0","Fm","13","6","1",3321.0003693173,2.52905785318699e-105
"70","Fo.6.0","Fo","14","6","1",3175.6484499881,3.92828674354386e-87
"71","Quant.7.0","Quant","1","7","1",0.0454929751745899,1.87685177671454e-80
"72","Sigma.7.0","Sigma","2","7","1",4.07310988887301,2.70935883898828e-28
"73","Connect.7.0","Connect","3","7","1",0.293215115891777,7.17231982491098e-06
"74","Tau1.7.0","Tau1","4","7","1",1561.22718357895,9.93197934738105e-16
"75","Tau2.7.0","Tau2","5","7","1",8192077.37888955,4.27501901514833e-08
"76","NPQ.7.0","NPQ","6","7","1",0.110209995037921,8.33097445117287e-101
"77","qP.7.0","qP","7","7","1",0.318520163194877,3.75370355342908e-80
"78","ABQ.7.0","ABQ","8","7","1",0.175591421294588,2.70935883898828e-28
"79","qm.7.0","qm","9","7","1",0.881656594985353,1.87685177671454e-80
"80","nTau1.7.0","nTau1","10","7","1",2.00341520410461,9.93197934738105e-16
"81","nTau2.7.0","nTau2","11","7","1",9.58683369048133,4.27501901514833e-08
"82","nCon.7.0","nCon","12","7","1",0.898387891578364,7.17231982491098e-06
"83","Fm.7.0","Fm","13","7","1",3262.75864124087,8.33097445117287e-101
"84","Fo.7.0","Fo","14","7","1",3114.32604337422,3.75370355342908e-80
"85","Quant.8.0","Quant","1","8","1",0.0552836113249762,1.29573250132576e-81
"86","Sigma.8.0","Sigma","2","8","1",4.20338316608684,3.18635235189217e-32
"87","Connect.8.0","Connect","3","8","1",0.223377509824274,4.52685768451972e-05
"88","Tau1.8.0","Tau1","4","8","1",1853.48118108684,2.32728872950151e-11
"89","Tau2.8.0","Tau2","5","8","1",11140568.7697832,3.73449819296878e-05
"90","NPQ.8.0","NPQ","6","8","1",0.136208368168926,2.07135320923478e-102
"91","qP.8.0","qP","7","8","1",0.382769892505094,2.59146500265152e-81
"92","ABQ.8.0","ABQ","8","8","1",0.149223753777308,3.18635235189217e-32
"93","qm.8.0","qm","9","8","1",0.856187668962169,1.29573250132576e-81
"94","nTau1.8.0","nTau1","10","8","1",2.37844460932253,2.32728872950151e-11
"95","nTau2.8.0","nTau2","11","8","1",13.0373255858771,3.73449819296878e-05
"96","nCon.8.0","nCon","12","8","1",0.684410997934786,4.52685768451972e-05
"97","Fm.8.0","Fm","13","8","1",3188.1011937446,2.07135320923478e-102
"98","Fo.8.0","Fo","14","8","1",3011.85144648493,2.59146500265152e-81
"99","Quant.9.0","Quant","1","9","1",0.0516548692598972,4.43417604388229e-78
"100","Sigma.9.0","Sigma","2","9","1",4.48481802223434,6.63174560887383e-28
"101","Connect.9.0","Connect","3","9","1",0.243993179417938,0.000299943473085296
"102","Tau1.9.0","Tau1","4","9","1",1901.11532076668,1.09310408024095e-19
"103","Tau2.9.0","Tau2","5","9","1",11365231.0422714,5.35170235557128e-05
"104","NPQ.9.0","NPQ","6","9","1",0.163495259123415,1.00088725995331e-99
"105","qP.9.0","qP","7","9","1",0.419973760212619,8.86835208776458e-78
"106","ABQ.9.0","ABQ","8","9","1",0.0922605693592912,6.63174560887383e-28
"107","qm.9.0","qm","9","9","1",0.865627317396971,4.43417604388229e-78
"108","nTau1.9.0","nTau1","10","9","1",2.43957021658377,1.09310408024095e-19
"109","nTau2.9.0","nTau2","11","9","1",13.3002381223749,5.35170235557128e-05
"110","nCon.9.0","nCon","12","9","1",0.747575776747088,0.000299943473085296
"111","Fm.9.0","Fm","13","9","1",3113.33220010803,1.00088725995331e-99
"112","Fo.9.0","Fo","14","9","1",2952.51343234882,8.86835208776458e-78
"113","Quant.10.0","Quant","1","10","1",0.0978146245628644,2.32450429894383e-74
"114","Sigma.10.0","Sigma","2","10","1",5.51888381196977,8.13078485227093e-36
"115","Connect.10.0","Connect","3","10","1",0.257538003530331,1.55909667184407e-07
"116","Tau1.10.0","Tau1","4","10","1",2274.6495309817,4.99243102694876e-20
"117","Tau2.10.0","Tau2","5","10","1",5386430.30361428,9.05990678638882e-07
"118","NPQ.10.0","NPQ","6","10","1",0.191325619077205,8.8974875330758e-99
