"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.399938172343606,1.50936790293847e-57
"2","Sigma.1.0","Sigma","2","1","1",4.24028694871964,2.7050254603611e-50
"3","Connect.1.0","Connect","3","1","1",0.325513222132136,1.70426901231198e-20
"4","Tau1.1.0","Tau1","4","1","1",790.319006003438,9.14023171556046e-28
"5","Tau2.1.0","Tau2","5","1","1",924463.838479179,1.96316199794037e-24
"6","NPQ.1.0","NPQ","6","1","1",0.857681041825041,6.24421773261005e-84
"7","qP.1.0","qP","7","1","1",1.48464979507461,3.01873580587693e-57
"8","ABQ.1.0","ABQ","8","1","1",0,2.7050254603611e-50
"9","qm.1.0","qm","9","1","1",0,1.50936790293847e-57
"10","nTau1.1.0","nTau1","10","1","1",1,9.14023171556046e-28
"11","nTau2.1.0","nTau2","11","1","1",1,1.96316199794037e-24
"12","nCon.1.0","nCon","12","1","1",1,1.70426901231198e-20
"13","Fm.1.0","Fm","13","1","1",1805.98469482994,6.24421773261005e-84
"14","Fo.1.0","Fo","14","1","1",1083.70247669913,3.01873580587693e-57
"15","Quant.3.0","Quant","1","3","1",0.0453345243554341,7.707026156527e-82
"16","Sigma.3.0","Sigma","2","3","1",2.75190196049397,8.1736161007961e-31
"17","Connect.3.0","Connect","3","3","1",0.508916440127603,3.91160950199411e-16
"18","Tau1.3.0","Tau1","4","3","1",4906.13063497938,7.08502038223852e-06
"19","Tau2.3.0","Tau2","5","3","1",5345786.09507995,1.04666797008219e-07
"20","NPQ.3.0","NPQ","6","3","1",0.0913199454766536,2.52567356985124e-94
"21","qP.3.0","qP","7","3","1",0.274610890626019,1.54140523130515e-81
"22","ABQ.3.0","ABQ","8","3","1",0.351010440148418,8.1736161007961e-31
"23","qm.3.0","qm","9","3","1",0.886646168106992,7.707026156527e-82
"24","nTau1.3.0","nTau1","10","3","1",6.2077852078861,7.08502038223852e-06
"25","nTau2.3.0","nTau2","11","3","1",5.78257999131066,1.04666797008219e-07
"26","nCon.3.0","nCon","12","3","1",1.56342785953259,3.91160950199411e-16
"27","Fm.3.0","Fm","13","3","1",3074.20710426623,2.52567356985124e-94
"28","Fo.3.0","Fo","14","3","1",2934.83938742423,1.54140523130515e-81
"29","Quant.4.0","Quant","1","4","1",0.0478512877054795,1.31381289536607e-84
"30","Sigma.4.0","Sigma","2","4","1",2.60783241956225,5.6948853377095e-33
"31","Connect.4.0","Connect","3","4","1",0.559567256448347,6.25741997107418e-20
"32","Tau1.4.0","Tau1","4","4","1",3059.39245695756,4.05792486486748e-05
"33","Tau2.4.0","Tau2","5","4","1",3953038.82170424,3.22494824709094e-11
"34","NPQ.4.0","NPQ","6","4","1",0.128389678655414,2.141351618873e-96
"35","qP.4.0","qP","7","4","1",0.342526177636951,2.62762579073e-84
"36","ABQ.4.0","ABQ","8","4","1",0.384986806058091,5.6948853377095e-33
"37","qm.4.0","qm","9","4","1",0.880353287046658,1.31381289536607e-84
"38","nTau1.4.0","nTau1","10","4","1",3.87108551574458,4.05792486486748e-05
"39","nTau2.4.0","nTau2","11","4","1",4.27603401795285,3.22494824709094e-11
"40","nCon.4.0","nCon","12","4","1",1.71903080551733,6.25741997107418e-20
"41","Fm.4.0","Fm","13","4","1",2973.21359178817,2.141351618873e-96
"42","Fo.4.0","Fo","14","4","1",2830.94149279768,2.62762579073e-84
"43","Quant.5.0","Quant","1","5","1",0.0525564661603218,6.17256040077604e-81
