"","uni","metric","metrix","stage","col","ASnormalized.ahya5.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.386953639523494,2.06987857490239e-59
"2","Sigma.1.0","Sigma","2","1","1",4.29184488159164,3.20885341362907e-51
"3","Connect.1.0","Connect","3","1","1",0.33561865955913,6.92512473771714e-22
"4","Tau1.1.0","Tau1","4","1","1",807.311515374387,1.41106543066005e-30
"5","Tau2.1.0","Tau2","5","1","1",866330.159749269,2.05146746394089e-33
"6","NPQ.1.0","NPQ","6","1","1",0.775547443786205,2.1138067600976e-85
"7","qP.1.0","qP","7","1","1",1.410213814858,4.13975714980478e-59
"8","ABQ.1.0","ABQ","8","1","1",0,3.20885341362907e-51
"9","qm.1.0","qm","9","1","1",0,2.06987857490239e-59
"10","nTau1.1.0","nTau1","10","1","1",1,1.41106543066005e-30
"11","nTau2.1.0","nTau2","11","1","1",1,2.05146746394089e-33
"12","nCon.1.0","nCon","12","1","1",1,6.92512473771714e-22
"13","Fm.1.0","Fm","13","1","1",1926.85283596563,2.1138067600976e-85
"14","Fo.1.0","Fo","14","1","1",1181.25011826256,4.13975714980478e-59
"15","Quant.3.0","Quant","1","3","1",0.0335120967488106,1.97116682840679e-84
"16","Sigma.3.0","Sigma","2","3","1",2.86307620204829,8.07248652235274e-28
"17","Connect.3.0","Connect","3","3","1",0.588480844407743,4.54571569469272e-17
"18","Tau1.3.0","Tau1","4","3","1",6907.55841954876,0.000351681590179432
"19","Tau2.3.0","Tau2","5","3","1",8274757.72362293,1.25481466157403e-06
"20","NPQ.3.0","NPQ","6","3","1",0.0426678941860514,7.71416358082577e-97
"21","qP.3.0","qP","7","3","1",0.157368858887173,3.94233365681281e-84
"22","ABQ.3.0","ABQ","8","3","1",0.332903149801978,8.07248652235274e-28
"23","qm.3.0","qm","9","3","1",0.913395059960986,1.97116682840679e-84
"24","nTau1.3.0","nTau1","10","3","1",8.55624909096634,0.000351681590179432
"25","nTau2.3.0","nTau2","11","3","1",9.55150600553695,1.25481466157403e-06
"26","nCon.3.0","nCon","12","3","1",1.75342111544327,4.54571569469272e-17
"27","Fm.3.0","Fm","13","3","1",3281.21604830052,7.71416358082577e-97
"28","Fo.3.0","Fo","14","3","1",3171.25561863612,3.94233365681281e-84
"29","Quant.4.0","Quant","1","4","1",0.0354881128935138,2.05816161692739e-82
"30","Sigma.4.0","Sigma","2","4","1",2.46226892598817,5.75716706517434e-26
"31","Connect.4.0","Connect","3","4","1",0.596120213109561,1.37604179861614e-15
"32","Tau1.4.0","Tau1","4","4","1",5149.42775835487,0.00122070676397171
"33","Tau2.4.0","Tau2","5","4","1",5439321.20025702,1.59550841544181e-07
"34","NPQ.4.0","NPQ","6","4","1",0.0681777125961372,5.7828364608733e-93
"35","qP.4.0","qP","7","4","1",0.209033541275895,4.11632323379695e-82
"36","ABQ.4.0","ABQ","8","4","1",0.426291258440116,5.75716706517434e-26
"37","qm.4.0","qm","9","4","1",0.908288463348698,2.05816161692739e-82
"38","nTau1.4.0","nTau1","10","4","1",6.37848917089563,0.00122070676397171
"39","nTau2.4.0","nTau2","11","4","1",6.27857767508782,1.59550841544181e-07
"40","nCon.4.0","nCon","12","4","1",1.77618316541943,1.37604179861614e-15
"41","Fm.4.0","Fm","13","4","1",3202.85528064046,5.7828364608733e-93
"42","Fo.4.0","Fo","14","4","1",3089.1919908595,4.11632323379695e-82
"43","Quant.5.0","Quant","1","5","1",0.0386602868200567,2.42604023304808e-78
"44","Sigma.5.0","Sigma","2","5","1",3.73548036883459,7.15293376055178e-21
"45","Connect.5.0","Connect","3","5","1",0.312667557850035,0.00278953769503534
"46","Tau1.5.0","Tau1","4","5","1",5341.15100357504,1.37630752675938e-07
"47","Tau2.5.0","Tau2","5","5","1",6514549.09807977,3.10231937048725e-05
"48","NPQ.5.0","NPQ","6","5","1",0.0935800116952645,1.03355062552524e-94
"49","qP.5.0","qP","7","5","1",0.260457661679461,4.85208046609616e-78
"50","ABQ.5.0","ABQ","8","5","1",0.129632949956645,7.15293376055178e-21
"51","qm.5.0","qm","9","5","1",0.900090649444042,2.42604023304808e-78
"52","nTau1.5.0","nTau1","10","5","1",6.61597277117756,1.37630752675938e-07
"53","nTau2.5.0","nTau2","11","5","1",7.51970715179209,3.10231937048725e-05
"54","nCon.5.0","nCon","12","5","1",0.931615537290914,0.00278953769503534
"55","Fm.5.0","Fm","13","5","1",3128.45753476,1.03355062552524e-94
"56","Fo.5.0","Fo","14","5","1",3007.51046916181,4.85208046609616e-78
"57","Quant.6.0","Quant","1","6","1",0.0397318273843119,1.32563901098452e-85
"58","Sigma.6.0","Sigma","2","6","1",3.14758854646551,3.81529127376065e-29
"59","Connect.6.0","Connect","3","6","1",0.415767469387073,7.03642658831671e-10
"60","Tau1.6.0","Tau1","4","6","1",2782.02124319202,4.38129322756514e-06
"61","Tau2.6.0","Tau2","5","6","1",5376694.95242605,9.43958419291065e-09
"62","NPQ.6.0","NPQ","6","6","1",0.12730985497421,1.5599066377461e-99
"63","qP.6.0","qP","7","6","1",0.319157777169697,2.65127802196902e-85
"64","ABQ.6.0","ABQ","8","6","1",0.266611764100331,3.81529127376065e-29
