"","uni","metric","metrix","stage","col","ASnormalized.icra2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.27726531103637,3.28078777423079e-64
"2","Sigma.1.0","Sigma","2","1","1",5.23338978031473,3.11159770139733e-47
"3","Connect.1.0","Connect","3","1","1",0.251837435621976,2.5779011011237e-13
"4","Tau1.1.0","Tau1","4","1","1",803.77543951091,3.15579315374519e-27
"5","Tau2.1.0","Tau2","5","1","1",2137342.71840091,5.93285422351618e-17
"6","NPQ.1.0","NPQ","6","1","1",0.410644093430819,5.09290300299922e-90
"7","qP.1.0","qP","7","1","1",1.27736191874728,6.56157554846159e-64
"8","ABQ.1.0","ABQ","8","1","1",0,3.11159770139733e-47
"9","qm.1.0","qm","9","1","1",0,3.28078777423079e-64
"10","nTau1.1.0","nTau1","10","1","1",1,3.15579315374519e-27
"11","nTau2.1.0","nTau2","11","1","1",1,5.93285422351618e-17
"12","nCon.1.0","nCon","12","1","1",1,2.5779011011237e-13
"13","Fm.1.0","Fm","13","1","1",1809.39762929405,5.09290300299922e-90
"14","Fo.1.0","Fo","14","1","1",1307.71443281936,6.56157554846159e-64
"15","Quant.3.0","Quant","1","3","1",0.0410055874582959,6.5222682166835e-83
"16","Sigma.3.0","Sigma","2","3","1",3.21004724589882,2.00749267647308e-27
"17","Connect.3.0","Connect","3","3","1",0.341220943962906,3.02080553489638e-06
"18","Tau1.3.0","Tau1","4","3","1",3802.29031081497,2.33372276114398e-05
"19","Tau2.3.0","Tau2","5","3","1",7039522.86350049,7.38442817452149e-05
"20","NPQ.3.0","NPQ","6","3","1",-0.00689455367451543,6.19054880902934e-96
"21","qP.3.0","qP","7","3","1",0.0899704081223931,1.30445364333664e-82
"22","ABQ.3.0","ABQ","8","3","1",0.386621791869329,2.00749267647308e-27
"23","qm.3.0","qm","9","3","1",0.852107040346937,6.5222682166835e-83
"24","nTau1.3.0","nTau1","10","3","1",4.73053806312946,2.33372276114398e-05
"25","nTau2.3.0","nTau2","11","3","1",3.29358637849489,7.38442817452149e-05
"26","nCon.3.0","nCon","12","3","1",1.35492542290297,3.02080553489638e-06
"27","Fm.3.0","Fm","13","3","1",2570.13601916632,6.19054880902934e-96
"28","Fo.3.0","Fo","14","3","1",2464.74608185268,1.30445364333664e-82
"29","Quant.4.0","Quant","1","4","1",0.0475297446345899,1.82513731540335e-80
"30","Sigma.4.0","Sigma","2","4","1",3.15805067617346,1.18949925496918e-28
"31","Connect.4.0","Connect","3","4","1",0.390021900105012,3.02674949499935e-09
"32","Tau1.4.0","Tau1","4","4","1",1935.02347320399,1.91631146768882e-07
"33","Tau2.4.0","Tau2","5","4","1",5118786.35033293,1.29135720962955e-09
"34","NPQ.4.0","NPQ","6","4","1",0.0281086981420953,4.16775898943346e-96
"35","qP.4.0","qP","7","4","1",0.192709763451091,3.6502746308067e-80
"36","ABQ.4.0","ABQ","8","4","1",0.396557334970081,1.18949925496918e-28
"37","qm.4.0","qm","9","4","1",0.828576663784835,1.82513731540335e-80
"38","nTau1.4.0","nTau1","10","4","1",2.40741801513795,1.91631146768882e-07
"39","nTau2.4.0","nTau2","11","4","1",2.39493007193654,1.29135720962955e-09
"40","nCon.4.0","nCon","12","4","1",1.54870501735278,3.02674949499935e-09
"41","Fm.4.0","Fm","13","4","1",2482.63251059335,4.16775898943346e-96
"42","Fo.4.0","Fo","14","4","1",2364.63362134332,3.6502746308067e-80
"43","Quant.5.0","Quant","1","5","1",0.0548756876359392,5.35889780224706e-79
"44","Sigma.5.0","Sigma","2","5","1",4.17355562769041,1.19477029171822e-28
"45","Connect.5.0","Connect","3","5","1",0.256321198773098,0.000136088929659163
"46","Tau1.5.0","Tau1","4","5","1",1739.75540429919,2.81649052583043e-14
"47","Tau2.5.0","Tau2","5","5","1",9793448.82681444,2.64295906639202e-07
"48","NPQ.5.0","NPQ","6","5","1",0.0817883876131931,1.60699574211556e-98
"49","qP.5.0","qP","7","5","1",0.330911777480655,1.07177956044941e-78
"50","ABQ.5.0","ABQ","8","5","1",0.202513895794817,1.19477029171822e-28
"51","qm.5.0","qm","9","5","1",0.80208239021743,5.35889780224706e-79
"52","nTau1.5.0","nTau1","10","5","1",2.16447942892832,2.81649052583043e-14
"53","nTau2.5.0","nTau2","11","5","1",4.5820676031505,2.64295906639202e-07
"54","nCon.5.0","nCon","12","5","1",1.01780419634614,0.000136088929659163
"55","Fm.5.0","Fm","13","5","1",2359.44118799695,1.60699574211556e-98
"56","Fo.5.0","Fo","14","5","1",2229.96523036906,1.07177956044941e-78
"57","Quant.6.0","Quant","1","6","1",0.0586619412367773,9.44684955254939e-84
"58","Sigma.6.0","Sigma","2","6","1",3.64309155530514,7.44702865242913e-35
"59","Connect.6.0","Connect","3","6","1",0.283810238513631,1.63340613959845e-08
"60","Tau1.6.0","Tau1","4","6","1",1343.45525361039,3.47938929132799e-14
"61","Tau2.6.0","Tau2","5","6","1",13014056.552073,0.000128214749335106
"62","NPQ.6.0","NPQ","6","6","1",0.133814286478167,1.15056129032711e-101
"63","qP.6.0","qP","7","6","1",0.444667456363102,1.88936991050988e-83
"64","ABQ.6.0","ABQ","8","6","1",0.303875364107496,7.44702865242913e-35
"65","qm.6.0","qm","9","6","1",0.788426684111658,9.44684955254939e-84
"66","nTau1.6.0","nTau1","10","6","1",1.67143108332332,3.47938929132799e-14
"67","nTau2.6.0","nTau2","11","6","1",6.08889554306465,0.000128214749335106
"68","nCon.6.0","nCon","12","6","1",1.12695810220863,1.63340613959845e-08
"69","Fm.6.0","Fm","13","6","1",2251.17650118843,1.15056129032711e-101
"70","Fo.6.0","Fo","14","6","1",2119.1181175621,1.88936991050988e-83
"71","Quant.7.0","Quant","1","7","1",0.0586803167355708,1.96443897122547e-79
"72","Sigma.7.0","Sigma","2","7","1",3.7072405227185,1.96997778736993e-30
"73","Connect.7.0","Connect","3","7","1",0.211819824421824,0.000488525151878845
"74","Tau1.7.0","Tau1","4","7","1",1117.22304908661,6.22123852496262e-15
"75","Tau2.7.0","Tau2","5","7","1",9421379.19004596,0.000116290171605804
"76","NPQ.7.0","NPQ","6","7","1",0.15959787055831,7.60256960595776e-98
"77","qP.7.0","qP","7","7","1",0.493063781275385,3.92887794245095e-79
"78","ABQ.7.0","ABQ","8","7","1",0.291617731845008,1.96997778736993e-30
"79","qm.7.0","qm","9","7","1",0.788360410048289,1.96443897122547e-79
"80","nTau1.7.0","nTau1","10","7","1",1.38996913088864,6.22123852496262e-15
"81","nTau2.7.0","nTau2","11","7","1",4.40798712763048,0.000116290171605804
"82","nCon.7.0","nCon","12","7","1",0.841097448036991,0.000488525151878845
"83","Fm.7.0","Fm","13","7","1",2201.12173645375,7.60256960595776e-98
"84","Fo.7.0","Fo","14","7","1",2071.95921578509,3.92887794245095e-79
"85","Quant.8.0","Quant","1","8","1",0.0606118052233015,1.26870705440254e-78
"86","Sigma.8.0","Sigma","2","8","1",4.03653093987531,8.02458334300742e-31
"87","Connect.8.0","Connect","3","8","1",0.351887300115833,5.8158674612087e-09
"88","Tau1.8.0","Tau1","4","8","1",1495.65349709839,5.48753776060622e-15
"89","Tau2.8.0","Tau2","5","8","1",8592219.67131062,3.69666508766036e-07
"90","NPQ.8.0","NPQ","6","8","1",0.1774312049696,7.04787916924098e-98
"91","qP.8.0","qP","7","8","1",0.529565964045743,2.53741410880509e-78
"92","ABQ.8.0","ABQ","8","8","1",0.228696674752064,8.02458334300742e-31
"93","qm.8.0","qm","9","8","1",0.781394199668379,1.26870705440254e-78
"94","nTau1.8.0","nTau1","10","8","1",1.86078526859254,5.48753776060622e-15
"95","nTau2.8.0","nTau2","11","8","1",4.02004769629975,3.69666508766036e-07
"96","nCon.8.0","nCon","12","8","1",1.39727955554645,5.8158674612087e-09
"97","Fm.8.0","Fm","13","8","1",2167.78361882916,7.04787916924098e-98
"98","Fo.8.0","Fo","14","8","1",2036.39034035842,2.53741410880509e-78
"99","Quant.9.0","Quant","1","9","1",0.0687057595864185,9.76937854473351e-82
"100","Sigma.9.0","Sigma","2","9","1",4.1106867982098,1.91016559983197e-34
"101","Connect.9.0","Connect","3","9","1",0.207252495339385,4.90425072457063e-05
"102","Tau1.9.0","Tau1","4","9","1",1331.50680663359,1.23352114627132e-16
"103","Tau2.9.0","Tau2","5","9","1",9838523.43435707,0.000409028331949139
"104","NPQ.9.0","NPQ","6","9","1",0.188418214270163,6.01023664783811e-101
"105","qP.9.0","qP","7","9","1",0.566726400973771,1.9538757089467e-81
"106","ABQ.9.0","ABQ","8","9","1",0.214526918351839,1.91016559983197e-34
"107","qm.9.0","qm","9","9","1",0.752202108047313,9.76937854473351e-82
"108","nTau1.9.0","nTau1","10","9","1",1.65656567889634,1.23352114627132e-16
"109","nTau2.9.0","nTau2","11","9","1",4.60315669062093,0.000409028331949139
"110","nCon.9.0","nCon","12","9","1",0.822961426793132,4.90425072457063e-05
"111","Fm.9.0","Fm","13","9","1",2147.74230803831,6.01023664783811e-101
"112","Fo.9.0","Fo","14","9","1",2000.18004136865,1.9538757089467e-81
"113","Quant.10.0","Quant","1","10","1",0.0982142621338482,8.25431284675874e-75
"114","Sigma.10.0","Sigma","2","10","1",4.93278529581849,8.23018775150056e-37
"115","Connect.10.0","Connect","3","10","1",0.320846070309262,5.88015545981733e-11
"116","Tau1.10.0","Tau1","4","10","1",1236.99747272694,2.22406453348496e-17
"117","Tau2.10.0","Tau2","5","10","1",4329362.01358738,1.5551628773946e-07
"118","NPQ.10.0","NPQ","6","10","1",0.212389407325912,2.67396162207169e-97
"119","qP.10.0","qP","7","10","1",0.671065051192365,1.65086256935175e-74
