"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo12.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.3782498857114,2.0630624443614e-56
"2","Sigma.1.0","Sigma","2","1","1",4.60974548738346,3.78788667210169e-48
"3","Connect.1.0","Connect","3","1","1",0.330516616264095,1.27650756083127e-18
"4","Tau1.1.0","Tau1","4","1","1",676.348278504029,1.29600561836835e-27
"5","Tau2.1.0","Tau2","5","1","1",768383.762475198,3.35725720388547e-29
"6","NPQ.1.0","NPQ","6","1","1",0.732732949480987,1.7049286816376e-83
"7","qP.1.0","qP","7","1","1",1.40008162716032,4.12612488872281e-56
"8","ABQ.1.0","ABQ","8","1","1",0,3.78788667210169e-48
"9","qm.1.0","qm","9","1","1",0,2.0630624443614e-56
"10","nTau1.1.0","nTau1","10","1","1",1,1.29600561836835e-27
"11","nTau2.1.0","nTau2","11","1","1",1,3.35725720388547e-29
"12","nCon.1.0","nCon","12","1","1",1,1.27650756083127e-18
"13","Fm.1.0","Fm","13","1","1",1968.76405793691,1.7049286816376e-83
"14","Fo.1.0","Fo","14","1","1",1224.07927802956,4.12612488872281e-56
"15","Quant.3.0","Quant","1","3","1",0.0570577914158947,6.37275482080848e-81
"16","Sigma.3.0","Sigma","2","3","1",3.2209724644787,6.83736453536737e-33
"17","Connect.3.0","Connect","3","3","1",0.328200905703333,1.87943792150239e-09
"18","Tau1.3.0","Tau1","4","3","1",2421.73299583126,3.8145432584268e-08
"19","Tau2.3.0","Tau2","5","3","1",5465749.85335761,1.23898151498635e-08
"20","NPQ.3.0","NPQ","6","3","1",0.110311469203737,2.10749734187664e-96
"21","qP.3.0","qP","7","3","1",0.329161106070784,1.2745509641617e-80
"22","ABQ.3.0","ABQ","8","3","1",0.301268915324225,6.83736453536737e-33
"23","qm.3.0","qm","9","3","1",0.849153182667637,6.37275482080848e-81
"24","nTau1.3.0","nTau1","10","3","1",3.58060051721835,3.8145432584268e-08
"25","nTau2.3.0","nTau2","11","3","1",7.11330733454175,1.23898151498635e-08
"26","nCon.3.0","nCon","12","3","1",0.992993663716711,1.87943792150239e-09
"27","Fm.3.0","Fm","13","3","1",3072.41926933136,2.10749734187664e-96
"28","Fo.3.0","Fo","14","3","1",2897.11381151968,1.2745509641617e-80
"29","Quant.4.0","Quant","1","4","1",0.0366041960888623,1.96307047294682e-81
"30","Sigma.4.0","Sigma","2","4","1",2.85005964254444,2.96134212421112e-25
"31","Connect.4.0","Connect","3","4","1",0.37780574194954,6.31178264415781e-07
"32","Tau1.4.0","Tau1","4","4","1",4975.50490682238,2.90298432090239e-06
"33","Tau2.4.0","Tau2","5","4","1",5051208.12646169,1.93543712415879e-07
"34","NPQ.4.0","NPQ","6","4","1",0.084000412667768,7.11099127821426e-96
"35","qP.4.0","qP","7","4","1",0.242947311826741,3.92614094589363e-81
"36","ABQ.4.0","ABQ","8","4","1",0.381731670361227,2.96134212421112e-25
"37","qm.4.0","qm","9","4","1",0.903227476143137,1.96307047294682e-81
"38","nTau1.4.0","nTau1","10","4","1",7.35642429345334,2.90298432090239e-06
"39","nTau2.4.0","nTau2","11","4","1",6.57380904327052,1.93543712415879e-07
"40","nCon.4.0","nCon","12","4","1",1.14307639422176,6.31178264415781e-07
"41","Fm.4.0","Fm","13","4","1",3146.99359250771,7.11099127821426e-96
"42","Fo.4.0","Fo","14","4","1",3031.80042195716,3.92614094589363e-81
"43","Quant.5.0","Quant","1","5","1",0.0374169586180291,5.43589321007374e-80
"44","Sigma.5.0","Sigma","2","5","1",3.44357604026287,1.02848965337911e-25
"45","Connect.5.0","Connect","3","5","1",0.462553861559432,6.68749051065292e-11
"46","Tau1.5.0","Tau1","4","5","1",2755.40500887491,0.000194972726235015
"47","Tau2.5.0","Tau2","5","5","1",5368758.83539786,3.7895672631394e-06
"48","NPQ.5.0","NPQ","6","5","1",0.100906120068267,2.13844969280156e-98
"49","qP.5.0","qP","7","5","1",0.274360762986381,1.08717864201475e-79
"50","ABQ.5.0","ABQ","8","5","1",0.252979139588577,1.02848965337911e-25
"51","qm.5.0","qm","9","5","1",0.901078731199994,5.43589321007374e-80
"52","nTau1.5.0","nTau1","10","5","1",4.07394399667789,0.000194972726235015
"53","nTau2.5.0","nTau2","11","5","1",6.98708002119078,3.7895672631394e-06
"54","nCon.5.0","nCon","12","5","1",1.39948746537401,6.68749051065292e-11
"55","Fm.5.0","Fm","13","5","1",3098.66780714203,2.13844969280156e-98
"56","Fo.5.0","Fo","14","5","1",2982.72508203118,1.08717864201475e-79
"57","Quant.6.0","Quant","1","6","1",0.0400810183936146,3.16509101702475e-86
"58","Sigma.6.0","Sigma","2","6","1",3.51889018029919,4.89227523416752e-30
"59","Connect.6.0","Connect","3","6","1",0.254840868581325,4.4382657779622e-05
"60","Tau1.6.0","Tau1","4","6","1",2570.36577627356,3.31243020037862e-08
"61","Tau2.6.0","Tau2","5","6","1",10424102.4456022,0.000571362827658943
"62","NPQ.6.0","NPQ","6","6","1",0.121777900087507,1.92898074870068e-103
"63","qP.6.0","qP","7","6","1",0.315070248704174,6.33018203404951e-86
"64","ABQ.6.0","ABQ","8","6","1",0.236641113933483,4.89227523416752e-30
"65","qm.6.0","qm","9","6","1",0.89403561003533,3.16509101702475e-86
"66","nTau1.6.0","nTau1","10","6","1",3.80035827393364,3.31243020037862e-08
"67","nTau2.6.0","nTau2","11","6","1",13.5662711195549,0.000571362827658943
"68","nCon.6.0","nCon","12","6","1",0.771037993374888,4.4382657779622e-05
"69","Fm.6.0","Fm","13","6","1",3041.01404803488,1.92898074870068e-103
"70","Fo.6.0","Fo","14","6","1",2919.12710804035,6.33018203404951e-86
"71","Quant.7.0","Quant","1","7","1",0.0444137815893204,6.09641303310907e-83
"72","Sigma.7.0","Sigma","2","7","1",3.7926629834759,1.75405509249576e-29
"73","Connect.7.0","Connect","3","7","1",0.283542818023573,6.16192995154115e-06
"74","Tau1.7.0","Tau1","4","7","1",1733.82136804855,5.99130877854316e-13
"75","Tau2.7.0","Tau2","5","7","1",8508273.14219859,4.79543790110322e-07
"76","NPQ.7.0","NPQ","6","7","1",0.15574868636451,8.56888678518225e-102
"77","qP.7.0","qP","7","7","1",0.378178539284722,1.21928260662181e-82
"78","ABQ.7.0","ABQ","8","7","1",0.17725110988098,1.75405509249576e-29
"79","qm.7.0","qm","9","7","1",0.882580845977551,6.09641303310907e-83
"80","nTau1.7.0","nTau1","10","7","1",2.56350377927106,5.99130877854316e-13
"81","nTau2.7.0","nTau2","11","7","1",11.072947604711,4.79543790110322e-07
"82","nCon.7.0","nCon","12","7","1",0.85787764993035,6.16192995154115e-06
"83","Fm.7.0","Fm","13","7","1",2951.62987696901,8.56888678518225e-102
"84","Fo.7.0","Fo","14","7","1",2820.5368322808,1.21928260662181e-82
"85","Quant.8.0","Quant","1","8","1",0.0487759378351957,2.59935709042309e-79
"86","Sigma.8.0","Sigma","2","8","1",4.10138274366661,2.11902163014181e-28
"87","Connect.8.0","Connect","3","8","1",0.305773794280711,2.77827312178244e-06
"88","Tau1.8.0","Tau1","4","8","1",1942.40762688805,5.57509933702354e-11
"89","Tau2.8.0","Tau2","5","8","1",10889871.7839836,0.000331333793561293
"90","NPQ.8.0","NPQ","6","8","1",0.183074281348526,9.99428325930003e-100
"91","qP.8.0","qP","7","8","1",0.427930399133257,5.19871418084617e-79
"92","ABQ.8.0","ABQ","8","8","1",0.110280002466124,2.11902163014181e-28
"93","qm.8.0","qm","9","8","1",0.871048373898489,2.59935709042309e-79
"94","nTau1.8.0","nTau1","10","8","1",2.87190444423742,5.57509933702354e-11
"95","nTau2.8.0","nTau2","11","8","1",14.1724387159146,0.000331333793561293
"96","nCon.8.0","nCon","12","8","1",0.925138946831002,2.77827312178244e-06
"97","Fm.8.0","Fm","13","8","1",2883.45576158816,9.99428325930003e-100
"98","Fo.8.0","Fo","14","8","1",2742.8125026104,5.19871418084617e-79
"99","Quant.9.0","Quant","1","9","1",0.0483975633523671,1.32020082254956e-79
"100","Sigma.9.0","Sigma","2","9","1",4.3465179183876,3.15896584687223e-28
"101","Connect.9.0","Connect","3","9","1",0.221355143969208,0.000852352821171309
"102","Tau1.9.0","Tau1","4","9","1",1684.51050106093,6.14578012268767e-13
"103","Tau2.9.0","Tau2","5","9","1",10643318.8202442,0.000388177852161396
"104","NPQ.9.0","NPQ","6","9","1",0.210050077966065,6.19652200774891e-101
"105","qP.9.0","qP","7","9","1",0.466387466037879,2.64040164509913e-79
"106","ABQ.9.0","ABQ","8","9","1",0.0571024083035151,3.15896584687223e-28
"107","qm.9.0","qm","9","9","1",0.872048703302732,1.32020082254956e-79
"108","nTau1.9.0","nTau1","10","9","1",2.4905962720668,6.14578012268767e-13
"109","nTau2.9.0","nTau2","11","9","1",13.8515665478912,0.000388177852161396
"110","nCon.9.0","nCon","12","9","1",0.669724706948887,0.000852352821171309
"111","Fm.9.0","Fm","13","9","1",2819.17452430993,6.19652200774891e-101
"112","Fo.9.0","Fo","14","9","1",2682.73334666826,2.64040164509913e-79
"113","Quant.10.0","Quant","1","10","1",0.0869551127430064,1.09953688194983e-74
"114","Sigma.10.0","Sigma","2","10","1",4.89578786504799,1.02778898404932e-33
"115","Connect.10.0","Connect","3","10","1",0.26931470802108,4.44939053805565e-07
"116","Tau1.10.0","Tau1","4","10","1",2097.62048688799,3.68871325267158e-17
"117","Tau2.10.0","Tau2","5","10","1",5252457.78131464,2.23961517711526e-07
"118","NPQ.10.0","NPQ","6","10","1",0.252481717380129,1.79754769047628e-97
"119","qP.10.0","qP","7","10","1",0.59178671208238,2.19907376389967e-74
"120","ABQ.10.0","ABQ","8","10","1",-0.0620516639036599,1.02778898404932e-33
"121","qm.10.0","qm","9","10","1",0.770111992024891,1.09953688194983e-74
"122","nTau1.10.0","nTau1","10","10","1",3.1013910341098,3.68871325267158e-17
"123","nTau2.10.0","nTau2","11","10","1",6.83572198922434,2.23961517711526e-07
"124","nCon.10.0","nCon","12","10","1",0.814829557028648,4.44939053805565e-07
"125","Fm.10.0","Fm","13","10","1",2723.66638618632,1.79754769047628e-97
"126","Fo.10.0","Fo","14","10","1",2486.82966850115,2.19907376389967e-74
"127","Quant.11.0","Quant","1","11","1",0.0998650515233584,7.42148331727457e-75
"128","Sigma.11.0","Sigma","2","11","1",5.16680333788742,1.03519086229611e-36
"129","Connect.11.0","Connect","3","11","1",0.253364479590282,9.11817146996581e-08
"130","Tau1.11.0","Tau1","4","11","1",1941.80662933321,6.84662313742523e-17
"131","Tau2.11.0","Tau2","5","11","1",4248341.36145372,5.09480186014108e-07
"132","NPQ.11.0","NPQ","6","11","1",0.238226998731683,2.10600787597537e-98
"133","qP.11.0","qP","7","11","1",0.596227950209526,1.48429666345491e-74
"134","ABQ.11.0","ABQ","8","11","1",-0.120843515553861,1.03519086229611e-36
"135","qm.11.0","qm","9","11","1",0.735981277732482,7.42148331727457e-75
"136","nTau1.11.0","nTau1","10","11","1",2.87101585240694,6.84662313742523e-17
"137","nTau2.11.0","nTau2","11","11","1",5.52893172516883,5.09480186014108e-07
"138","nCon.11.0","nCon","12","11","1",0.766571080310935,9.11817146996581e-08
"139","Fm.11.0","Fm","13","11","1",2755.02178230278,2.10600787597537e-98
"140","Fo.11.0","Fo","14","11","1",2479.89139006513,1.48429666345491e-74
