"","uni","metric","metrix","stage","col","ASnormalized.t10_icra3.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.355155076818598,9.99291408285755e-57
"2","Sigma.1.0","Sigma","2","1","1",4.59857910034033,2.54095174506355e-46
"3","Connect.1.0","Connect","3","1","1",0.301213061035058,1.0713013441647e-15
"4","Tau1.1.0","Tau1","4","1","1",652.124766871559,1.28993099654343e-24
"5","Tau2.1.0","Tau2","5","1","1",1036771.58380881,8.84798806526341e-20
"6","NPQ.1.0","NPQ","6","1","1",0.750851156932645,4.02791987272854e-83
"7","qP.1.0","qP","7","1","1",1.34667696720464,1.99858281657151e-56
"8","ABQ.1.0","ABQ","8","1","1",0,2.54095174506355e-46
"9","qm.1.0","qm","9","1","1",0,9.99291408285755e-57
"10","nTau1.1.0","nTau1","10","1","1",1,1.28993099654343e-24
"11","nTau2.1.0","nTau2","11","1","1",1,8.84798806526341e-20
"12","nCon.1.0","nCon","12","1","1",1,1.0713013441647e-15
"13","Fm.1.0","Fm","13","1","1",1792.24560676825,4.02791987272854e-83
"14","Fo.1.0","Fo","14","1","1",1155.72048061868,1.99858281657151e-56
"15","Quant.3.0","Quant","1","3","1",0.0584288545934012,3.54354627181405e-83
"16","Sigma.3.0","Sigma","2","3","1",3.27486295784163,1.04639766076689e-34
"17","Connect.3.0","Connect","3","3","1",0.435492939477957,5.97226760453424e-15
"18","Tau1.3.0","Tau1","4","3","1",2961.27878375952,3.63690144606654e-07
"19","Tau2.3.0","Tau2","5","3","1",4377712.56553976,9.94230136518324e-12
"20","NPQ.3.0","NPQ","6","3","1",0.131941577821592,3.95652537916525e-97
"21","qP.3.0","qP","7","3","1",0.358534183692454,7.08709254362805e-83
"22","ABQ.3.0","ABQ","8","3","1",0.287853294162263,1.04639766076689e-34
"23","qm.3.0","qm","9","3","1",0.835483543930178,3.54354627181405e-83
"24","nTau1.3.0","nTau1","10","3","1",4.54096966438751,3.63690144606654e-07
"25","nTau2.3.0","nTau2","11","3","1",4.22244651947083,9.94230136518324e-12
"26","nCon.3.0","nCon","12","3","1",1.44579699824926,5.97226760453424e-15
"27","Fm.3.0","Fm","13","3","1",2772.18838463077,3.95652537916525e-97
"28","Fo.3.0","Fo","14","3","1",2610.21259259967,7.08709254362805e-83
"29","Quant.4.0","Quant","1","4","1",0.0540227099822176,2.13838076149406e-80
"30","Sigma.4.0","Sigma","2","4","1",2.96277817763635,6.32679236390262e-30
"31","Connect.4.0","Connect","3","4","1",0.51128009658757,2.28391443159844e-14
"32","Tau1.4.0","Tau1","4","4","1",1718.96877821481,8.08181819623202e-08
"33","Tau2.4.0","Tau2","5","4","1",4171896.5801857,5.66740163332285e-12
"34","NPQ.4.0","NPQ","6","4","1",0.163961116532732,1.84878451492852e-93
"35","qP.4.0","qP","7","4","1",0.399246285722124,4.27676152298794e-80
"36","ABQ.4.0","ABQ","8","4","1",0.355718774649959,6.32679236390262e-30
"37","qm.4.0","qm","9","4","1",0.847889799390899,2.13838076149406e-80
"38","nTau1.4.0","nTau1","10","4","1",2.6359507651599,8.08181819623202e-08
"39","nTau2.4.0","nTau2","11","4","1",4.02393029027602,5.66740163332285e-12
"40","nCon.4.0","nCon","12","4","1",1.69740347523663,2.28391443159844e-14
"41","Fm.4.0","Fm","13","4","1",2695.92793912665,1.84878451492852e-93
"42","Fo.4.0","Fo","14","4","1",2550.28660593826,4.27676152298794e-80
"43","Quant.5.0","Quant","1","5","1",0.0460750361419459,2.34589331688912e-81
"44","Sigma.5.0","Sigma","2","5","1",4.13585447795758,3.39461183122348e-26
"45","Connect.5.0","Connect","3","5","1",0.265382031331283,0.000837845363665192
"46","Tau1.5.0","Tau1","4","5","1",2310.60677310112,1.63573141965182e-12
"47","Tau2.5.0","Tau2","5","5","1",9471612.23753646,2.38881856695682e-08
"48","NPQ.5.0","NPQ","6","5","1",0.17676664945968,3.39734545605919e-99
"49","qP.5.0","qP","7","5","1",0.403702248393453,4.69178663377824e-81
"50","ABQ.5.0","ABQ","8","5","1",0.100623390896657,3.39461183122348e-26
"51","qm.5.0","qm","9","5","1",0.870267837490383,2.34589331688912e-81
"52","nTau1.5.0","nTau1","10","5","1",3.54319739179023,1.63573141965182e-12
"53","nTau2.5.0","nTau2","11","5","1",9.13567885680317,2.38881856695682e-08
"54","nCon.5.0","nCon","12","5","1",0.881044236326774,0.000837845363665192
"55","Fm.5.0","Fm","13","5","1",2666.59094694641,3.39734545605919e-99
"56","Fo.5.0","Fo","14","5","1",2543.72767269007,4.69178663377824e-81
"57","Quant.6.0","Quant","1","6","1",0.0455368922773215,1.26439134793608e-81
"58","Sigma.6.0","Sigma","2","6","1",3.86206621230342,6.20981186655099e-27
"59","Connect.6.0","Connect","3","6","1",0.149284380271512,0.0510365588841796
"60","Tau1.6.0","Tau1","4","6","1",1229.39634148442,2.02748922177894e-09
"61","Tau2.6.0","Tau2","5","6","1",7891978.47581233,4.04480412320978e-05
"62","NPQ.6.0","NPQ","6","6","1",0.214601185303996,7.35068004246496e-100
"63","qP.6.0","qP","7","6","1",0.456588859597616,2.52878269587216e-81
"64","ABQ.6.0","ABQ","8","6","1",0.160160969718319,6.20981186655099e-27
"65","qm.6.0","qm","9","6","1",0.871783073790663,1.26439134793608e-81
"66","nTau1.6.0","nTau1","10","6","1",1.88521645540655,2.02748922177894e-09
"67","nTau2.6.0","nTau2","11","6","1",7.61207058436094,4.04480412320978e-05
"68","nCon.6.0","nCon","12","6","1",0.49561058128929,0.0510365588841796
"69","Fm.6.0","Fm","13","6","1",2583.52727799476,7.35068004246496e-100
"70","Fo.6.0","Fo","14","6","1",2465.88147464119,2.52878269587216e-81
"71","Quant.7.0","Quant","1","7","1",0.0554491706079399,2.39241097457265e-80
"72","Sigma.7.0","Sigma","2","7","1",3.66771341527083,1.31525572731842e-30
"73","Connect.7.0","Connect","3","7","1",0.348048974612306,1.28736477850533e-08
"74","Tau1.7.0","Tau1","4","7","1",1397.8956512532,9.94285011340366e-14
"75","Tau2.7.0","Tau2","5","7","1",12740001.2168867,0.00114041429589542
"76","NPQ.7.0","NPQ","6","7","1",0.253843223444079,5.40829020910755e-98
"77","qP.7.0","qP","7","7","1",0.52587326004144,4.7848219491453e-80
"78","ABQ.7.0","ABQ","8","7","1",0.202424632643723,1.31525572731842e-30
"79","qm.7.0","qm","9","7","1",0.843873354973153,2.39241097457265e-80
"80","nTau1.7.0","nTau1","10","7","1",2.1436015349629,9.94285011340366e-14
"81","nTau2.7.0","nTau2","11","7","1",12.2881466041763,0.00114041429589542
"82","nCon.7.0","nCon","12","7","1",1.15549097843336,1.28736477850533e-08
"83","Fm.7.0","Fm","13","7","1",2502.66958057025,5.40829020910755e-98
"84","Fo.7.0","Fo","14","7","1",2363.89862802191,4.7848219491453e-80
"85","Quant.8.0","Quant","1","8","1",0.0606988624426662,2.70234284610881e-82
"86","Sigma.8.0","Sigma","2","8","1",3.72781909256248,2.89947385875838e-33
"87","Connect.8.0","Connect","3","8","1",0.272649456047193,5.57226890490757e-07
"88","Tau1.8.0","Tau1","4","8","1",1499.32422621246,1.05397051344494e-14
"89","Tau2.8.0","Tau2","5","8","1",10887479.2866127,0.00179680056941566
"90","NPQ.8.0","NPQ","6","8","1",0.285437029024454,5.31330939224694e-100
"91","qP.8.0","qP","7","8","1",0.574051575349509,5.40468569221763e-82
"92","ABQ.8.0","ABQ","8","8","1",0.18935414369917,2.89947385875838e-33
"93","qm.8.0","qm","9","8","1",0.829091947702414,2.70234284610881e-82
"94","nTau1.8.0","nTau1","10","8","1",2.29913707066391,1.05397051344494e-14
"95","nTau2.8.0","nTau2","11","8","1",10.5013287947333,0.00179680056941566
"96","nCon.8.0","nCon","12","8","1",0.905171426200071,5.57226890490757e-07
"97","Fm.8.0","Fm","13","8","1",2441.15831679371,5.31330939224694e-100
"98","Fo.8.0","Fo","14","8","1",2292.98278392188,5.40468569221763e-82
"99","Quant.9.0","Quant","1","9","1",0.0665367401797274,1.70675482459563e-84
"100","Sigma.9.0","Sigma","2","9","1",3.82375507919313,2.5215625341654e-36
"101","Connect.9.0","Connect","3","9","1",0.235400300537688,8.32476902142375e-07
"102","Tau1.9.0","Tau1","4","9","1",1200.27426885875,2.21611328665173e-14
"103","Tau2.9.0","Tau2","5","9","1",10311197.0217309,0.00216532794793994
"104","NPQ.9.0","NPQ","6","9","1",0.310449724822508,2.83518633792662e-102
"105","qP.9.0","qP","7","9","1",0.613282368195466,3.41350964919126e-84
"106","ABQ.9.0","ABQ","8","9","1",0.168492050313945,2.5215625341654e-36
