"","uni","metric","metrix","stage","col","ASnormalized.t11_ahya1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.386495482500041,3.99683864615288e-58
"2","Sigma.1.0","Sigma","2","1","1",4.66781027873342,3.35066081337744e-50
"3","Connect.1.0","Connect","3","1","1",0.301791853904475,2.30679483721162e-18
"4","Tau1.1.0","Tau1","4","1","1",686.68750887672,2.6733384156942e-28
"5","Tau2.1.0","Tau2","5","1","1",852966.541786048,2.76045756743049e-31
"6","NPQ.1.0","NPQ","6","1","1",0.686593685976474,5.357117971748e-85
"7","qP.1.0","qP","7","1","1",1.3893558427137,7.99367729230575e-58
"8","ABQ.1.0","ABQ","8","1","1",0,3.35066081337744e-50
"9","qm.1.0","qm","9","1","1",0,3.99683864615288e-58
"10","nTau1.1.0","nTau1","10","1","1",1,2.6733384156942e-28
"11","nTau2.1.0","nTau2","11","1","1",1,2.76045756743049e-31
"12","nCon.1.0","nCon","12","1","1",1,2.30679483721162e-18
"13","Fm.1.0","Fm","13","1","1",2166.71058509337,5.357117971748e-85
"14","Fo.1.0","Fo","14","1","1",1329.28673206976,7.99367729230575e-58
"15","Quant.3.0","Quant","1","3","1",0.0213441799310311,4.14531154050586e-83
"16","Sigma.3.0","Sigma","2","3","1",2.3265984233793,4.14637278444569e-21
"17","Connect.3.0","Connect","3","3","1",0.683025736250822,2.09398027674006e-17
"18","Tau1.3.0","Tau1","4","3","1",12222.5270587233,0.00572206832516938
"19","Tau2.3.0","Tau2","5","3","1",10354232.710474,0.00659021152459872
"20","NPQ.3.0","NPQ","6","3","1",-0.00234696160556143,6.10861294315352e-95
"21","qP.3.0","qP","7","3","1",0.0415813547666885,8.29062308100561e-83
"22","ABQ.3.0","ABQ","8","3","1",0.501565341252343,4.14637278444569e-21
"23","qm.3.0","qm","9","3","1",0.944775085615577,4.14531154050586e-83
"24","nTau1.3.0","nTau1","10","3","1",17.7992564313814,0.00572206832516938
"25","nTau2.3.0","nTau2","11","3","1",12.1390842468369,0.00659021152459872
"26","nCon.3.0","nCon","12","3","1",2.26323450223748,2.09398027674006e-17
"27","Fm.3.0","Fm","13","3","1",3662.95721209647,6.10861294315352e-95
"28","Fo.3.0","Fo","14","3","1",3584.77439428181,8.29062308100561e-83
"29","Quant.4.0","Quant","1","4","1",0.0284476577850075,1.17216860216501e-80
"30","Sigma.4.0","Sigma","2","4","1",2.61926737014417,6.62254842865882e-21
