"","uni","metric","metrix","stage","col","ASnormalized.t3_aabr2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.378956634667298,1.69927764968212e-59
"2","Sigma.1.0","Sigma","2","1","1",4.13703543120089,2.0702379279542e-50
"3","Connect.1.0","Connect","3","1","1",0.324368174848876,8.92769195381568e-21
"4","Tau1.1.0","Tau1","4","1","1",599.508859331916,6.74787253489494e-30
"5","Tau2.1.0","Tau2","5","1","1",1006179.27727653,1.68099764977478e-29
"6","NPQ.1.0","NPQ","6","1","1",0.881149294466589,5.29402192545699e-85
"7","qP.1.0","qP","7","1","1",1.32898421388233,3.39855529936423e-59
"8","ABQ.1.0","ABQ","8","1","1",0,2.0702379279542e-50
"9","qm.1.0","qm","9","1","1",0,1.69927764968212e-59
"10","nTau1.1.0","nTau1","10","1","1",1,6.74787253489494e-30
"11","nTau2.1.0","nTau2","11","1","1",1,1.68099764977478e-29
"12","nCon.1.0","nCon","12","1","1",1,8.92769195381568e-21
"13","Fm.1.0","Fm","13","1","1",1845.98695544162,5.29402192545699e-85
"14","Fo.1.0","Fo","14","1","1",1146.43795116773,3.39855529936423e-59
"15","Quant.3.0","Quant","1","3","1",0.0452042821922577,3.98600921740854e-84
"16","Sigma.3.0","Sigma","2","3","1",2.69707579905678,3.59210107430183e-32
"17","Connect.3.0","Connect","3","3","1",0.512195933485915,1.22415571605557e-16
"18","Tau1.3.0","Tau1","4","3","1",3614.1392892638,5.37671075544142e-06
"19","Tau2.3.0","Tau2","5","3","1",4317934.25887833,6.42142797339742e-11
"20","NPQ.3.0","NPQ","6","3","1",0.131566895428716,5.23161878708712e-95
"21","qP.3.0","qP","7","3","1",0.309932595277467,7.97201843476476e-84
"22","ABQ.3.0","ABQ","8","3","1",0.348065578864555,3.59210107430183e-32
"23","qm.3.0","qm","9","3","1",0.880713838848753,3.98600921740854e-84
"24","nTau1.3.0","nTau1","10","3","1",6.02850021814747,5.37671075544142e-06
"25","nTau2.3.0","nTau2","11","3","1",4.2914164069905,6.42142797339742e-11
"26","nCon.3.0","nCon","12","3","1",1.579057297235,1.22415571605557e-16
"27","Fm.3.0","Fm","13","3","1",3068.82171337107,5.23161878708712e-95
"28","Fo.3.0","Fo","14","3","1",2930.09783064211,7.97201843476476e-84
"29","Quant.4.0","Quant","1","4","1",0.0480106465451936,9.4148725998974e-86
