"","uni","metric","metrix","stage","col","ASnormalized.t3_aglo2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.366794432146555,1.89362447248227e-59
"2","Sigma.1.0","Sigma","2","1","1",4.36722238086494,1.58857421803846e-49
"3","Connect.1.0","Connect","3","1","1",0.312889639206182,3.3898067724175e-19
"4","Tau1.1.0","Tau1","4","1","1",596.712252399265,3.93153360545156e-30
"5","Tau2.1.0","Tau2","5","1","1",1108932.14620718,8.0710141225126e-28
"6","NPQ.1.0","NPQ","6","1","1",0.859103381580103,2.57634853034605e-85
"7","qP.1.0","qP","7","1","1",1.40147530487646,3.78724894496454e-59
"8","ABQ.1.0","ABQ","8","1","1",0,1.58857421803846e-49
"9","qm.1.0","qm","9","1","1",0,1.89362447248227e-59
"10","nTau1.1.0","nTau1","10","1","1",1,3.93153360545156e-30
"11","nTau2.1.0","nTau2","11","1","1",1,8.0710141225126e-28
"12","nCon.1.0","nCon","12","1","1",1,3.3898067724175e-19
"13","Fm.1.0","Fm","13","1","1",1939.43744151433,2.57634853034605e-85
"14","Fo.1.0","Fo","14","1","1",1228.06258647031,3.78724894496454e-59
"15","Quant.3.0","Quant","1","3","1",0.0462004800931009,2.30762867760617e-85
"16","Sigma.3.0","Sigma","2","3","1",2.78453828147836,1.51820172972376e-33
"17","Connect.3.0","Connect","3","3","1",0.478539772325524,3.30405187437118e-16
"18","Tau1.3.0","Tau1","4","3","1",2310.57429730307,6.12666911240703e-07
"19","Tau2.3.0","Tau2","5","3","1",4517702.82986294,3.57279685272908e-12
"20","NPQ.3.0","NPQ","6","3","1",0.0915104007162205,8.06142936733636e-97
"21","qP.3.0","qP","7","3","1",0.268148330626783,4.61525735520428e-85
"22","ABQ.3.0","ABQ","8","3","1",0.362400620202246,1.51820172972376e-33
"23","qm.3.0","qm","9","3","1",0.874042580682792,2.30762867760617e-85
"24","nTau1.3.0","nTau1","10","3","1",3.87217505256964,6.12666911240703e-07
"25","nTau2.3.0","nTau2","11","3","1",4.0739217862108,3.57279685272908e-12
