"","uni","metric","metrix","stage","col","ASnormalized.t5_aabr1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.381084898876669,6.83865659706745e-62
"2","Sigma.1.0","Sigma","2","1","1",4.13652578381425,6.91815502834261e-53
"3","Connect.1.0","Connect","3","1","1",0.321891168431685,1.28542538117078e-22
"4","Tau1.1.0","Tau1","4","1","1",601.740780453389,5.63349080507013e-30
"5","Tau2.1.0","Tau2","5","1","1",1031253.70343675,4.44423946652259e-29
"6","NPQ.1.0","NPQ","6","1","1",0.852996586400282,3.69530110615732e-87
"7","qP.1.0","qP","7","1","1",1.43619079399837,1.36773131941349e-61
"8","ABQ.1.0","ABQ","8","1","1",0,6.91815502834261e-53
"9","qm.1.0","qm","9","1","1",0,6.83865659706745e-62
"10","nTau1.1.0","nTau1","10","1","1",1,5.63349080507013e-30
"11","nTau2.1.0","nTau2","11","1","1",1,4.44423946652259e-29
"12","nCon.1.0","nCon","12","1","1",1,1.28542538117078e-22
"13","Fm.1.0","Fm","13","1","1",1751.4374666839,3.69530110615732e-87
"14","Fo.1.0","Fo","14","1","1",1083.99109680386,1.36773131941349e-61
"15","Quant.3.0","Quant","1","3","1",0.04250670104247,4.78932551875644e-81
"16","Sigma.3.0","Sigma","2","3","1",3.16484458487212,8.83416432204642e-28
"17","Connect.3.0","Connect","3","3","1",0.484981372622776,4.79888070257993e-12
"18","Tau1.3.0","Tau1","4","3","1",4749.20596095981,9.93453407159307e-06
"19","Tau2.3.0","Tau2","5","3","1",5611380.01492446,9.64565740485724e-08
"20","NPQ.3.0","NPQ","6","3","1",0.0935893590936483,1.17589954768077e-94
"21","qP.3.0","qP","7","3","1",0.268370143414307,9.57865103751277e-81
"22","ABQ.3.0","ABQ","8","3","1",0.234902729905422,8.83416432204642e-28
"23","qm.3.0","qm","9","3","1",0.88845871046644,4.78932551875644e-81
"24","nTau1.3.0","nTau1","10","3","1",7.89244491187961,9.93453407159307e-06
"25","nTau2.3.0","nTau2","11","3","1",5.44131865536483,9.64565740485724e-08
"26","nCon.3.0","nCon","12","3","1",1.50666256233651,4.79888070257993e-12
"27","Fm.3.0","Fm","13","3","1",2967.66571480594,1.17589954768077e-94
"28","Fo.3.0","Fo","14","3","1",2841.5200354727,9.57865103751277e-81
"29","Quant.4.0","Quant","1","4","1",0.0410126155829746,2.5389508425256e-80
"30","Sigma.4.0","Sigma","2","4","1",2.7404960225744,5.31624263413324e-26
"31","Connect.4.0","Connect","3","4","1",0.619397708271164,1.35294212322824e-16
"32","Tau1.4.0","Tau1","4","4","1",2913.56235543018,5.25882753766547e-05
"33","Tau2.4.0","Tau2","5","4","1",4985270.318056,3.40340263320014e-10
"34","NPQ.4.0","NPQ","6","4","1",0.120481714414781,1.16944985373404e-92
"35","qP.4.0","qP","7","4","1",0.310810317249634,5.07790168505004e-80
"36","ABQ.4.0","ABQ","8","4","1",0.337488470808608,5.31624263413324e-26
"37","qm.4.0","qm","9","4","1",0.892379320975803,2.5389508425256e-80
"38","nTau1.4.0","nTau1","10","4","1",4.84188948143904,5.25882753766547e-05
"39","nTau2.4.0","nTau2","11","4","1",4.83418415996191,3.40340263320014e-10
"40","nCon.4.0","nCon","12","4","1",1.92424573587709,1.35294212322824e-16
"41","Fm.4.0","Fm","13","4","1",2896.4396342281,1.16944985373404e-92
"42","Fo.4.0","Fo","14","4","1",2777.64906895021,5.07790168505004e-80
"43","Quant.5.0","Quant","1","5","1",0.040177587488047,5.69681091077006e-85
"44","Sigma.5.0","Sigma","2","5","1",3.47083845467318,3.89396684749372e-27
"45","Connect.5.0","Connect","3","5","1",0.268598310512385,0.00042303468335126
"46","Tau1.5.0","Tau1","4","5","1",3338.48307715679,7.47829048724938e-10
"47","Tau2.5.0","Tau2","5","5","1",7718432.05841058,2.99337604533548e-08
"48","NPQ.5.0","NPQ","6","5","1",0.128807439578981,5.15808631436082e-100
"49","qP.5.0","qP","7","5","1",0.322828065510918,1.13936218215401e-84
"50","ABQ.5.0","ABQ","8","5","1",0.160929089755908,3.89396684749372e-27
"51","qm.5.0","qm","9","5","1",0.894570507499827,5.69681091077006e-85
"52","nTau1.5.0","nTau1","10","5","1",5.54804192370238,7.47829048724938e-10
"53","nTau2.5.0","nTau2","11","5","1",7.48451329938323,2.99337604533548e-08
"54","nCon.5.0","nCon","12","5","1",0.834438272479008,0.00042303468335126
"55","Fm.5.0","Fm","13","5","1",2875.07641539755,5.15808631436082e-100
"56","Fo.5.0","Fo","14","5","1",2759.5627811831,1.13936218215401e-84
"57","Quant.6.0","Quant","1","6","1",0.0397212514307362,2.03078524764941e-81
"58","Sigma.6.0","Sigma","2","6","1",3.33167989248699,3.94849123537595e-26
"59","Connect.6.0","Connect","3","6","1",0.393448752509446,8.86542470787164e-08
"60","Tau1.6.0","Tau1","4","6","1",2309.02371341824,5.55101816686327e-09
"61","Tau2.6.0","Tau2","5","6","1",9265797.70471385,3.44380413648831e-05
"62","NPQ.6.0","NPQ","6","6","1",0.146107922730575,2.11855088059825e-97
"63","qP.6.0","qP","7","6","1",0.349648205198322,4.06157049529882e-81
"64","ABQ.6.0","ABQ","8","6","1",0.194570500316118,3.94849123537595e-26
"65","qm.6.0","qm","9","6","1",0.895767973100421,2.03078524764941e-81
"66","nTau1.6.0","nTau1","10","6","1",3.83723986876621,5.55101816686327e-09
"67","nTau2.6.0","nTau2","11","6","1",8.98498368911035,3.44380413648831e-05
"68","nCon.6.0","nCon","12","6","1",1.22230365755731,8.86542470787164e-08
"69","Fm.6.0","Fm","13","6","1",2831.67717689859,2.11855088059825e-97
"70","Fo.6.0","Fo","14","6","1",2719.19941578433,4.06157049529882e-81
"71","Quant.7.0","Quant","1","7","1",0.0445396693517098,4.3209485461815e-85
"72","Sigma.7.0","Sigma","2","7","1",3.39054283483756,2.35552695089208e-31
"73","Connect.7.0","Connect","3","7","1",0.442656374634889,6.25720316842296e-13
"74","Tau1.7.0","Tau1","4","7","1",1856.0154753723,1.05236087533275e-13
"75","Tau2.7.0","Tau2","5","7","1",16296373.4970298,6.0757223110503e-05
"76","NPQ.7.0","NPQ","6","7","1",0.168396992791264,7.40981578331255e-101
"77","qP.7.0","qP","7","7","1",0.393009395206728,8.641897092363e-85
"78","ABQ.7.0","ABQ","8","7","1",0.180340456693302,2.35552695089208e-31
"79","qm.7.0","qm","9","7","1",0.883124024376195,4.3209485461815e-85
"80","nTau1.7.0","nTau1","10","7","1",3.08441032361786,1.05236087533275e-13
"81","nTau2.7.0","nTau2","11","7","1",15.8024872470475,6.0757223110503e-05
"82","nCon.7.0","nCon","12","7","1",1.37517402789146,6.25720316842296e-13
"83","Fm.7.0","Fm","13","7","1",2777.65833623522,7.40981578331255e-101
"84","Fo.7.0","Fo","14","7","1",2653.94235236729,8.641897092363e-85
"85","Quant.8.0","Quant","1","8","1",0.0509171962793438,8.57641524700915e-82
"86","Sigma.8.0","Sigma","2","8","1",3.41704019115203,3.03167899893382e-30
"87","Connect.8.0","Connect","3","8","1",0.453380425842862,2.32862835208704e-12
"88","Tau1.8.0","Tau1","4","8","1",1996.81917912684,8.7697017151243e-13
"89","Tau2.8.0","Tau2","5","8","1",10882582.5906332,2.92056744430003e-06
"90","NPQ.8.0","NPQ","6","8","1",0.193969568724032,2.03910047932804e-97
"91","qP.8.0","qP","7","8","1",0.44229800187217,1.71528304940183e-81
"92","ABQ.8.0","ABQ","8","8","1",0.17393475352613,3.03167899893382e-30
"93","qm.8.0","qm","9","8","1",0.866388837685688,8.57641524700915e-82
