"","uni","metric","metrix","stage","col","ASnormalized.t7_ahya1.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.394970095325353,4.72982094323091e-56
"2","Sigma.1.0","Sigma","2","1","1",4.54125574383823,1.34091316779673e-48
"3","Connect.1.0","Connect","3","1","1",0.314024094914331,2.81169857442807e-18
"4","Tau1.1.0","Tau1","4","1","1",630.623412957303,1.64057170553402e-26
"5","Tau2.1.0","Tau2","5","1","1",664424.929175983,1.17211861873829e-23
"6","NPQ.1.0","NPQ","6","1","1",0.793072597417397,2.58408504562298e-83
"7","qP.1.0","qP","7","1","1",1.3786321502268,9.45964188646183e-56
"8","ABQ.1.0","ABQ","8","1","1",0,1.34091316779673e-48
"9","qm.1.0","qm","9","1","1",0,4.72982094323091e-56
"10","nTau1.1.0","nTau1","10","1","1",1,1.64057170553402e-26
"11","nTau2.1.0","nTau2","11","1","1",1,1.17211861873829e-23
"12","nCon.1.0","nCon","12","1","1",1,2.81169857442807e-18
"13","Fm.1.0","Fm","13","1","1",2026.31494628535,2.58408504562298e-83
"14","Fo.1.0","Fo","14","1","1",1225.98113879184,9.45964188646183e-56
"15","Quant.3.0","Quant","1","3","1",0.0561680191240483,1.0493411910632e-80
"16","Sigma.3.0","Sigma","2","3","1",2.78967696314405,5.67986291431103e-33
"17","Connect.3.0","Connect","3","3","1",0.477192292841729,4.15395654790938e-16
"18","Tau1.3.0","Tau1","4","3","1",3289.34730007135,1.66172146828475e-05
"19","Tau2.3.0","Tau2","5","3","1",3147436.25588399,4.67498433992847e-14
"20","NPQ.3.0","NPQ","6","3","1",0.133459937682059,4.07015399049855e-93
"21","qP.3.0","qP","7","3","1",0.348105126695823,2.098682382126e-80
"22","ABQ.3.0","ABQ","8","3","1",0.385703620209191,5.67986291431103e-33
"23","qm.3.0","qm","9","3","1",0.857791716920289,1.0493411910632e-80
"24","nTau1.3.0","nTau1","10","3","1",5.21602470267633,1.66172146828475e-05
"25","nTau2.3.0","nTau2","11","3","1",4.73708332977124,4.67498433992847e-14
"26","nCon.3.0","nCon","12","3","1",1.51960407041986,4.15395654790938e-16
"27","Fm.3.0","Fm","13","3","1",3205.52115088582,4.07015399049855e-93
"28","Fo.3.0","Fo","14","3","1",3025.47337758033,2.098682382126e-80
"29","Quant.4.0","Quant","1","4","1",0.055266999771458,3.21932854463062e-82
"30","Sigma.4.0","Sigma","2","4","1",2.91058880396687,1.85420616641259e-32
"31","Connect.4.0","Connect","3","4","1",0.392490831122391,1.81334419176271e-11
"32","Tau1.4.0","Tau1","4","4","1",2288.8430692188,2.06852711446165e-07
"33","Tau2.4.0","Tau2","5","4","1",3611267.74489094,2.93334444078211e-11
"34","NPQ.4.0","NPQ","6","4","1",0.147594436084774,4.68103914598927e-96
"35","qP.4.0","qP","7","4","1",0.367811487803778,6.43865708926119e-82
"36","ABQ.4.0","ABQ","8","4","1",0.359078420563281,1.85420616641259e-32
"37","qm.4.0","qm","9","4","1",0.860072951280192,3.21932854463062e-82
"38","nTau1.4.0","nTau1","10","4","1",3.62949269277094,2.06852711446165e-07
"39","nTau2.4.0","nTau2","11","4","1",5.43517798070825,2.93334444078211e-11
"40","nCon.4.0","nCon","12","4","1",1.24987489010824,1.81334419176271e-11
"41","Fm.4.0","Fm","13","4","1",3166.03992636748,4.68103914598927e-96
