"","uni","metric","metrix","stage","col","ASnormalized.t8_aglo13.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.367861783557421,2.45594629326882e-57
"2","Sigma.1.0","Sigma","2","1","1",5.11717932618482,1.71949498962398e-48
"3","Connect.1.0","Connect","3","1","1",0.307797950464079,3.50576261068223e-17
"4","Tau1.1.0","Tau1","4","1","1",800.404367163214,1.79357952333649e-26
"5","Tau2.1.0","Tau2","5","1","1",997214.101009332,9.29141818084472e-26
"6","NPQ.1.0","NPQ","6","1","1",0.732904324068606,6.8315287999541e-85
"7","qP.1.0","qP","7","1","1",1.447867576273,4.91189258653764e-57
"8","ABQ.1.0","ABQ","8","1","1",0,1.71949498962398e-48
"9","qm.1.0","qm","9","1","1",0,2.45594629326882e-57
"10","nTau1.1.0","nTau1","10","1","1",1,1.79357952333649e-26
"11","nTau2.1.0","nTau2","11","1","1",1,9.29141818084472e-26
"12","nCon.1.0","nCon","12","1","1",1,3.50576261068223e-17
"13","Fm.1.0","Fm","13","1","1",2091.88483412561,6.8315287999541e-85
"14","Fo.1.0","Fo","14","1","1",1322.36034804744,4.91189258653764e-57
"15","Quant.3.0","Quant","1","3","1",0.0404828181070321,6.02403451817089e-82
"16","Sigma.3.0","Sigma","2","3","1",3.12838145763989,1.7561938874648e-27
"17","Connect.3.0","Connect","3","3","1",0.442332923124968,4.95533766844266e-10
"18","Tau1.3.0","Tau1","4","3","1",4227.0526586415,0.000155005400052164
"19","Tau2.3.0","Tau2","5","3","1",4322644.44997054,2.09731640983546e-10
"20","NPQ.3.0","NPQ","6","3","1",0.0685218697018842,3.18060086324351e-95
"21","qP.3.0","qP","7","3","1",0.232525260048669,1.20480690363415e-81
"22","ABQ.3.0","ABQ","8","3","1",0.388651196640338,1.7561938874648e-27
"23","qm.3.0","qm","9","3","1",0.889951009002508,6.02403451817089e-82
"24","nTau1.3.0","nTau1","10","3","1",5.28114642055613,0.000155005400052164
"25","nTau2.3.0","nTau2","11","3","1",4.33472054355766,2.09731640983546e-10
"26","nCon.3.0","nCon","12","3","1",1.43708859158433,4.95533766844266e-10
"27","Fm.3.0","Fm","13","3","1",3392.57096864211,3.18060086324351e-95
"28","Fo.3.0","Fo","14","3","1",3255.23013520338,1.20480690363415e-81
"29","Quant.4.0","Quant","1","4","1",0.0395510459649742,1.60471134196786e-79
"30","Sigma.4.0","Sigma","2","4","1",2.9083073863015,1.61006577865882e-25
"31","Connect.4.0","Connect","3","4","1",0.531342122341975,4.27420274190134e-13
"32","Tau1.4.0","Tau1","4","4","1",1883.83458448355,2.28046150146356e-05
"33","Tau2.4.0","Tau2","5","4","1",4245771.33254148,1.36551285252916e-10
"34","NPQ.4.0","NPQ","6","4","1",0.108566576097576,4.43995494818256e-94
"35","qP.4.0","qP","7","4","1",0.30454630144927,3.20942268393572e-79
"36","ABQ.4.0","ABQ","8","4","1",0.431658106758235,1.61006577865882e-25
"37","qm.4.0","qm","9","4","1",0.892483949861564,1.60471134196786e-79
"38","nTau1.4.0","nTau1","10","4","1",2.35360358060042,2.28046150146356e-05
"39","nTau2.4.0","nTau2","11","4","1",4.25763266709137,1.36551285252916e-10
"40","nCon.4.0","nCon","12","4","1",1.7262692020556,4.27420274190134e-13
"41","Fm.4.0","Fm","13","4","1",3270.02126229605,4.43995494818256e-94
"42","Fo.4.0","Fo","14","4","1",3140.68850104453,3.20942268393572e-79
"43","Quant.5.0","Quant","1","5","1",0.0392978472683809,2.02081930952475e-80
"44","Sigma.5.0","Sigma","2","5","1",3.54084563025432,5.43808442800149e-24
"45","Connect.5.0","Connect","3","5","1",0.259081653473481,0.00261127452388543
"46","Tau1.5.0","Tau1","4","5","1",2822.82574298297,1.2133510246961e-06
"47","Tau2.5.0","Tau2","5","5","1",8962896.85548217,6.12360620129467e-06
"48","NPQ.5.0","NPQ","6","5","1",0.129450132001078,3.73711289482668e-97
"49","qP.5.0","qP","7","5","1",0.34054922724397,4.04163861904951e-80
"50","ABQ.5.0","ABQ","8","5","1",0.308047382249109,5.43808442800149e-24
"51","qm.5.0","qm","9","5","1",0.893172248314708,2.02081930952475e-80
"52","nTau1.5.0","nTau1","10","5","1",3.52674955158928,1.2133510246961e-06
"53","nTau2.5.0","nTau2","11","5","1",8.9879363382551,6.12360620129467e-06
"54","nCon.5.0","nCon","12","5","1",0.841726376289552,0.00261127452388543
"55","Fm.5.0","Fm","13","5","1",3209.55850267353,3.73711289482668e-97
"56","Fo.5.0","Fo","14","5","1",3083.42976283654,4.04163861904951e-80
"57","Quant.6.0","Quant","1","6","1",0.0364479888044596,2.91095803863784e-80
"58","Sigma.6.0","Sigma","2","6","1",3.59355160333869,2.06947296463461e-22
"59","Connect.6.0","Connect","3","6","1",0.266517655754728,0.00473508551804742
"60","Tau1.6.0","Tau1","4","6","1",2274.46674263548,3.3510058965476e-07
"61","Tau2.6.0","Tau2","5","6","1",8476686.71015542,3.42711225518064e-05
"62","NPQ.6.0","NPQ","6","6","1",0.157011716831611,5.82333754009401e-97
"63","qP.6.0","qP","7","6","1",0.381119477465391,5.82191607727568e-80
"64","ABQ.6.0","ABQ","8","6","1",0.297747572583526,2.06947296463461e-22
"65","qm.6.0","qm","9","6","1",0.900919338638583,2.91095803863784e-80
"66","nTau1.6.0","nTau1","10","6","1",2.84164709232738,3.3510058965476e-07
"67","nTau2.6.0","nTau2","11","6","1",8.50036787644271,3.42711225518064e-05
"68","nCon.6.0","nCon","12","6","1",0.865885089075118,0.00473508551804742
"69","Fm.6.0","Fm","13","6","1",3133.10247577846,5.82333754009401e-97
"70","Fo.6.0","Fo","14","6","1",3018.90719181806,5.82191607727568e-80
"71","Quant.7.0","Quant","1","7","1",0.0401940035098982,6.7392419023311e-79
"72","Sigma.7.0","Sigma","2","7","1",3.74036054452153,2.3519379420836e-24
