"","uni","metric","metrix","stage","col","ASnormalized.t9_icra5.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.31558252865672,3.40084381961764e-62
"2","Sigma.1.0","Sigma","2","1","1",4.5034673626254,4.194679465598e-48
"3","Connect.1.0","Connect","3","1","1",0.275093542621003,9.51242678137241e-16
"4","Tau1.1.0","Tau1","4","1","1",601.155336448038,1.5386167045456e-30
"5","Tau2.1.0","Tau2","5","1","1",1595096.04644322,2.29378059440533e-23
"6","NPQ.1.0","NPQ","6","1","1",0.538083306118355,3.29000413500118e-87
"7","qP.1.0","qP","7","1","1",1.15173483480965,6.80168763923527e-62
"8","ABQ.1.0","ABQ","8","1","1",0,4.194679465598e-48
"9","qm.1.0","qm","9","1","1",0,3.40084381961764e-62
"10","nTau1.1.0","nTau1","10","1","1",1,1.5386167045456e-30
"11","nTau2.1.0","nTau2","11","1","1",1,2.29378059440533e-23
"12","nCon.1.0","nCon","12","1","1",1,9.51242678137241e-16
"13","Fm.1.0","Fm","13","1","1",1817.78343332857,3.29000413500118e-87
"14","Fo.1.0","Fo","14","1","1",1244.12274088844,6.80168763923527e-62
"15","Quant.3.0","Quant","1","3","1",0.0504234625433491,2.29922168290048e-86
"16","Sigma.3.0","Sigma","2","3","1",2.69674827609897,5.23051390833138e-36
"17","Connect.3.0","Connect","3","3","1",0.569051590926762,1.38463265296818e-22
"18","Tau1.3.0","Tau1","4","3","1",2950.06377332085,1.71547195679628e-07
"19","Tau2.3.0","Tau2","5","3","1",5047328.96778576,2.15365969717415e-08
"20","NPQ.3.0","NPQ","6","3","1",0.0445439563361078,8.9142285601937e-97
"21","qP.3.0","qP","7","3","1",0.188665449352183,4.59844336571182e-86
"22","ABQ.3.0","ABQ","8","3","1",0.401184008020247,5.23051390833138e-36
"23","qm.3.0","qm","9","3","1",0.840220994622304,2.29922168290048e-86
"24","nTau1.3.0","nTau1","10","3","1",4.90732360582787,1.71547195679628e-07
"25","nTau2.3.0","nTau2","11","3","1",3.16427902823808,2.15365969717415e-08
"26","nCon.3.0","nCon","12","3","1",2.06857487640394,1.38463265296818e-22
"27","Fm.3.0","Fm","13","3","1",2676.67275846219,8.9142285601937e-97
"28","Fo.3.0","Fo","14","3","1",2541.70564988507,4.59844336571182e-86
"29","Quant.4.0","Quant","1","4","1",0.0408448776164368,8.59694539960321e-83
"30","Sigma.4.0","Sigma","2","4","1",2.70224591040878,3.18421615304237e-29
"31","Connect.4.0","Connect","3","4","1",0.488437638835346,4.38123977499857e-14
"32","Tau1.4.0","Tau1","4","4","1",1684.555321435,2.77080701338883e-08
"33","Tau2.4.0","Tau2","5","4","1",6110293.52535855,1.29387067280545e-06
"34","NPQ.4.0","NPQ","6","4","1",0.0677870266245847,2.62324588136694e-96
"35","qP.4.0","qP","7","4","1",0.211114086774417,1.71938907992062e-82
"36","ABQ.4.0","ABQ","8","4","1",0.399963252129922,3.18421615304237e-29
"37","qm.4.0","qm","9","4","1",0.870573070726401,8.59694539960321e-83
"38","nTau1.4.0","nTau1","10","4","1",2.80219640299343,2.77080701338883e-08
"39","nTau2.4.0","nTau2","11","4","1",3.8306743590666,1.29387067280545e-06
"40","nCon.4.0","nCon","12","4","1",1.77553291212025,4.38123977499857e-14
"41","Fm.4.0","Fm","13","4","1",2618.40824361707,2.62324588136694e-96
"42","Fo.4.0","Fo","14","4","1",2511.45967935667,1.71938907992062e-82
"43","Quant.5.0","Quant","1","5","1",0.0411037234111385,2.23892534864661e-81
"44","Sigma.5.0","Sigma","2","5","1",3.7634365687526,2.96093325355802e-24
"45","Connect.5.0","Connect","3","5","1",0.335259056459329,0.000141610564780515
"46","Tau1.5.0","Tau1","4","5","1",1560.02334995285,5.34705926644441e-14
"47","Tau2.5.0","Tau2","5","5","1",9913977.85438965,8.85017862669246e-08
"48","NPQ.5.0","NPQ","6","5","1",0.113227373430043,2.44688254563955e-97
"49","qP.5.0","qP","7","5","1",0.287682885716223,4.47785069729323e-81
"50","ABQ.5.0","ABQ","8","5","1",0.164324671255391,2.96093325355802e-24
"51","qm.5.0","qm","9","5","1",0.8697528548678,2.23892534864661e-81
"52","nTau1.5.0","nTau1","10","5","1",2.59504200556606,5.34705926644441e-14
"53","nTau2.5.0","nTau2","11","5","1",6.21528582965022,8.85017862669246e-08
"54","nCon.5.0","nCon","12","5","1",1.21870929162891,0.000141610564780515
"55","Fm.5.0","Fm","13","5","1",2511.52856969958,2.44688254563955e-97
"56","Fo.5.0","Fo","14","5","1",2408.29539403148,4.47785069729323e-81
"57","Quant.6.0","Quant","1","6","1",0.0420994557531203,2.45154450045551e-85
"58","Sigma.6.0","Sigma","2","6","1",3.51058290718139,1.11168566174905e-28
"59","Connect.6.0","Connect","3","6","1",0.201459185403373,0.00390480447367281
"60","Tau1.6.0","Tau1","4","6","1",1110.90101944786,2.75295300256083e-10
"61","Tau2.6.0","Tau2","5","6","1",13310401.8481434,0.00120516619435728
"62","NPQ.6.0","NPQ","6","6","1",0.188695657599155,2.07151361241298e-101
"63","qP.6.0","qP","7","6","1",0.402902900116849,4.90308900091102e-85
"64","ABQ.6.0","ABQ","8","6","1",0.220471111589267,1.11168566174905e-28
"65","qm.6.0","qm","9","6","1",0.866597634753999,2.45154450045551e-85
"66","nTau1.6.0","nTau1","10","6","1",1.84794337186073,2.75295300256083e-10
"67","nTau2.6.0","nTau2","11","6","1",8.34457704150371,0.00120516619435728
"68","nCon.6.0","nCon","12","6","1",0.732329750396663,0.00390480447367281
"69","Fm.6.0","Fm","13","6","1",2352.07585311462,2.07151361241298e-101
"70","Fo.6.0","Fo","14","6","1",2253.05473980844,4.90308900091102e-85
"71","Quant.7.0","Quant","1","7","1",0.0548915585867781,2.54701141283166e-80
"72","Sigma.7.0","Sigma","2","7","1",3.77366726730572,7.19737226767137e-30
"73","Connect.7.0","Connect","3","7","1",0.367764183172428,1.15001106403447e-08
"74","Tau1.7.0","Tau1","4","7","1",1145.16343273565,1.07013837125403e-15
"75","Tau2.7.0","Tau2","5","7","1",15639864.3020678,4.21093903818012e-05
"76","NPQ.7.0","NPQ","6","7","1",0.246857306169202,9.18671424514708e-98
"77","qP.7.0","qP","7","7","1",0.502196117527242,5.09402282566333e-80
"78","ABQ.7.0","ABQ","8","7","1",0.162052933119121,7.19737226767137e-30
"79","qm.7.0","qm","9","7","1",0.826062745550508,2.54701141283166e-80
"80","nTau1.7.0","nTau1","10","7","1",1.904937648066,1.07013837125403e-15
"81","nTau2.7.0","nTau2","11","7","1",9.80496712843208,4.21093903818012e-05
"82","nCon.7.0","nCon","12","7","1",1.33686955959958,1.15001106403447e-08
"83","Fm.7.0","Fm","13","7","1",2242.35952190167,9.18671424514708e-98
"84","Fo.7.0","Fo","14","7","1",2119.27291283259,5.09402282566333e-80
"85","Quant.8.0","Quant","1","8","1",0.0589244408791158,7.57743228666644e-80
"86","Sigma.8.0","Sigma","2","8","1",3.87043618949128,4.97342862458411e-30
"87","Connect.8.0","Connect","3","8","1",0.368772565355815,1.4886722659057e-08
"88","Tau1.8.0","Tau1","4","8","1",1753.45647589762,1.23479393123005e-14
"89","Tau2.8.0","Tau2","5","8","1",21357901.6858039,0.0185573881743268
"90","NPQ.8.0","NPQ","6","8","1",0.296775507718306,4.43327933388801e-97
"91","qP.8.0","qP","7","8","1",0.569198128543098,1.51548645733329e-79
"92","ABQ.8.0","ABQ","8","8","1",0.140565284959693,4.97342862458411e-30
"93","qm.8.0","qm","9","8","1",0.813283577104448,7.57743228666644e-80
"94","nTau1.8.0","nTau1","10","8","1",2.91681096313313,1.23479393123005e-14
"95","nTau2.8.0","nTau2","11","8","1",13.3897276803038,0.0185573881743268
"96","nCon.8.0","nCon","12","8","1",1.34053515703156,1.4886722659057e-08
"97","Fm.8.0","Fm","13","8","1",2156.04191804995,4.43327933388801e-97
"98","Fo.8.0","Fo","14","8","1",2028.99835351692,1.51548645733329e-79
"99","Quant.9.0","Quant","1","9","1",0.0706340375825438,1.79205957590455e-76
"100","Sigma.9.0","Sigma","2","9","1",3.98989755095245,2.81322149923941e-30
"101","Connect.9.0","Connect","3","9","1",0.217033847739539,0.000529853106387401
"102","Tau1.9.0","Tau1","4","9","1",999.207319662967,8.92966164692368e-15
"103","Tau2.9.0","Tau2","5","9","1",8935580.34518865,0.00029019801630557
"104","NPQ.9.0","NPQ","6","9","1",0.329361902879111,1.39152716994178e-95
"105","qP.9.0","qP","7","9","1",0.624391260448724,3.5841191518091e-76
"106","ABQ.9.0","ABQ","8","9","1",0.114038755101258,2.81322149923941e-30
"107","qm.9.0","qm","9","9","1",0.776178871868483,1.79205957590455e-76
"108","nTau1.9.0","nTau1","10","9","1",1.66214497165881,8.92966164692368e-15
"109","nTau2.9.0","nTau2","11","9","1",5.60190739931516,0.00029019801630557
"110","nCon.9.0","nCon","12","9","1",0.788945627991521,0.000529853106387401
"111","Fm.9.0","Fm","13","9","1",2103.1912731107,1.39152716994178e-95
"112","Fo.9.0","Fo","14","9","1",1954.63438168252,3.5841191518091e-76
"113","Quant.10.0","Quant","1","10","1",0.104345643254955,7.90464476227834e-76
"114","Sigma.10.0","Sigma","2","10","1",4.59834223720279,2.24455035841692e-38
"115","Connect.10.0","Connect","3","10","1",0.339709840649796,4.21799296558773e-13
"116","Tau1.10.0","Tau1","4","10","1",1048.28767781797,8.06558130682486e-21
"117","Tau2.10.0","Tau2","5","10","1",4788397.56494082,1.30825748929766e-08
"118","NPQ.10.0","NPQ","6","10","1",0.350278214019598,2.18507675569781e-97
"119","qP.10.0","qP","7","10","1",0.698672134276513,1.58092895245567e-75
"120","ABQ.10.0","ABQ","8","10","1",-0.0210670727548212,2.24455035841692e-38
"121","qm.10.0","qm","9","10","1",0.66935544974843,7.90464476227834e-76
"122","nTau1.10.0","nTau1","10","10","1",1.74378835928138,8.06558130682486e-21
"123","nTau2.10.0","nTau2","11","10","1",3.00194936575643,1.30825748929766e-08
"124","nCon.10.0","nCon","12","10","1",1.23488845798832,4.21799296558773e-13
"125","Fm.10.0","Fm","13","10","1",2070.61205899053,2.18507675569781e-97
"126","Fo.10.0","Fo","14","10","1",1854.5527117637,1.58092895245567e-75
"127","Quant.11.0","Quant","1","11","1",0.116720368380087,1.40677284425123e-77
"128","Sigma.11.0","Sigma","2","11","1",4.4652192358299,2.0550686858242e-41
"129","Connect.11.0","Connect","3","11","1",0.254224871286585,1.23046828369972e-10
"130","Tau1.11.0","Tau1","4","11","1",1121.01411876456,1.60312927363344e-19
"131","Tau2.11.0","Tau2","5","11","1",5113631.21522514,7.24760062514586e-06
"132","NPQ.11.0","NPQ","6","11","1",0.308243469710037,6.24879476280828e-99
"133","qP.11.0","qP","7","11","1",0.674074441586259,2.81354568850246e-77
"134","ABQ.11.0","ABQ","8","11","1",0.00849303963273318,2.0550686858242e-41
"135","qm.11.0","qm","9","11","1",0.630143123331609,1.40677284425123e-77
"136","nTau1.11.0","nTau1","10","11","1",1.86476614411866,1.60312927363344e-19
"137","nTau2.11.0","nTau2","11","11","1",3.20584533240341,7.24760062514586e-06
"138","nCon.11.0","nCon","12","11","1",0.92413972667047,1.23046828369972e-10
"139","Fm.11.0","Fm","13","11","1",2137.14221983533,6.24879476280828e-99
"140","Fo.11.0","Fo","14","11","1",1887.69419265551,2.81354568850246e-77
"141","Quant.12.0","Quant","1","12","1",0.122738625919771,3.27156633434747e-76
"142","Sigma.12.0","Sigma","2","12","1",4.50758691361097,3.48340969228533e-41
"143","Connect.12.0","Connect","3","12","1",0.227409065187448,5.38528963304981e-09
"144","Tau1.12.0","Tau1","4","12","1",1016.44632147961,6.55913651506491e-21
