"","uni","metric","metrix","stage","col","ASnormalized.aabr3.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.375283909201082,0.0000000000000000000000000000000000000000000000000000000137520139008606
"2","Sigma.1.0","Sigma","2","1","1",4.4102687669697,0.00000000000000000000000000000000000000000000000548602885613491
"3","Connect.1.0","Connect","3","1","1",0.334778252980784,0.000000000000000000725987890470002
"4","Tau1.1.0","Tau1","4","1","1",699.390312362043,0.000000000000000000000000000000000682522567641977
"5","Tau2.1.0","Tau2","5","1","1",1072441.42438618,0.000000000000000000000000000000246246103763171
"6","NPQ.1.0","NPQ","6","1","1",0.824841659964053,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000453349516644778
"7","qP.1.0","qP","7","1","1",1.58065567175016,0.0000000000000000000000000000000000000000000000000000000275040278017212
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000548602885613491
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000137520139008606
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000000000682522567641977
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000000000246246103763171
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000000725987890470002
"13","Fm.1.0","Fm","13","1","1",1835.06310783649,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000453349516644778
"14","Fo.1.0","Fo","14","1","1",1146.39345109693,0.0000000000000000000000000000000000000000000000000000000275040278017212
"15","Quant.3.0","Quant","1","3","1",0.0473629392292942,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000411547926853045
"16","Sigma.3.0","Sigma","2","3","1",2.90761097651189,0.0000000000000000000000000000000221924287797167
"17","Connect.3.0","Connect","3","3","1",0.423565557419216,0.000000000000908207627352683
"18","Tau1.3.0","Tau1","4","3","1",2718.02083709986,0.0000254780929884793
"19","Tau2.3.0","Tau2","5","3","1",17377400.2945233,0.0861309227291718
"20","NPQ.3.0","NPQ","6","3","1",0.0307949765471755,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000917398533382532
"21","qP.3.0","qP","7","3","1",0.18223695434476,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000823095853705998
"22","ABQ.3.0","ABQ","8","3","1",0.340717962975822,0.0000000000000000000000000000000221924287797167
"23","qm.3.0","qm","9","3","1",0.873794377888137,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000411547926853045
"24","nTau1.3.0","nTau1","10","3","1",3.88627178423493,0.0000254780929884793
"25","nTau2.3.0","nTau2","11","3","1",16.2035892118485,0.0861309227291718
"26","nCon.3.0","nCon","12","3","1",1.26521228200426,0.000000000000908207627352683
"27","Fm.3.0","Fm","13","3","1",3248.65728300324,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000917398533382532
"28","Fo.3.0","Fo","14","3","1",3094.79132553155,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000823095853705998
"29","Quant.4.0","Quant","1","4","1",0.0328493585635687,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000148641531983125
"30","Sigma.4.0","Sigma","2","4","1",2.70344956549484,0.00000000000000000000000000119924814765163
"31","Connect.4.0","Connect","3","4","1",0.485563541584999,0.0000000000378683147798161
"32","Tau1.4.0","Tau1","4","4","1",6602.88435617874,0.0000991627765947995
"33","Tau2.4.0","Tau2","5","4","1",5708809.99378988,0.00000408230153930413
"34","NPQ.4.0","NPQ","6","4","1",-0.0079452940085403,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000195898835904604
"35","qP.4.0","qP","7","4","1",0.0603351482558785,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000297283063964291
"36","ABQ.4.0","ABQ","8","4","1",0.387010246236674,0.00000000000000000000000000119924814765163
"37","qm.4.0","qm","9","4","1",0.912467980219297,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000148641531983125
"38","nTau1.4.0","nTau1","10","4","1",9.44091480746837,0.0000991627765947995
"39","nTau2.4.0","nTau2","11","4","1",5.32319049225218,0.00000408230153930413
"40","nCon.4.0","nCon","12","4","1",1.45040347532034,0.0000000000378683147798161
"41","Fm.4.0","Fm","13","4","1",3375.51909952027,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000195898835904604
"42","Fo.4.0","Fo","14","4","1",3264.63546228195,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000297283063964291
"43","Quant.5.0","Quant","1","5","1",0.0369809716911186,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000334429637211091
"44","Sigma.5.0","Sigma","2","5","1",3.21732412187177,0.00000000000000000000000000183059828104807
"45","Connect.5.0","Connect","3","5","1",0.391422006974712,0.00000000732126638702985
"46","Tau1.5.0","Tau1","4","5","1",3015.54059672698,0.0000254003701758893
"47","Tau2.5.0","Tau2","5","5","1",5733863.9750961,0.00000154686888558472
"48","NPQ.5.0","NPQ","6","5","1",0.0119835444185252,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000781015017843834
"49","qP.5.0","qP","7","5","1",0.116290379753074,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000668859274422181
"50","ABQ.5.0","ABQ","8","5","1",0.270492504681886,0.00000000000000000000000000183059828104807
"51","qm.5.0","qm","9","5","1",0.901458680256649,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000334429637211091
"52","nTau1.5.0","nTau1","10","5","1",4.3116705270661,0.0000254003701758893
"53","nTau2.5.0","nTau2","11","5","1",5.34655212370032,0.00000154686888558472
"54","nCon.5.0","nCon","12","5","1",1.16919783017441,0.00000000732126638702985
"55","Fm.5.0","Fm","13","5","1",3309.04551394387,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000781015017843834
"56","Fo.5.0","Fo","14","5","1",3186.67379546809,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000668859274422181
