"","uni","metric","metrix","stage","col","ASnormalized.aabr6.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.351289448198542,0.0000000000000000000000000000000000000000000000000000000000229637400909359
"2","Sigma.1.0","Sigma","2","1","1",4.07277343494275,0.00000000000000000000000000000000000000000000000237921076216631
"3","Connect.1.0","Connect","3","1","1",0.34769848313542,0.0000000000000000000162365932222469
"4","Tau1.1.0","Tau1","4","1","1",707.140679704287,0.000000000000000000000000000280396451205356
"5","Tau2.1.0","Tau2","5","1","1",1350044.71018865,0.000000000000000000000153390457100611
"6","NPQ.1.0","NPQ","6","1","1",0.74817161842175,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000268671670484276
"7","qP.1.0","qP","7","1","1",1.575187550914,0.0000000000000000000000000000000000000000000000000000000000459274801818719
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000237921076216631
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000229637400909359
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000280396451205356
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000153390457100611
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000162365932222469
"13","Fm.1.0","Fm","13","1","1",1958.18852781379,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000268671670484276
"14","Fo.1.0","Fo","14","1","1",1270.29756040937,0.0000000000000000000000000000000000000000000000000000000000459274801818719
"15","Quant.3.0","Quant","1","3","1",0.0562149233140034,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000240665005066599
"16","Sigma.3.0","Sigma","2","3","1",2.71273163975214,0.000000000000000000000000000000000441182105257223
"17","Connect.3.0","Connect","3","3","1",0.470665318982252,0.00000000000000149048197182575
"18","Tau1.3.0","Tau1","4","3","1",2232.91530138054,0.000000224963558993899
"19","Tau2.3.0","Tau2","5","3","1",7881593.8357368,0.00000315443579899904
"20","NPQ.3.0","NPQ","6","3","1",0.06425110938352,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000766096061533295
"21","qP.3.0","qP","7","3","1",0.283502555105601,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000481330010125538
"22","ABQ.3.0","ABQ","8","3","1",0.33393504866291,0.000000000000000000000000000000000441182105257223
"23","qm.3.0","qm","9","3","1",0.839975485736105,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000240665005066599
"24","nTau1.3.0","nTau1","10","3","1",3.15766772506187,0.000000224963558993899
"25","nTau2.3.0","nTau2","11","3","1",5.83802430856934,0.00000315443579899904
"26","nCon.3.0","nCon","12","3","1",1.35365939689458,0.00000000000000149048197182575
"27","Fm.3.0","Fm","13","3","1",3216.58072766877,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000766096061533295
"28","Fo.3.0","Fo","14","3","1",3035.76088872957,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000481330010125538
"29","Quant.4.0","Quant","1","4","1",0.039713432319711,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117696119168597
"30","Sigma.4.0","Sigma","2","4","1",2.66209910766788,0.00000000000000000000000000000000290656295159726
"31","Connect.4.0","Connect","3","4","1",0.59622547793829,0.00000000000000000000767718840636847
"32","Tau1.4.0","Tau1","4","4","1",4109.76733051663,0.000123239717501332
"33","Tau2.4.0","Tau2","5","4","1",4260530.09190176,0.0000000304415860680622
"34","NPQ.4.0","NPQ","6","4","1",0.027427255505045,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355236517936932
"35","qP.4.0","qP","7","4","1",0.163670792231836,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235392238333643
"36","ABQ.4.0","ABQ","8","4","1",0.346367002684672,0.00000000000000000000000000000000290656295159726
"37","qm.4.0","qm","9","4","1",0.886949543963342,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117696119168597
"38","nTau1.4.0","nTau1","10","4","1",5.81181008032978,0.000123239717501332
"39","nTau2.4.0","nTau2","11","4","1",3.15584369891454,0.0000000304415860680622
"40","nCon.4.0","nCon","12","4","1",1.71477733397552,0.00000000000000000000767718840636847
"41","Fm.4.0","Fm","13","4","1",3331.86567662194,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355236517936932
"42","Fo.4.0","Fo","14","4","1",3199.54585457504,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235392238333643
"43","Quant.5.0","Quant","1","5","1",0.0392408046018166,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000543872922915693
"44","Sigma.5.0","Sigma","2","5","1",3.17500219070886,0.0000000000000000000000000000461678152145746
"45","Connect.5.0","Connect","3","5","1",0.381936470041408,0.00000000204136389417299
"46","Tau1.5.0","Tau1","4","5","1",2233.94884951532,0.0000000839058560502859
"47","Tau2.5.0","Tau2","5","5","1",5812290.80597507,0.0000000152676781790916
"48","NPQ.5.0","NPQ","6","5","1",0.03447081385792,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227106180968326
"49","qP.5.0","qP","7","5","1",0.178465464122471,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000108774584583139
"50","ABQ.5.0","ABQ","8","5","1",0.220432405233097,0.0000000000000000000000000000461678152145746
"51","qm.5.0","qm","9","5","1",0.888294952202383,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000543872922915693
"52","nTau1.5.0","nTau1","10","5","1",3.15912931278329,0.0000000839058560502859
"53","nTau2.5.0","nTau2","11","5","1",4.30525801264973,0.0000000152676781790916
"54","nCon.5.0","nCon","12","5","1",1.09847033727971,0.00000000204136389417299
"55","Fm.5.0","Fm","13","5","1",3309.17949736696,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227106180968326
"56","Fo.5.0","Fo","14","5","1",3179.32463131844,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000108774584583139
"57","Quant.6.0","Quant","1","6","1",0.0406943334146037,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067789515321903
"58","Sigma.6.0","Sigma","2","6","1",3.10533346956239,0.000000000000000000000000000000000700348334887775
"59","Connect.6.0","Connect","3","6","1",0.39965513026523,0.00000000000120624720468315
"60","Tau1.6.0","Tau1","4","6","1",1779.25037500586,0.0000000528059386584827
"61","Tau2.6.0","Tau2","5","6","1",11552205.615259,0.0052139898714515
"62","NPQ.6.0","NPQ","6","6","1",0.0453975233360307,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261353754352319
"63","qP.6.0","qP","7","6","1",0.206260985518615,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000135579030643806
"64","ABQ.6.0","ABQ","8","6","1",0.237538370556074,0.000000000000000000000000000000000700348334887775
"65","qm.6.0","qm","9","6","1",0.884157256577761,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067789515321903
"66","nTau1.6.0","nTau1","10","6","1",2.51611938907249,0.0000000528059386584827
"67","nTau2.6.0","nTau2","11","6","1",8.55690595139233,0.0052139898714515
"68","nCon.6.0","nCon","12","6","1",1.14943018060155,0.00000000000120624720468315
"69","Fm.6.0","Fm","13","6","1",3274.5912740629,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261353754352319
"70","Fo.6.0","Fo","14","6","1",3141.33396495964,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000135579030643806
"71","Quant.7.0","Quant","1","7","1",0.044570819021546,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000168136950073143
"72","Sigma.7.0","Sigma","2","7","1",3.37330295054793,0.00000000000000000000000000000386588110271633
"73","Connect.7.0","Connect","3","7","1",0.302379398198396,0.000000726235498856767
"74","Tau1.7.0","Tau1","4","7","1",1424.39582331133,0.0000000000000177355740115333
"75","Tau2.7.0","Tau2","5","7","1",9951546.45236364,0.000000385091976371624
"76","NPQ.7.0","NPQ","6","7","1",0.0621088179377185,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114145885929419
"77","qP.7.0","qP","7","7","1",0.251564291900071,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000336273900146286
"78","ABQ.7.0","ABQ","8","7","1",0.171743038390904,0.00000000000000000000000000000386588110271633
"79","qm.7.0","qm","9","7","1",0.873122237943352,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000168136950073143
"80","nTau1.7.0","nTau1","10","7","1",2.01430332632961,0.0000000000000177355740115333
"81","nTau2.7.0","nTau2","11","7","1",7.37127176400923,0.000000385091976371624
"82","nCon.7.0","nCon","12","7","1",0.869659814076977,0.000000726235498856767
"83","Fm.7.0","Fm","13","7","1",3223.06862538813,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114145885929419
