"","uni","metric","metrix","stage","col","ASnormalized.t3_aabr2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.378956634667298,0.0000000000000000000000000000000000000000000000000000000000169927764968212
"2","Sigma.1.0","Sigma","2","1","1",4.13703543120089,0.000000000000000000000000000000000000000000000000020702379279542
"3","Connect.1.0","Connect","3","1","1",0.324368174848876,0.00000000000000000000892769195381568
"4","Tau1.1.0","Tau1","4","1","1",599.508859331916,0.00000000000000000000000000000674787253489494
"5","Tau2.1.0","Tau2","5","1","1",1006179.27727653,0.0000000000000000000000000000168099764977478
"6","NPQ.1.0","NPQ","6","1","1",0.881149294466589,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000529402192545699
"7","qP.1.0","qP","7","1","1",1.32898421388233,0.0000000000000000000000000000000000000000000000000000000000339855529936423
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000000020702379279542
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000169927764968212
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000000674787253489494
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000000168099764977478
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000000892769195381568
"13","Fm.1.0","Fm","13","1","1",1845.98695544162,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000529402192545699
"14","Fo.1.0","Fo","14","1","1",1146.43795116773,0.0000000000000000000000000000000000000000000000000000000000339855529936423
"15","Quant.3.0","Quant","1","3","1",0.0452042821922577,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000398600921740854
"16","Sigma.3.0","Sigma","2","3","1",2.69707579905678,0.0000000000000000000000000000000359210107430183
"17","Connect.3.0","Connect","3","3","1",0.512195933485915,0.000000000000000122415571605557
"18","Tau1.3.0","Tau1","4","3","1",3614.1392892638,0.00000537671075544142
"19","Tau2.3.0","Tau2","5","3","1",4317934.25887833,0.0000000000642142797339742
"20","NPQ.3.0","NPQ","6","3","1",0.131566895428716,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523161878708712
"21","qP.3.0","qP","7","3","1",0.309932595277467,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000797201843476476
"22","ABQ.3.0","ABQ","8","3","1",0.348065578864555,0.0000000000000000000000000000000359210107430183
"23","qm.3.0","qm","9","3","1",0.880713838848753,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000398600921740854
"24","nTau1.3.0","nTau1","10","3","1",6.02850021814747,0.00000537671075544142
"25","nTau2.3.0","nTau2","11","3","1",4.2914164069905,0.0000000000642142797339742
