"","uni","metric","metrix","stage","col","ASnormalized.t7_aabr5.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.368808724346446,0.000000000000000000000000000000000000000000000000000000000490814357719991
"2","Sigma.1.0","Sigma","2","1","1",3.97517514358474,0.00000000000000000000000000000000000000000000000257967273969401
"3","Connect.1.0","Connect","3","1","1",0.332453852162524,0.000000000000000000200491693949795
"4","Tau1.1.0","Tau1","4","1","1",663.572063147671,0.0000000000000000000000000000949819838752876
"5","Tau2.1.0","Tau2","5","1","1",1119732.57110089,0.00000000000000000000000004003997136058
"6","NPQ.1.0","NPQ","6","1","1",0.788097773653823,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000426812582544235
"7","qP.1.0","qP","7","1","1",1.34289909242621,0.000000000000000000000000000000000000000000000000000000000981628715439982
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000257967273969401
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000490814357719991
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000949819838752876
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000004003997136058
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000000200491693949795
"13","Fm.1.0","Fm","13","1","1",1996.21327334361,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000426812582544235
"14","Fo.1.0","Fo","14","1","1",1259.99240247831,0.000000000000000000000000000000000000000000000000000000000981628715439982
"15","Quant.3.0","Quant","1","3","1",0.0652804386254084,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000374508253959852
"16","Sigma.3.0","Sigma","2","3","1",2.84176240092165,0.000000000000000000000000000000000347770599921445
"17","Connect.3.0","Connect","3","3","1",0.432112180917544,0.0000000000000775487182545632
"18","Tau1.3.0","Tau1","4","3","1",2121.67526155017,0.0000000687502797458428
"19","Tau2.3.0","Tau2","5","3","1",6122092.50988256,0.000008057531998185
"20","NPQ.3.0","NPQ","6","3","1",0.0999874631370769,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143558452152247
"21","qP.3.0","qP","7","3","1",0.311843833290377,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000749016507918268
"22","ABQ.3.0","ABQ","8","3","1",0.285122718301411,0.000000000000000000000000000000000347770599921445
"23","qm.3.0","qm","9","3","1",0.822996490278017,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000374508253959852
"24","nTau1.3.0","nTau1","10","3","1",3.19735471003097,0.0000000687502797458428
"25","nTau2.3.0","nTau2","11","3","1",5.46745952371779,0.000008057531998185
"26","nCon.3.0","nCon","12","3","1",1.29976590166355,0.0000000000000775487182545632
"27","Fm.3.0","Fm","13","3","1",3244.96835593399,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143558452152247
"28","Fo.3.0","Fo","14","3","1",3033.13539833305,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000749016507918268
"29","Quant.4.0","Quant","1","4","1",0.0464838660328506,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000521179581836098
"30","Sigma.4.0","Sigma","2","4","1",2.64302393463851,0.00000000000000000000000000000000432124028194054
"31","Connect.4.0","Connect","3","4","1",0.471142981499756,0.0000000000000160478101457181
"32","Tau1.4.0","Tau1","4","4","1",2954.53319532659,0.00000084563309244547
"33","Tau2.4.0","Tau2","5","4","1",3953758.29476254,0.0000000000357393747184545
"34","NPQ.4.0","NPQ","6","4","1",0.0550321801580416,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119341363905
"35","qP.4.0","qP","7","4","1",0.199712556261277,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000104235916366026
"36","ABQ.4.0","ABQ","8","4","1",0.335117613898371,0.00000000000000000000000000000000432124028194054
"37","qm.4.0","qm","9","4","1",0.873962130057462,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000521179581836098
"38","nTau1.4.0","nTau1","10","4","1",4.45246772643152,0.00000084563309244547
"39","nTau2.4.0","nTau2","11","4","1",3.53098444825563,0.0000000000357393747184545
"40","nCon.4.0","nCon","12","4","1",1.41716806237947,0.0000000000000160478101457181
"41","Fm.4.0","Fm","13","4","1",3383.23757031679,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119341363905
"42","Fo.4.0","Fo","14","4","1",3225.97160834088,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000104235916366026
"43","Quant.5.0","Quant","1","5","1",0.0461678216735306,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000883789046820173
"44","Sigma.5.0","Sigma","2","5","1",3.07399432690665,0.000000000000000000000000000000364615729590181
"45","Connect.5.0","Connect","3","5","1",0.433087829609006,0.0000000000012355998337068
"46","Tau1.5.0","Tau1","4","5","1",2786.80014844557,0.000000453173970729713
"47","Tau2.5.0","Tau2","5","5","1",5449779.42935971,0.000000606337461527616
"48","NPQ.5.0","NPQ","6","5","1",0.0824275573216045,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000565558924736632
"49","qP.5.0","qP","7","5","1",0.246582870960278,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000176757809364034
"50","ABQ.5.0","ABQ","8","5","1",0.2267021663517,0.000000000000000000000000000000364615729590181
"51","qm.5.0","qm","9","5","1",0.874819063037776,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000883789046820173
"52","nTau1.5.0","nTau1","10","5","1",4.19969480816644,0.000000453173970729713
"53","nTau2.5.0","nTau2","11","5","1",4.86703662107608,0.000000606337461527616
"54","nCon.5.0","nCon","12","5","1",1.30270059074932,0.0000000000012355998337068
"55","Fm.5.0","Fm","13","5","1",3297.61052890803,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000565558924736632
"56","Fo.5.0","Fo","14","5","1",3145.36703406065,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000176757809364034
"57","Quant.6.0","Quant","1","6","1",0.0487136946645542,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000634511214462734
"58","Sigma.6.0","Sigma","2","6","1",3.05178156563487,0.000000000000000000000000000000000000860096224915817
"59","Connect.6.0","Connect","3","6","1",0.374014519223007,0.0000000000000531962403655953
"60","Tau1.6.0","Tau1","4","6","1",1733.45009903393,0.00000000423204787088312
"61","Tau2.6.0","Tau2","5","6","1",8538141.0448269,0.0000985161928769796
"62","NPQ.6.0","NPQ","6","6","1",0.11038439765648,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000545695988209227
"63","qP.6.0","qP","7","6","1",0.297391125046092,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000126902242892547
"64","ABQ.6.0","ABQ","8","6","1",0.232290036186221,0.000000000000000000000000000000000000860096224915817
"65","qm.6.0","qm","9","6","1",0.867916100003117,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000634511214462734
"66","nTau1.6.0","nTau1","10","6","1",2.61230120329548,0.00000000423204787088312
"67","nTau2.6.0","nTau2","11","6","1",7.62516092251603,0.0000985161928769796
"68","nCon.6.0","nCon","12","6","1",1.12501183785401,0.0000000000000531962403655953
"69","Fm.6.0","Fm","13","6","1",3214.58453247125,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000545695988209227
"70","Fo.6.0","Fo","14","6","1",3057.99024308304,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000126902242892547
"71","Quant.7.0","Quant","1","7","1",0.0473327994949678,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000680372764677608
"72","Sigma.7.0","Sigma","2","7","1",3.28340482401578,0.00000000000000000000000000000460139529288832
"73","Connect.7.0","Connect","3","7","1",0.313770080430191,0.000000505413761320376
"74","Tau1.7.0","Tau1","4","7","1",1826.45316907361,0.000000000000484049820184397
"75","Tau2.7.0","Tau2","5","7","1",8268867.71827358,0.00000249625015521477
"76","NPQ.7.0","NPQ","6","7","1",0.149898307932669,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000375757981938276
"77","qP.7.0","qP","7","7","1",0.356001936781074,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000136074552935522
"78","ABQ.7.0","ABQ","8","7","1",0.174022601415527,0.00000000000000000000000000000460139529288832
"79","qm.7.0","qm","9","7","1",0.871660304189266,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000680372764677608
"80","nTau1.7.0","nTau1","10","7","1",2.75245639548142,0.000000000000484049820184397
"81","nTau2.7.0","nTau2","11","7","1",7.38468088870886,0.00000249625015521477
"82","nCon.7.0","nCon","12","7","1",0.943800405347087,0.000000505413761320376
"83","Fm.7.0","Fm","13","7","1",3104.12189076195,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000375757981938276
"84","Fo.7.0","Fo","14","7","1",2957.19511169857,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000136074552935522
"85","Quant.8.0","Quant","1","8","1",0.0523782291247695,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000117637795615674
"86","Sigma.8.0","Sigma","2","8","1",3.50706706814479,0.00000000000000000000000000000000842485198224015
"87","Connect.8.0","Connect","3","8","1",0.282375135801248,0.000000226949491217415
"88","Tau1.8.0","Tau1","4","8","1",1430.48619740511,0.00000000000814655549039969
"89","Tau2.8.0","Tau2","5","8","1",10639730.0883175,0.000248899206878907
"90","NPQ.8.0","NPQ","6","8","1",0.180957037596557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024581614643323
"91","qP.8.0","qP","7","8","1",0.41009329403214,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000235275591231349
"92","ABQ.8.0","ABQ","8","8","1",0.117757849285056,0.00000000000000000000000000000000842485198224015
"93","qm.8.0","qm","9","8","1",0.857979961787544,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000117637795615674
"94","nTau1.8.0","nTau1","10","8","1",2.15573601851103,0.00000000000814655549039969
"95","nTau2.8.0","nTau2","11","8","1",9.50202786175707,0.000248899206878907
"96","nCon.8.0","nCon","12","8","1",0.849366412705019,0.000000226949491217415
"97","Fm.8.0","Fm","13","8","1",3022.48464268293,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024581614643323
"98","Fo.8.0","Fo","14","8","1",2864.17224954239,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000235275591231349
"99","Quant.9.0","Quant","1","9","1",0.0504186130730922,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000245404758951425
"100","Sigma.9.0","Sigma","2","9","1",3.5131112142961,0.00000000000000000000000000000748437339764266
"101","Connect.9.0","Connect","3","9","1",0.352235713799351,0.0000000104976497441479
"102","Tau1.9.0","Tau1","4","9","1",1744.77038538182,0.000000000000000549645801427877
"103","Tau2.9.0","Tau2","5","9","1",13381940.4487805,0.000592484496988267
"104","NPQ.9.0","NPQ","6","9","1",0.22186662514424,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199194514682064
"105","qP.9.0","qP","7","9","1",0.462526560395657,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049080951790285
"106","ABQ.9.0","ABQ","8","9","1",0.116237376366756,0.00000000000000000000000000000748437339764266
"107","qm.9.0","qm","9","9","1",0.863293328642273,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000245404758951425
"108","nTau1.9.0","nTau1","10","9","1",2.62936082195122,0.000000000000000549645801427877
"109","nTau2.9.0","nTau2","11","9","1",11.9510147281183,0.000592484496988267
"110","nCon.9.0","nCon","12","9","1",1.05950257910429,0.0000000104976497441479
"111","Fm.9.0","Fm","13","9","1",2921.28816382275,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199194514682064
"112","Fo.9.0","Fo","14","9","1",2774.00086621597,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049080951790285
"113","Quant.10.0","Quant","1","10","1",0.087501788175522,0.000000000000000000000000000000000000000000000000000000000000000000000000000116315766257216
"114","Sigma.10.0","Sigma","2","10","1",4.40550381066101,0.000000000000000000000000000000000063778688732831
"115","Connect.10.0","Connect","3","10","1",0.235584015184458,0.00000278403550065505
"116","Tau1.10.0","Tau1","4","10","1",1658.77375254993,0.000000000000000111764203196288
"117","Tau2.10.0","Tau2","5","10","1",5866534.2343725,0.00000716455195111662
"118","NPQ.10.0","NPQ","6","10","1",0.275501117481475,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000749071778142026
"119","qP.10.0","qP","7","10","1",0.590698190264738,0.000000000000000000000000000000000000000000000000000000000000000000000000000232631532514433
"120","ABQ.10.0","ABQ","8","10","1",-0.108254014359783,0.000000000000000000000000000000000063778688732831
"121","qm.10.0","qm","9","10","1",0.762744798592872,0.000000000000000000000000000000000000000000000000000000000000000000000000000116315766257216
"122","nTau1.10.0","nTau1","10","10","1",2.49976429791437,0.000000000000000111764203196288
"123","nTau2.10.0","nTau2","11","10","1",5.23922799584608,0.00000716455195111662
"124","nCon.10.0","nCon","12","10","1",0.708621703890769,0.00000278403550065505
"125","Fm.10.0","Fm","13","10","1",2798.44875154001,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000749071778142026
"126","Fo.10.0","Fo","14","10","1",2553.5794816627,0.000000000000000000000000000000000000000000000000000000000000000000000000000232631532514433
"127","Quant.11.0","Quant","1","11","1",0.102369777440907,0.000000000000000000000000000000000000000000000000000000000000000000000000000188666782961058
"128","Sigma.11.0","Sigma","2","11","1",4.20085622426013,0.0000000000000000000000000000000000000502433006165136
"129","Connect.11.0","Connect","3","11","1",0.26567277170725,0.0000000034241008567833
"130","Tau1.11.0","Tau1","4","11","1",1345.29814227438,0.00000000000000104632418914781
"131","Tau2.11.0","Tau2","5","11","1",3947643.20529363,0.000000101571693050344
"132","NPQ.11.0","NPQ","6","11","1",0.264850313867506,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000323042814466418
"133","qP.11.0","qP","7","11","1",0.602592446899699,0.000000000000000000000000000000000000000000000000000000000000000000000000000377333565922116
"134","ABQ.11.0","ABQ","8","11","1",-0.0567726131613606,0.0000000000000000000000000000000000000502433006165136
"135","qm.11.0","qm","9","11","1",0.722431247736037,0.000000000000000000000000000000000000000000000000000000000000000000000000000188666782961058
"136","nTau1.11.0","nTau1","10","11","1",2.02735801729345,0.00000000000000104632418914781
"137","nTau2.11.0","nTau2","11","11","1",3.52552324294043,0.000000101571693050344
"138","nCon.11.0","nCon","12","11","1",0.799126765952986,0.0000000034241008567833
"139","Fm.11.0","Fm","13","11","1",2822.0133802946,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000323042814466418
"140","Fo.11.0","Fo","14","11","1",2533.12449861858,0.000000000000000000000000000000000000000000000000000000000000000000000000000377333565922116
"141","Quant.12.0","Quant","1","12","1",0.107775457164954,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000313844856446048
"142","Sigma.12.0","Sigma","2","12","1",4.35834410033353,0.000000000000000000000000000000000000000000000134776514513173
"143","Connect.12.0","Connect","3","12","1",0.272511930590196,0.00000000000000163017721265842
"144","Tau1.12.0","Tau1","4","12","1",1697.17039696695,0.0000000000000000400808228685073
"145","Tau2.12.0","Tau2","5","12","1",4192057.04273138,0.000000601196537474434
"146","NPQ.12.0","NPQ","6","12","1",0.270163688838995,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003043873425328
"147","qP.12.0","qP","7","12","1",0.617587598739015,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000627689712892095
"148","ABQ.12.0","ABQ","8","12","1",-0.0963904590134015,0.000000000000000000000000000000000000000000000134776514513173
