"","uni","metric","metrix","stage","col","ASnormalized.aglo3.005r","pval"
"1","Quant.1.0","Quant","1","1","1",0.379072280659902,0.0000000000000000000000000000000000000000000000000000000000000814609358497813
"2","Sigma.1.0","Sigma","2","1","1",4.01316197658427,0.000000000000000000000000000000000000000000000000000105388513441996
"3","Connect.1.0","Connect","3","1","1",0.340182554361422,0.0000000000000000000000106947683680639
"4","Tau1.1.0","Tau1","4","1","1",798.796386902425,0.00000000000000000000000000208016978363429
"5","Tau2.1.0","Tau2","5","1","1",1002000.32134116,0.00000000000000000000000000991850519345435
"6","NPQ.1.0","NPQ","6","1","1",0.819919358558523,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000578879222863962
"7","qP.1.0","qP","7","1","1",1.53983896445212,0.000000000000000000000000000000000000000000000000000000000000162921871699563
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000000000105388513441996
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000000814609358497813
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000208016978363429
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000000991850519345435
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000000106947683680639
"13","Fm.1.0","Fm","13","1","1",1971.78452256901,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000578879222863962
"14","Fo.1.0","Fo","14","1","1",1224.33566662888,0.000000000000000000000000000000000000000000000000000000000000162921871699563
"15","Quant.3.0","Quant","1","3","1",0.0463040350343485,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000329616372954168
"16","Sigma.3.0","Sigma","2","3","1",2.76292440902036,0.0000000000000000000000000000000871615641630454
"17","Connect.3.0","Connect","3","3","1",0.455650271289289,0.000000000000246505411530799
"18","Tau1.3.0","Tau1","4","3","1",2930.21048767157,0.0000163214532381112
"19","Tau2.3.0","Tau2","5","3","1",7019520.62784646,0.0000105424159087381
"20","NPQ.3.0","NPQ","6","3","1",0.0820357630743229,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000244465779899205
"21","qP.3.0","qP","7","3","1",0.27722413143001,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000659232745905892
"22","ABQ.3.0","ABQ","8","3","1",0.311534290132996,0.0000000000000000000000000000000871615641630454
"23","qm.3.0","qm","9","3","1",0.877849060992429,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000329616372954168
"24","nTau1.3.0","nTau1","10","3","1",3.66828210006601,0.0000163214532381112
"25","nTau2.3.0","nTau2","11","3","1",7.00550736196464,0.0000105424159087381
"26","nCon.3.0","nCon","12","3","1",1.33942868453269,0.000000000000246505411530799
"27","Fm.3.0","Fm","13","3","1",3316.42349170942,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000244465779899205
"28","Fo.3.0","Fo","14","3","1",3162.85970216057,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000659232745905892
"29","Quant.4.0","Quant","1","4","1",0.0372977044015162,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000550871698357123
"30","Sigma.4.0","Sigma","2","4","1",2.64752138611678,0.00000000000000000000000000000128705095380934
"31","Connect.4.0","Connect","3","4","1",0.545672776861061,0.0000000000000000424963030613788
"32","Tau1.4.0","Tau1","4","4","1",5965.29082278444,0.0000302629929098806
"33","Tau2.4.0","Tau2","5","4","1",5340816.54942157,0.0000013692923932476
"34","NPQ.4.0","NPQ","6","4","1",0.0506808833861185,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000454742207167068
"35","qP.4.0","qP","7","4","1",0.195711998078622,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000110174339671379
"36","ABQ.4.0","ABQ","8","4","1",0.340290423968841,0.00000000000000000000000000000128705095380934
"37","qm.4.0","qm","9","4","1",0.901607935202787,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000550871698357123
"38","nTau1.4.0","nTau1","10","4","1",7.46784902960899,0.0000302629929098806
"39","nTau2.4.0","nTau2","11","4","1",5.33015452756838,0.0000013692923932476
"40","nCon.4.0","nCon","12","4","1",1.60405867339487,0.0000000000000000424963030613788
"41","Fm.4.0","Fm","13","4","1",3415.39365593527,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000454742207167068
"42","Fo.4.0","Fo","14","4","1",3288.00731294138,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000110174339671379
"43","Quant.5.0","Quant","1","5","1",0.0373974772354955,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000302070234344826
"44","Sigma.5.0","Sigma","2","5","1",2.94375103836018,0.00000000000000000000000000778033400972111
"45","Connect.5.0","Connect","3","5","1",0.413338052345529,0.00000000874673691262891
"46","Tau1.5.0","Tau1","4","5","1",3925.5211566982,0.00000102410657500896
"47","Tau2.5.0","Tau2","5","5","1",8711645.35284804,0.0000000536836061840334
"48","NPQ.5.0","NPQ","6","5","1",0.067242557336999,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166140015499407
"49","qP.5.0","qP","7","5","1",0.229163810221182,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000604140468689651
"50","ABQ.5.0","ABQ","8","5","1",0.266475897176295,0.00000000000000000000000000778033400972111
"51","qm.5.0","qm","9","5","1",0.901344732539154,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000302070234344826
"52","nTau1.5.0","nTau1","10","5","1",4.91429508328223,0.00000102410657500896
"53","nTau2.5.0","nTau2","11","5","1",8.69425405092447,0.0000000536836061840334
"54","nCon.5.0","nCon","12","5","1",1.21504776493149,0.00000000874673691262891
"55","Fm.5.0","Fm","13","5","1",3362.39292451331,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166140015499407
"56","Fo.5.0","Fo","14","5","1",3236.64791166203,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000604140468689651
"57","Quant.6.0","Quant","1","6","1",0.0342269317805277,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000806195401204169
"58","Sigma.6.0","Sigma","2","6","1",2.80132692795379,0.0000000000000000000000000000132896655965731
"59","Connect.6.0","Connect","3","6","1",0.479598707628673,0.000000000000371996884275373
"60","Tau1.6.0","Tau1","4","6","1",2858.13509197417,0.0000630190747417332
"61","Tau2.6.0","Tau2","5","6","1",9702725.65357385,0.00411817368608336
"62","NPQ.6.0","NPQ","6","6","1",0.0759920849741725,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109168019495483
"63","qP.6.0","qP","7","6","1",0.239419076139914,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000161239080240823
"64","ABQ.6.0","ABQ","8","6","1",0.301965147607103,0.0000000000000000000000000000132896655965731
"65","qm.6.0","qm","9","6","1",0.909708692703818,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000806195401204169
"66","nTau1.6.0","nTau1","10","6","1",3.57805210293634,0.0000630190747417332
"67","nTau2.6.0","nTau2","11","6","1",9.68335583025251,0.00411817368608336
"68","nCon.6.0","nCon","12","6","1",1.40982746316594,0.000000000000371996884275373
"69","Fm.6.0","Fm","13","6","1",3335.05132021073,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109168019495483
"70","Fo.6.0","Fo","14","6","1",3220.90274618932,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000161239080240823
"71","Quant.7.0","Quant","1","7","1",0.0349017839627769,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000334528660474755
"72","Sigma.7.0","Sigma","2","7","1",3.29444794476665,0.000000000000000000000000000599109385593139
"73","Connect.7.0","Connect","3","7","1",0.400566421919251,0.00000000722708370984602
"74","Tau1.7.0","Tau1","4","7","1",1962.6746119225,0.0000000000162174264982819
