"","uni","metric","metrix","stage","col","ASnormalized.t3_aglo2.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.366794432146555,0.0000000000000000000000000000000000000000000000000000000000189362447248227
"2","Sigma.1.0","Sigma","2","1","1",4.36722238086494,0.000000000000000000000000000000000000000000000000158857421803846
"3","Connect.1.0","Connect","3","1","1",0.312889639206182,0.00000000000000000033898067724175
"4","Tau1.1.0","Tau1","4","1","1",596.712252399265,0.00000000000000000000000000000393153360545156
"5","Tau2.1.0","Tau2","5","1","1",1108932.14620718,0.00000000000000000000000000080710141225126
"6","NPQ.1.0","NPQ","6","1","1",0.859103381580103,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000257634853034605
"7","qP.1.0","qP","7","1","1",1.40147530487646,0.0000000000000000000000000000000000000000000000000000000000378724894496454
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000000158857421803846
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000189362447248227
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000000393153360545156
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000000080710141225126
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000033898067724175
"13","Fm.1.0","Fm","13","1","1",1939.43744151433,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000257634853034605
"14","Fo.1.0","Fo","14","1","1",1228.06258647031,0.0000000000000000000000000000000000000000000000000000000000378724894496454
"15","Quant.3.0","Quant","1","3","1",0.0462004800931009,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000230762867760617
"16","Sigma.3.0","Sigma","2","3","1",2.78453828147836,0.00000000000000000000000000000000151820172972376
"17","Connect.3.0","Connect","3","3","1",0.478539772325524,0.000000000000000330405187437118
"18","Tau1.3.0","Tau1","4","3","1",2310.57429730307,0.000000612666911240703
"19","Tau2.3.0","Tau2","5","3","1",4517702.82986294,0.00000000000357279685272908
"20","NPQ.3.0","NPQ","6","3","1",0.0915104007162205,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000806142936733636
"21","qP.3.0","qP","7","3","1",0.268148330626783,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000461525735520428
"22","ABQ.3.0","ABQ","8","3","1",0.362400620202246,0.00000000000000000000000000000000151820172972376
"23","qm.3.0","qm","9","3","1",0.874042580682792,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000230762867760617
"24","nTau1.3.0","nTau1","10","3","1",3.87217505256964,0.000000612666911240703
"25","nTau2.3.0","nTau2","11","3","1",4.0739217862108,0.00000000000357279685272908
"26","nCon.3.0","nCon","12","3","1",1.52942032065876,0.000000000000000330405187437118
"27","Fm.3.0","Fm","13","3","1",3303.32601825548,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000806142936733636
"28","Fo.3.0","Fo","14","3","1",3150.71077030804,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000461525735520428
"29","Quant.4.0","Quant","1","4","1",0.0451889220263473,0.000000000000000000000000000000000000000000000000000000000000000000000000000000376192320989875
"30","Sigma.4.0","Sigma","2","4","1",2.61773834562857,0.0000000000000000000000000356914000287443
"31","Connect.4.0","Connect","3","4","1",0.657113036508046,0.00000000000000000524960213502062
"32","Tau1.4.0","Tau1","4","4","1",2499.04006269365,0.00000347289460993249
"33","Tau2.4.0","Tau2","5","4","1",4954686.63298389,0.00000000202744081379523
"34","NPQ.4.0","NPQ","6","4","1",0.114164012256948,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000785421774009495
"35","qP.4.0","qP","7","4","1",0.303980453216813,0.000000000000000000000000000000000000000000000000000000000000000000000000000000752384641971896
