"","uni","metric","metrix","stage","col","ASnormalized.t3_aglo9.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.371736057605847,0.00000000000000000000000000000000000000000000000000000000036798672395543
"2","Sigma.1.0","Sigma","2","1","1",4.6878417473282,0.000000000000000000000000000000000000000000000000541915572478259
"3","Connect.1.0","Connect","3","1","1",0.306948260786808,0.00000000000000000405495977115819
"4","Tau1.1.0","Tau1","4","1","1",641.343338863995,0.0000000000000000000000000000115433338933626
"5","Tau2.1.0","Tau2","5","1","1",802059.414586565,0.000000000000000000000000000131086423019342
"6","NPQ.1.0","NPQ","6","1","1",0.748465203069497,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000477416295491076
"7","qP.1.0","qP","7","1","1",1.4019958391577,0.00000000000000000000000000000000000000000000000000000000073597344791086
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000000541915572478259
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000036798672395543
"10","nTau1.1.0","nTau1","10","1","1",1,0.0000000000000000000000000000115433338933626
"11","nTau2.1.0","nTau2","11","1","1",1,0.000000000000000000000000000131086423019342
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000405495977115819
"13","Fm.1.0","Fm","13","1","1",1923.49603323462,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000477416295491076
"14","Fo.1.0","Fo","14","1","1",1208.4632010195,0.00000000000000000000000000000000000000000000000000000000073597344791086
"15","Quant.3.0","Quant","1","3","1",0.0410711269332824,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000683841306602852
"16","Sigma.3.0","Sigma","2","3","1",3.15958420578963,0.0000000000000000000000000000488401065712093
"17","Connect.3.0","Connect","3","3","1",0.480863346816381,0.000000000000683950112891812
"18","Tau1.3.0","Tau1","4","3","1",3107.78257266919,0.00000456559391057438
"19","Tau2.3.0","Tau2","5","3","1",4970207.26478452,0.000000000107409935481392
"20","NPQ.3.0","NPQ","6","3","1",0.0997794488276016,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000189679535218433
"21","qP.3.0","qP","7","3","1",0.280259722717378,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000136768261320568
"22","ABQ.3.0","ABQ","8","3","1",0.326004507812064,0.0000000000000000000000000000488401065712093
"23","qm.3.0","qm","9","3","1",0.889515353453201,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000683841306602852
"24","nTau1.3.0","nTau1","10","3","1",4.8457392231967,0.00000456559391057438
"25","nTau2.3.0","nTau2","11","3","1",6.1968068379903,0.000000000107409935481392
"26","nCon.3.0","nCon","12","3","1",1.56659414060133,0.000000000000683950112891812
"27","Fm.3.0","Fm","13","3","1",3058.03666902321,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000189679535218433
"28","Fo.3.0","Fo","14","3","1",2932.43965682313,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000136768261320568
"29","Quant.4.0","Quant","1","4","1",0.0420075038753834,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000123096469802965
"30","Sigma.4.0","Sigma","2","4","1",2.71853060952409,0.00000000000000000000000000164476591229816
"31","Connect.4.0","Connect","3","4","1",0.64951164969503,0.000000000000000000307047092722538
"32","Tau1.4.0","Tau1","4","4","1",2696.12763516536,0.000000304461863813295
"33","Tau2.4.0","Tau2","5","4","1",5314510.53935659,0.00000000386846217712235
"34","NPQ.4.0","NPQ","6","4","1",0.129479995556046,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186731345888202
"35","qP.4.0","qP","7","4","1",0.332247395763673,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000246192939605744
"36","ABQ.4.0","ABQ","8","4","1",0.420089082342958,0.00000000000000000000000000164476591229816
"37","qm.4.0","qm","9","4","1",0.886996423898367,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000123096469802965
"38","nTau1.4.0","nTau1","10","4","1",4.20387563382351,0.000000304461863813295
"39","nTau2.4.0","nTau2","11","4","1",6.62608086471505,0.00000000386846217712235
"40","nCon.4.0","nCon","12","4","1",2.1160297440035,0.000000000000000000307047092722538
"41","Fm.4.0","Fm","13","4","1",2977.62323864554,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186731345888202
"42","Fo.4.0","Fo","14","4","1",2852.5407189087,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000246192939605744
"43","Quant.5.0","Quant","1","5","1",0.039825934072469,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000250564122526715
"44","Sigma.5.0","Sigma","2","5","1",3.46305974257927,0.0000000000000000000000000672617081203608
"45","Connect.5.0","Connect","3","5","1",0.287094450017787,0.000214794998579498
"46","Tau1.5.0","Tau1","4","5","1",2308.34684400825,0.00000000000165202889203972
"47","Tau2.5.0","Tau2","5","5","1",8604472.06307584,0.00000000000287779477252483
"48","NPQ.5.0","NPQ","6","5","1",0.138149591354754,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176003097106822
"49","qP.5.0","qP","7","5","1",0.342191012077667,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000050112824505343
"50","ABQ.5.0","ABQ","8","5","1",0.261267779665768,0.0000000000000000000000000672617081203608
"51","qm.5.0","qm","9","5","1",0.892865022755752,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000250564122526715
"52","nTau1.5.0","nTau1","10","5","1",3.5992372636114,0.00000000000165202889203972
"53","nTau2.5.0","nTau2","11","5","1",10.7279733977204,0.00000000000287779477252483
"54","nCon.5.0","nCon","12","5","1",0.935318705771034,0.000214794998579498
"55","Fm.5.0","Fm","13","5","1",2954.9418704704,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176003097106822
"56","Fo.5.0","Fo","14","5","1",2837.25855034907,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000050112824505343
