"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.399938172343606,0.00000000000000000000000000000000000000000000000000000000150936790293847
"2","Sigma.1.0","Sigma","2","1","1",4.24028694871964,0.000000000000000000000000000000000000000000000000027050254603611
"3","Connect.1.0","Connect","3","1","1",0.325513222132136,0.0000000000000000000170426901231198
"4","Tau1.1.0","Tau1","4","1","1",790.319006003438,0.000000000000000000000000000914023171556046
"5","Tau2.1.0","Tau2","5","1","1",924463.838479179,0.00000000000000000000000196316199794037
"6","NPQ.1.0","NPQ","6","1","1",0.857681041825041,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000624421773261005
"7","qP.1.0","qP","7","1","1",1.48464979507461,0.00000000000000000000000000000000000000000000000000000000301873580587693
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000000027050254603611
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000150936790293847
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000914023171556046
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000000196316199794037
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000170426901231198
"13","Fm.1.0","Fm","13","1","1",1805.98469482994,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000624421773261005
"14","Fo.1.0","Fo","14","1","1",1083.70247669913,0.00000000000000000000000000000000000000000000000000000000301873580587693
"15","Quant.3.0","Quant","1","3","1",0.0453345243554341,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000007707026156527
"16","Sigma.3.0","Sigma","2","3","1",2.75190196049397,0.00000000000000000000000000000081736161007961
"17","Connect.3.0","Connect","3","3","1",0.508916440127603,0.000000000000000391160950199411
"18","Tau1.3.0","Tau1","4","3","1",4906.13063497938,0.00000708502038223852
"19","Tau2.3.0","Tau2","5","3","1",5345786.09507995,0.000000104666797008219
"20","NPQ.3.0","NPQ","6","3","1",0.0913199454766536,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252567356985124
"21","qP.3.0","qP","7","3","1",0.274610890626019,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000154140523130515
