"","uni","metric","metrix","stage","col","ASnormalized.ahya4.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.386013672755009,0.00000000000000000000000000000000000000000000000000000000000158586569294991
"2","Sigma.1.0","Sigma","2","1","1",4.28587878821217,0.000000000000000000000000000000000000000000000000000245207433876994
"3","Connect.1.0","Connect","3","1","1",0.340218026599583,0.0000000000000000000000536499881630018
"4","Tau1.1.0","Tau1","4","1","1",712.763635635848,0.00000000000000000000000000000421257500814012
"5","Tau2.1.0","Tau2","5","1","1",1026757.22149516,0.0000000000000000000000000000956499972955952
"6","NPQ.1.0","NPQ","6","1","1",0.826767166187701,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000297600624504884
"7","qP.1.0","qP","7","1","1",1.35605882461066,0.00000000000000000000000000000000000000000000000000000000000317173138589983
"8","ABQ.1.0","ABQ","8","1","1",0,0.000000000000000000000000000000000000000000000000000245207433876994
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000000158586569294991
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000000421257500814012
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000000956499972955952
"12","nCon.1.0","nCon","12","1","1",1,0.0000000000000000000000536499881630018
"13","Fm.1.0","Fm","13","1","1",1845.24830640704,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000297600624504884
"14","Fo.1.0","Fo","14","1","1",1132.9572305059,0.00000000000000000000000000000000000000000000000000000000000317173138589983
"15","Quant.3.0","Quant","1","3","1",0.0407858236604953,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000346642769649166
"16","Sigma.3.0","Sigma","2","3","1",2.57359414781135,0.00000000000000000000000000000000683571172864073
"17","Connect.3.0","Connect","3","3","1",0.615715648789106,0.000000000000000000000114140892148593
"18","Tau1.3.0","Tau1","4","3","1",5456.37653426812,0.00000707303743028316
"19","Tau2.3.0","Tau2","5","3","1",5915159.7255368,0.00000000210142243895676
"20","NPQ.3.0","NPQ","6","3","1",0.0492855705809685,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198064150156101
"21","qP.3.0","qP","7","3","1",0.175336601417451,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000693285539278525
"22","ABQ.3.0","ABQ","8","3","1",0.399517747704454,0.00000000000000000000000000000000683571172864073
"23","qm.3.0","qm","9","3","1",0.894340987018922,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000346642769649166
"24","nTau1.3.0","nTau1","10","3","1",7.65523977580668,0.00000707303743028316
"25","nTau2.3.0","nTau2","11","3","1",5.76101107613655,0.00000000210142243895676
"26","nCon.3.0","nCon","12","3","1",1.80976785663908,0.000000000000000000000114140892148593
