"","uni","metric","metrix","stage","col","ASnormalized.t9_ahya3.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.350646668616464,0.0000000000000000000000000000000000000000000000000000000000000450683724890052
"2","Sigma.1.0","Sigma","2","1","1",4.48700629945352,0.00000000000000000000000000000000000000000000000000440604380451894
"3","Connect.1.0","Connect","3","1","1",0.298165359347333,0.000000000000000000425719937684675
"4","Tau1.1.0","Tau1","4","1","1",655.549545431155,0.00000000000000000000000000181277654574681
"5","Tau2.1.0","Tau2","5","1","1",1133238.07757445,0.0000000000000000000000000126898974630713
"6","NPQ.1.0","NPQ","6","1","1",0.704585834924944,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000235639573272745
"7","qP.1.0","qP","7","1","1",1.34070731867895,0.0000000000000000000000000000000000000000000000000000000000000901367449780105
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000000440604380451894
"9","qm.1.0","qm","9","1","1",0,0.0000000000000000000000000000000000000000000000000000000000000450683724890052
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000181277654574681
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000000000126898974630713
"12","nCon.1.0","nCon","12","1","1",1,0.000000000000000000425719937684675
"13","Fm.1.0","Fm","13","1","1",1823.66017036304,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000235639573272745
"14","Fo.1.0","Fo","14","1","1",1184.19980693671,0.0000000000000000000000000000000000000000000000000000000000000901367449780105
"15","Quant.3.0","Quant","1","3","1",0.0406876324472787,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000974098305370641
"16","Sigma.3.0","Sigma","2","3","1",2.70765118591043,0.0000000000000000000000000000542117028961799
"17","Connect.3.0","Connect","3","3","1",0.518822459743296,0.00000000000000371768162712968
"18","Tau1.3.0","Tau1","4","3","1",4882.23394191792,0.000015925188198099
"19","Tau2.3.0","Tau2","5","3","1",5508549.96321569,0.0000000100285083957234
"20","NPQ.3.0","NPQ","6","3","1",0.0645782706848151,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000492635062493875
"21","qP.3.0","qP","7","3","1",0.214148392473703,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000194819661074079
"22","ABQ.3.0","ABQ","8","3","1",0.396557302306395,0.0000000000000000000000000000542117028961799
"23","qm.3.0","qm","9","3","1",0.883964012526289,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000974098305370641
"24","nTau1.3.0","nTau1","10","3","1",7.44754378360048,0.000015925188198099
"25","nTau2.3.0","nTau2","11","3","1",4.86089381589264,0.0000000100285083957234
"26","nCon.3.0","nCon","12","3","1",1.74004941713876,0.00000000000000371768162712968
"27","Fm.3.0","Fm","13","3","1",2920.01572802907,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000492635062493875
"28","Fo.3.0","Fo","14","3","1",2801.20720134675,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000194819661074079
"29","Quant.4.0","Quant","1","4","1",0.0393433429882765,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000599956990886198
"30","Sigma.4.0","Sigma","2","4","1",2.85062760646161,0.0000000000000000000000000143724702061972
"31","Connect.4.0","Connect","3","4","1",0.442948038800633,0.00000000128737035500789
"32","Tau1.4.0","Tau1","4","4","1",3057.80043405749,0.00000215824402861612
"33","Tau2.4.0","Tau2","5","4","1",6118566.5639174,0.000000125976942996218
"34","NPQ.4.0","NPQ","6","4","1",0.0921023266881693,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000363945248126683
"35","qP.4.0","qP","7","4","1",0.260667955872637,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000119991398177236
"36","ABQ.4.0","ABQ","8","4","1",0.364692755878503,0.0000000000000000000000000143724702061972
"37","qm.4.0","qm","9","4","1",0.887797756232756,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000599956990886198
"38","nTau1.4.0","nTau1","10","4","1",4.66448410401441,0.00000215824402861612
"39","nTau2.4.0","nTau2","11","4","1",5.39918900096741,0.000000125976942996218
"40","nCon.4.0","nCon","12","4","1",1.48557847152406,0.00000000128737035500789
"41","Fm.4.0","Fm","13","4","1",2846.42310354243,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000363945248126683
"42","Fo.4.0","Fo","14","4","1",2734.43530309001,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000119991398177236
"43","Quant.5.0","Quant","1","5","1",0.0370296284602415,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000299497502180543
"44","Sigma.5.0","Sigma","2","5","1",3.6262971156341,0.00000000000000000000000010198107061234
"45","Connect.5.0","Connect","3","5","1",0.421748360640076,0.000000336869153970866
"46","Tau1.5.0","Tau1","4","5","1",2683.39635966962,0.00000000385325246799177
"47","Tau2.5.0","Tau2","5","5","1",12366518.9182465,0.0000459743546873447
"48","NPQ.5.0","NPQ","6","5","1",0.0900199348664515,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173004296278431
