"","uni","metric","metrix","stage","col","ASnormalized.icra4.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.317962756403455,0.000000000000000000000000000000000000000000000000000000000000361446307065816
"2","Sigma.1.0","Sigma","2","1","1",4.79407458515811,0.0000000000000000000000000000000000000000000000136171049097807
"3","Connect.1.0","Connect","3","1","1",0.274298440087774,0.00000000000000540573648773094
"4","Tau1.1.0","Tau1","4","1","1",755.5636846561,0.00000000000000000000000000000347485715662945
"5","Tau2.1.0","Tau2","5","1","1",1764945.97943643,0.0000000000000000000696358878798513
"6","NPQ.1.0","NPQ","6","1","1",0.487415665452665,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000699528081717575
"7","qP.1.0","qP","7","1","1",1.25460376897241,0.000000000000000000000000000000000000000000000000000000000000722892614131633
"8","ABQ.1.0","ABQ","8","1","1",0,0.0000000000000000000000000000000000000000000000136171049097807
"9","qm.1.0","qm","9","1","1",0,0.000000000000000000000000000000000000000000000000000000000000361446307065816
"10","nTau1.1.0","nTau1","10","1","1",1,0.00000000000000000000000000000347485715662945
"11","nTau2.1.0","nTau2","11","1","1",1,0.0000000000000000000696358878798513
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000540573648773094
"13","Fm.1.0","Fm","13","1","1",1922.54617222105,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000699528081717575
"14","Fo.1.0","Fo","14","1","1",1311.24809198873,0.000000000000000000000000000000000000000000000000000000000000722892614131633
"15","Quant.3.0","Quant","1","3","1",0.0466456114971377,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000354982735534355
"16","Sigma.3.0","Sigma","2","3","1",2.78999440494563,0.000000000000000000000000000000000377752705239277
"17","Connect.3.0","Connect","3","3","1",0.509601556641406,0.0000000000000000075072722985633
"18","Tau1.3.0","Tau1","4","3","1",4000.29044363282,0.000000134980436740299
"19","Tau2.3.0","Tau2","5","3","1",7951547.95700629,0.0000000107447397767958
"20","NPQ.3.0","NPQ","6","3","1",-0.00344984357222254,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000535240017293367
"21","qP.3.0","qP","7","3","1",0.100434052557077,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000709965471063357
"22","ABQ.3.0","ABQ","8","3","1",0.418032749514761,0.000000000000000000000000000000000377752705239277
"23","qm.3.0","qm","9","3","1",0.853298505696842,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000354982735534355
"24","nTau1.3.0","nTau1","10","3","1",5.29444509426573,0.000000134980436740299
"25","nTau2.3.0","nTau2","11","3","1",4.50526421185159,0.0000000107447397767958
"26","nCon.3.0","nCon","12","3","1",1.8578361454711,0.0000000000000000075072722985633
"27","Fm.3.0","Fm","13","3","1",2869.52470547817,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000535240017293367
"28","Fo.3.0","Fo","14","3","1",2735.673970885,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000709965471063357
"29","Quant.4.0","Quant","1","4","1",0.0507389946177467,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000412226380465511
"30","Sigma.4.0","Sigma","2","4","1",2.85010068516206,0.000000000000000000000000000000750347669164761
"31","Connect.4.0","Connect","3","4","1",0.473618527729789,0.0000000000000207385017129911
"32","Tau1.4.0","Tau1","4","4","1",1880.51552851406,0.000000000414681098093919
"33","Tau2.4.0","Tau2","5","4","1",4914320.93492531,0.0000000000176814588499074
"34","NPQ.4.0","NPQ","6","4","1",0.0360097631157341,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000368659683190825
"35","qP.4.0","qP","7","4","1",0.194016365915296,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000824452760931018
"36","ABQ.4.0","ABQ","8","4","1",0.405495130596083,0.000000000000000000000000000000750347669164761
"37","qm.4.0","qm","9","4","1",0.840424723978159,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000412226380465511
"38","nTau1.4.0","nTau1","10","4","1",2.48889083303414,0.000000000414681098093919
"39","nTau2.4.0","nTau2","11","4","1",2.78440303113103,0.0000000000176814588499074
"40","nCon.4.0","nCon","12","4","1",1.72665410557287,0.0000000000000207385017129911
"41","Fm.4.0","Fm","13","4","1",2760.23006339004,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000368659683190825
"42","Fo.4.0","Fo","14","4","1",2620.17876505995,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000824452760931018
"43","Quant.5.0","Quant","1","5","1",0.0596470695279998,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000646140484751768
"44","Sigma.5.0","Sigma","2","5","1",3.57424776467641,0.000000000000000000000000000000345010269850255
"45","Connect.5.0","Connect","3","5","1",0.233732330254649,0.000155544615577518
"46","Tau1.5.0","Tau1","4","5","1",1983.94857827371,0.00000000000000392532818365411
"47","Tau2.5.0","Tau2","5","5","1",9812926.36820778,0.00000347394426741285
"48","NPQ.5.0","NPQ","6","5","1",0.0854377989822242,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435316723006167
"49","qP.5.0","qP","7","5","1",0.309710642159498,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000129228096950354
"50","ABQ.5.0","ABQ","8","5","1",0.254444689754753,0.000000000000000000000000000000345010269850255
"51","qm.5.0","qm","9","5","1",0.812408628599523,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000646140484751768
"52","nTau1.5.0","nTau1","10","5","1",2.62578604366979,0.00000000000000392532818365411
"53","nTau2.5.0","nTau2","11","5","1",5.55990182279754,0.00000347394426741285
"54","nCon.5.0","nCon","12","5","1",0.852109586113051,0.000155544615577518
"55","Fm.5.0","Fm","13","5","1",2634.53631041688,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435316723006167
"56","Fo.5.0","Fo","14","5","1",2477.3939399354,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000129228096950354
"57","Quant.6.0","Quant","1","6","1",0.0592517336642094,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000463499050103441
"58","Sigma.6.0","Sigma","2","6","1",3.71705008935641,0.000000000000000000000000000000146686106267701
"59","Connect.6.0","Connect","3","6","1",0.255454735405598,0.00000821076972444233
"60","Tau1.6.0","Tau1","4","6","1",1350.59940356965,0.000000000000456047425432477
"61","Tau2.6.0","Tau2","5","6","1",8946276.42955508,0.0000012971938650876
"62","NPQ.6.0","NPQ","6","6","1",0.140211266577966,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015522840898723
"63","qP.6.0","qP","7","6","1",0.4053367385222,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000926998100206882
"64","ABQ.6.0","ABQ","8","6","1",0.224657434228505,0.000000000000000000000000000000146686106267701
"65","qm.6.0","qm","9","6","1",0.813651968757541,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000463499050103441
"66","nTau1.6.0","nTau1","10","6","1",1.78753880182103,0.000000000000456047425432477
"67","nTau2.6.0","nTau2","11","6","1",5.0688669986442,0.0000012971938650876
"68","nCon.6.0","nCon","12","6","1",0.931302180660793,0.00000821076972444233
"69","Fm.6.0","Fm","13","6","1",2507.97845797475,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015522840898723
"70","Fo.6.0","Fo","14","6","1",2359.37638634726,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000926998100206882
"71","Quant.7.0","Quant","1","7","1",0.0558930098994476,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000980247973044667
"72","Sigma.7.0","Sigma","2","7","1",3.54563194125516,0.000000000000000000000000000000758021225749252
"73","Connect.7.0","Connect","3","7","1",0.322494738685232,0.000000054162924691227
"74","Tau1.7.0","Tau1","4","7","1",1452.25750948917,0.0000000000000141221468973554
"75","Tau2.7.0","Tau2","5","7","1",10815761.1018136,0.0016452210734401
