"","uni","metric","metrix","stage","col","ASnormalized.t3_icra8.002r","pval"
"1","Quant.1.0","Quant","1","1","1",0.335183306689363,0.00000000000000000000000000000000000000000000000000000000000111487246695773
"2","Sigma.1.0","Sigma","2","1","1",4.68835414387866,0.00000000000000000000000000000000000000000000000144143902603646
"3","Connect.1.0","Connect","3","1","1",0.306751134086794,0.00000000000000000899779113846644
"4","Tau1.1.0","Tau1","4","1","1",646.312940529806,0.000000000000000000000000000184148959776776
"5","Tau2.1.0","Tau2","5","1","1",1517179.09891586,0.00000000000000000000982479892106676
"6","NPQ.1.0","NPQ","6","1","1",0.659590092818691,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000191957756214558
"7","qP.1.0","qP","7","1","1",1.11876123686305,0.00000000000000000000000000000000000000000000000000000000000222974493391547
"8","ABQ.1.0","ABQ","8","1","1",0,0.00000000000000000000000000000000000000000000000144143902603646
"9","qm.1.0","qm","9","1","1",0,0.00000000000000000000000000000000000000000000000000000000000111487246695773
"10","nTau1.1.0","nTau1","10","1","1",1,0.000000000000000000000000000184148959776776
"11","nTau2.1.0","nTau2","11","1","1",1,0.00000000000000000000982479892106676
"12","nCon.1.0","nCon","12","1","1",1,0.00000000000000000899779113846644
"13","Fm.1.0","Fm","13","1","1",2006.19513398794,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000191957756214558
"14","Fo.1.0","Fo","14","1","1",1333.75201511375,0.00000000000000000000000000000000000000000000000000000000000222974493391547
"15","Quant.3.0","Quant","1","3","1",0.0487906930010571,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000570158284237731
"16","Sigma.3.0","Sigma","2","3","1",2.8872817457799,0.0000000000000000000000000000000989755899275463
"17","Connect.3.0","Connect","3","3","1",0.476016766138822,0.00000000000000412147213108726
"18","Tau1.3.0","Tau1","4","3","1",2729.05130814973,0.0000000431786688968901
"19","Tau2.3.0","Tau2","5","3","1",5245827.34599809,0.0000000000202816964404288
"20","NPQ.3.0","NPQ","6","3","1",0.0940611671988984,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000765895488957066
"21","qP.3.0","qP","7","3","1",0.243701598074098,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000114031656847539
"22","ABQ.3.0","ABQ","8","3","1",0.384158777862447,0.0000000000000000000000000000000989755899275463
"23","qm.3.0","qm","9","3","1",0.85443579072309,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000570158284237731
"24","nTau1.3.0","nTau1","10","3","1",4.22249213502151,0.0000000431786688968901
"25","nTau2.3.0","nTau2","11","3","1",3.457619044282,0.0000000000202816964404288
"26","nCon.3.0","nCon","12","3","1",1.55180116140707,0.00000000000000412147213108726
"27","Fm.3.0","Fm","13","3","1",3043.21336726702,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000765895488957066
"28","Fo.3.0","Fo","14","3","1",2894.73287812799,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000114031656847539
"29","Quant.4.0","Quant","1","4","1",0.0529039633567225,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000152782015054733
"30","Sigma.4.0","Sigma","2","4","1",2.86543544800986,0.0000000000000000000000000000000764505788106591
"31","Connect.4.0","Connect","3","4","1",0.497056810684482,0.000000000000000339006746278304
"32","Tau1.4.0","Tau1","4","4","1",1296.84012647389,0.00000000000358344000642088
"33","Tau2.4.0","Tau2","5","4","1",4744611.81372951,0.00000000000000936426289264951
"34","NPQ.4.0","NPQ","6","4","1",0.226008608502556,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168498865262573
"35","qP.4.0","qP","7","4","1",0.42460846800644,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000305564030109465
"36","ABQ.4.0","ABQ","8","4","1",0.388818472309496,0.0000000000000000000000000000000764505788106591
"37","qm.4.0","qm","9","4","1",0.842164086632894,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000152782015054733
"38","nTau1.4.0","nTau1","10","4","1",2.00652044102787,0.00000000000358344000642088
"39","nTau2.4.0","nTau2","11","4","1",3.12725888269874,0.00000000000000936426289264951
"40","nCon.4.0","nCon","12","4","1",1.62039111009071,0.000000000000000339006746278304
"41","Fm.4.0","Fm","13","4","1",2715.69183571561,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168498865262573
"42","Fo.4.0","Fo","14","4","1",2572.02097435076,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000305564030109465
"43","Quant.5.0","Quant","1","5","1",0.062992622980373,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000224433138038159
"44","Sigma.5.0","Sigma","2","5","1",3.41963571260016,0.0000000000000000000000000000000464099470926956
"45","Connect.5.0","Connect","3","5","1",0.274654076851326,0.00000358436874143635
"46","Tau1.5.0","Tau1","4","5","1",1475.933998187,0.00000000000106195979522552
"47","Tau2.5.0","Tau2","5","5","1",6323842.21549087,0.00000106492298438849
"48","NPQ.5.0","NPQ","6","5","1",0.360996531207895,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054804432349675
"49","qP.5.0","qP","7","5","1",0.581449242911883,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000448866276076319
"50","ABQ.5.0","ABQ","8","5","1",0.27061062205273,0.0000000000000000000000000000000464099470926956
"51","qm.5.0","qm","9","5","1",0.812065154429804,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000224433138038159
"52","nTau1.5.0","nTau1","10","5","1",2.28362130112562,0.00000000000106195979522552
"53","nTau2.5.0","nTau2","11","5","1",4.16815801114695,0.00000106492298438849
"54","nCon.5.0","nCon","12","5","1",0.895364503440152,0.00000358436874143635
"55","Fm.5.0","Fm","13","5","1",2446.34096581608,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054804432349675
"56","Fo.5.0","Fo","14","5","1",2292.23953167498,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000448866276076319
"57","Quant.6.0","Quant","1","6","1",0.0691303436470894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000101527947745403
"58","Sigma.6.0","Sigma","2","6","1",3.55957157936416,0.0000000000000000000000000000000000022016831410973
"59","Connect.6.0","Connect","3","6","1",0.227790053413681,0.00000163623936488361
"60","Tau1.6.0","Tau1","4","6","1",1282.17997406998,0.0000000000181986157757006
"61","Tau2.6.0","Tau2","5","6","1",7351969.40790522,0.0000678609453324849
