"Metric","MeanDecreaseAccuracy"
"L1CompL22.qQuant.1.qQuant.99.1.99",4.81100517714103
"L1CompL32.qqm.1.qqm.99.1.99",4.80765100772457
"Tau1.17.0.Tau1.17.1.4",4.79004500304776
"L1CompL2.qQuant.1.qQuant.99.1.99",4.76481811845376
"Ratio32.Ratio32.Ratio32.Ratio32.Ratio32",4.74487913261903
"L1CompL32.qQuant.1.qQuant.99.1.99",4.50511721111352
"nCon.21.2.nCon.21.3.12",4.3764603784276
"mean.rConnect.All.rConnect.All.2.3",4.29618600088727
"L1CompL22.qqm.1.qqm.99.1.99",4.24747999539114
"Connect.21.2.Connect.21.3.3",4.16992350034467
"Connect.6.1.Connect.6.2.3",4.16787426410289
"L1CompL2.qTau1.1.qTau1.99.1.99",4.1624807736084
"nTau1.17.0.nTau1.17.1.10",4.13741838456244
"mean.rqm.L2.rqm.L2.4.9",4.00345713315201
"L1CompL32.qTau1.1.qTau1.99.1.99",3.94270248351667
"range.rQuant.All.rQuant.All.3.1",3.93196976596863
"L2CompR12.qSigma.2.qSigma.99.2.99",3.92971605026216
"range.rQuant.All.rQuant.All.1.1",3.89857042094622
"DCompL3.qQuant.2.qQuant.99.2.99",3.84796219910333
"range.All.rABQ.L2.rABQ.L2.All.8",3.84410586649629
"slope.rSigma.R1.rSigma.R1.2.2",3.80095647305237
"DCompL3.qQuant.4.qQuant.99.4.99",3.78663770244452
"min.rqm.L1.rqm.L1.1.9",3.77819892314956
"max.rQuant.All.rQuant.All.2.1",3.75161597091985
"range.rTau1.L1.rTau1.L1.3.4",3.74316068955286
"Quant.1.2.Quant.1.3.1",3.73631855408011
"nTau1.3.0.nTau1.3.1.10",3.73337996480287
"L1CompL22.qTau1.1.qTau1.99.1.99",3.68937129991985
"DCompL12.qQuant.1.qQuant.99.1.99",3.68706905635051
"DCompL1.qQuant.1.qQuant.99.1.99",3.66446336561461
"DCompL3.qQuant.3.qQuant.99.3.99",3.61454143294209
"DCompL3.qConnect.2.qConnect.99.2.99",3.5884180438459
"qm.15.1.qm.15.2.9",3.57520628185719
"qm.15.3.qm.15.4.9",3.56577874808931
"nCon.16.1.nCon.16.2.12",3.54573754370556
"nCon.6.1.nCon.6.2.12",3.50198296991629
"L1CompR1.qTau1.1.qTau1.99.1.99",3.49802911740061
"DCompL2.qSigma.2.qSigma.99.2.99",3.48941145659873
"qm.9.0.qm.9.1.9",3.48323621627284
"L1CompL3.qTau1.1.qTau1.99.1.99",3.48234481235418
"L1CompR12.qQuant.1.qQuant.99.1.99",3.47886075982752
"range.All.rQuant.All.rQuant.All.All.1",3.44357773371171
"max.rqm.L3.rqm.L3.3.9",3.44072203441804
"qm.16.3.qm.16.4.9",3.43447212276261
"max.rQuant.All.rQuant.All.3.1",3.42859027564418
"Connect.7.1.Connect.7.2.3",3.42675647685056
"L1CompR1.qQuant.1.qQuant.99.1.99",3.41675239471597
"L1CompR12.qTau1.1.qTau1.99.1.99",3.39874282141822
"qm.16.2.qm.16.3.9",3.38566378377102
"L1CompL3.qqm.1.qqm.99.1.99",3.38101393261127
"Quant.3.0.Quant.3.1.1",3.3441601732813
"range.rQuant.All.rQuant.All.2.1",3.33684606567295
"Tau2.1.2.Tau2.1.3.5",3.33569871639325
"Tau2.3.3.Tau2.3.4.5",3.31649860473811
"mean.rqm.L3.rqm.L3.3.9",3.29818737704398
"mean.rConnect.L1.rConnect.L1.2.3",3.29818678918216
"DCampL1.mTau1.1.mTau1.99.1.99",3.28523898911763
"min.rTau2.All.rTau2.All.3.5",3.23182633782775
"L3CompR1.qConnect.2.qConnect.99.2.99",3.22845326007126
"slope.rTau1.L3.rTau1.L3.1.4",3.19966451418119
"nTau2.27.0.nTau2.27.1.11",3.18185610363679
"DCompL1.qConnect.1.qConnect.99.1.99",3.17454295855699
"qm.14.3.qm.14.4.9",3.16553714408524
"secDer3FJIp.4.OJIP2.99.4.99",3.15856639520535
"nCon.7.1.nCon.7.2.12",3.14194330973717
"Tau1.3.0.Tau1.3.1.4",3.13978356013316
"slope.rQuant.L1.rQuant.L1.1.1",3.13177806086601
"Ratio42.Ratio42.Ratio42.Ratio42.Ratio42",3.13119907204445
"qm.14.0.qm.14.1.9",3.12226707455825
"MTFm.3.OJIP2.99.3.99",3.09929735882954
"ABQ.8.3.ABQ.8.4.8",3.09462482127065
"qm.16.1.qm.16.2.9",3.09228592343077
"L1CampR1.mConnect.3.mConnect.99.3.99",3.08821154896314
"DCompL22.qQuant.2.qQuant.99.2.99",3.08505695961775
"qm.17.2.qm.17.3.9",3.08103007438534
"qm.18.1.qm.18.2.9",3.07503120855953
"qm.9.2.qm.9.3.9",3.07164733322791
"PQpool.2.0.PQpool.2.1.16",3.06313452985155
"DCompL1.qTau1.1.qTau1.99.1.99",3.05201041953253
"max.All.rTau2.R1.rTau2.R1.All.5",3.0471251135231
"L3CompR12.qConnect.2.qConnect.99.2.99",3.01112869820996
"min.rqm.L2.rqm.L2.2.9",3.01043992268584
"min.All.rqm.L2.rqm.L2.All.9",3.00948706968735
"DCompL12.qQuant.3.qQuant.99.3.99",3.00370839651539
"nCon.13.3.nCon.13.4.12",3.00055767104029
"qm.17.3.qm.17.4.9",2.99258168119521
"L22CompL3.qConnect.2.qConnect.99.2.99",2.98868635936308
"Quant.1.1.Quant.1.2.1",2.97675337722847
"Connect.16.1.Connect.16.2.3",2.96972480748763
"L3CampR1.mQuant.4.mQuant.99.4.99",2.96545359606679
"Connect.25.3.Connect.25.4.3",2.96402670003374
"DCampL3.mQuant.2.mQuant.99.2.99",2.95945093365209
"mean.All.rABQ.L2.rABQ.L2.All.8",2.95657466077611
"L1CompL22.qTau2.4.qTau2.99.4.99",2.943680700883
"mean.All.rqm.L3.rqm.L3.All.9",2.94208644522245
"DCampL3.mQuant.1.mQuant.99.1.99",2.92879884831714
"range.All.rABQ.L1.rABQ.L1.All.8",2.92436537830555
"min.rqm.L2.rqm.L2.4.9",2.9226012393061
"DCompL12.qNPQ.2.qNPQ.99.2.99",2.92126534746272
"mean.rABQ.L2.rABQ.L2.3.8",2.91387178384075
"qm.3.0.qm.3.1.9",2.90623072174746
"L2CompL3.qTau2.2.qTau2.99.2.99",2.90067175629853
"qm.19.1.qm.19.2.9",2.88999251312627
"Sigma.7.1.Sigma.7.2.2",2.88030835281028
"min.rTau2.All.rTau2.All.1.5",2.87349700842233
"qm.7.3.qm.7.4.9",2.86842366407721
"nTau2.12.1.nTau2.12.2.11",2.83005985177113
"slope.rABQ.R1.rABQ.R1.2.8",2.82234759014656
"max.rqm.L3.rqm.L3.2.9",2.82084337953611
"slope.rSigma.L2.rSigma.L2.2.2",2.80127091467875
"qm.20.2.qm.20.3.9",2.792821981934
"L3CampR1.mQuant.3.mQuant.99.3.99",2.76451509837774
"L1CompL3.qQuant.1.qQuant.99.1.99",2.75848167886151
"Tau2.4.2.Tau2.4.3.5",2.75660199319895
"L1CampL3.mqm.2.mqm.99.2.99",2.75438840997048
"qm.13.1.qm.13.2.9",2.75384791953791
"L3CampR1.mQuant.1.mQuant.99.1.99",2.75324466538262
"L1CompL2.qqP.1.qqP.99.1.99",2.75256634803895
"nTau1.4.2.nTau1.4.3.10",2.75151615594552
"L12CompL2.qABQ.2.qABQ.99.2.99",2.74532341956534
"min.rConnect.L1.rConnect.L1.3.3",2.74443404059547
"nTau2.14.1.nTau2.14.2.11",2.7442327507842
"max.rABQ.L2.rABQ.L2.2.8",2.74108204863289
"max.All.rQuant.All.rQuant.All.All.1",2.73371561185709
"qm.19.0.qm.19.1.9",2.73085259453505
"range.rQuant.All.rQuant.All.4.1",2.72510445527151
"DCompL22.qTau2.2.qTau2.99.2.99",2.71333966663523
"DCampL3.mQuant.4.mQuant.99.4.99",2.70757061506524
"ABQ.13.2.ABQ.13.3.8",2.70481325003839
"nCon.25.3.nCon.25.4.12",2.6921161222225
"Tau2.23.3.Tau2.23.4.5",2.65504067792831
"DCompL32.qQuant.1.qQuant.99.1.99",2.64328215823449
"min.rqm.L3.rqm.L3.1.9",2.63899771805212
"mean.rConnect.L3.rConnect.L3.2.3",2.62482177905572
"L1CampL2.mABQ.2.mABQ.99.2.99",2.61131126309636
"L12CompR12.qQuant.1.qQuant.99.1.99",2.59705799020113
"mean.rABQ.L1.rABQ.L1.2.8",2.5935738842386
"mean.All.rqm.All.rqm.All.All.9",2.57327975605725
"qm.17.1.qm.17.2.9",2.56397725466605
"slope.rTau2.R1.rTau2.R1.4.5",2.54628518156365
"DCampL2.mQuant.4.mQuant.99.4.99",2.53956410903311
"mean.rqm.All.rqm.All.2.9",2.53687932605061
"DCampL1.mNPQ.2.mNPQ.99.2.99",2.52942410252244
"qm.7.2.qm.7.3.9",2.5094112281827
"DCampL3.mTau2.1.mTau2.99.1.99",2.47954315442526
"DCompL22.qQuant.4.qQuant.99.4.99",2.47628844079041
"nTau1.7.3.nTau1.7.4.10",2.46609794607793
"qm.18.2.qm.18.3.9",2.46515548164474
"L12CompL22.qqm.2.qqm.99.2.99",2.46012682893078
"qm.14.1.qm.14.2.9",2.45753242494564
"mean.rqm.All.rqm.All.1.9",2.45685825402685
"qm.20.1.qm.20.2.9",2.4541866944923
"nCon.24.0.nCon.24.1.12",2.43964942219054
"Sigma.13.2.Sigma.13.3.2",2.43847126366878
"ABQ.7.1.ABQ.7.2.8",2.42522345525198
"DCompR12.qTau2.1.qTau2.99.1.99",2.41633861947655
"nTau1.18.0.nTau1.18.1.10",2.39796129471671
"qm.7.0.qm.7.1.9",2.39296206504341
"L1CampL2.mSigma.2.mSigma.99.2.99",2.38856779719782
"min.rABQ.L2.rABQ.L2.2.8",2.38830956052532
"nTau2.15.0.nTau2.15.1.11",2.3863443631404
"qm.14.2.qm.14.3.9",2.37646211669001
"qm.15.0.qm.15.1.9",2.37219846272027
"slope.rConnect.L1.rConnect.L1.2.3",2.36955483031483
"mean.rqm.L3.rqm.L3.1.9",2.36109228005538
"qm.13.0.qm.13.1.9",2.35795418858921
"max.rQuant.All.rQuant.All.1.1",2.35703290964407
"DCampL1.mTau1.2.mTau1.99.2.99",2.3536401601424
"ABQ.18.1.ABQ.18.2.8",2.35271214959741
"qm.8.2.qm.8.3.9",2.35196691601421
"qm.11.3.qm.11.4.9",2.3509838780659
"L12CompR1.qQuant.1.qQuant.99.1.99",2.34206344219138
"min.rConnect.L2.rConnect.L2.4.3",2.33369979032097
"min.rqm.L2.rqm.L2.1.9",2.32408956101489
"mean.rqm.L1.rqm.L1.1.9",2.32213480025076
"min.rqm.L1.rqm.L1.3.9",2.31741214807189
"DCampL2.mQuant.3.mQuant.99.3.99",2.31715129231573
"ABQ.10.1.ABQ.10.2.8",2.31215123992048
"nCon.3.0.nCon.3.1.12",2.31177826554229
"range.rTau2.R1.rTau2.R1.4.5",2.31167658023529
"L1CampL2.mABQ.3.mABQ.99.3.99",2.31053756977106
"DCampL3.mQuant.3.mQuant.99.3.99",2.30652441174463
"MTQuant.2.0.MTQuant.2.1.15",2.30213888611304
"slope.rTau1.All.rTau1.All.1.4",2.29468020760077
"L1CampL3.mQuant.2.mQuant.99.2.99",2.29186035590112
"DCampL1.mConnect.2.mConnect.99.2.99",2.28000881863557
"Tau2.12.3.Tau2.12.4.5",2.27492062333681
"L1CompL22.qqP.1.qqP.99.1.99",2.27216746211381
"slope.rqm.L3.rqm.L3.3.9",2.26916192395934
"nTau2.16.0.nTau2.16.1.11",2.26726978232335
"mean.rqm.L3.rqm.L3.4.9",2.26504490839535
"DCompL2.qTau1.1.qTau1.99.1.99",2.25588871899704
"L1CompL32.qqP.1.qqP.99.1.99",2.2447512113752
"L3CampR1.mQuant.2.mQuant.99.2.99",2.24030243844804
"L1CampR1.mTau1.1.mTau1.99.1.99",2.24024510109065
"qm.11.1.qm.11.2.9",2.24002234796044
"firDer1FOJ.4.OJIP2.99.4.99",2.23434906460189
"DCampL2.mQuant.1.mQuant.99.1.99",2.23372961149321
"DCampL1.mQuant.1.mQuant.99.1.99",2.23023017529809
"max.rABQ.L1.rABQ.L1.2.8",2.22807168356065
"mean.rqm.L3.rqm.L3.2.9",2.21990323273748
"DCompL22.qSigma.2.qSigma.99.2.99",2.21236520727417
"L3CompR12.qQuant.3.qQuant.99.3.99",2.20875229220337
"DCampL1.mQuant.3.mQuant.99.3.99",2.20522041935267
"slope.rqP.L1.rqP.L1.1.7",2.19569019375633
"mean.rConnect.L1.rConnect.L1.3.3",2.19193462735189
"nTau2.16.1.nTau2.16.2.11",2.18731371806158
"Connect.23.3.Connect.23.4.3",2.18400246960951
"slope.All.rConnect.L1.rConnect.L1.All.3",2.18230254821978
"mean.All.rqm.L1.rqm.L1.All.9",2.17101981371876
"Quant.1.3.Quant.1.4.1",2.16830839908567
"DCampL2.mSigma.3.mSigma.99.3.99",2.16794906180333
"slope.rqP.L1.rqP.L1.2.7",2.16781748414663
"nTau2.25.0.nTau2.25.1.11",2.16771746419168
"Connect.3.0.Connect.3.1.3",2.16303760874495
"L12CompR1.qqP.2.qqP.99.2.99",2.16297445891447
"secDer1FOJp.4.OJIP2.99.4.99",2.16157204726926
"nCon.7.2.nCon.7.3.12",2.16026444812151
"range.rqP.L1.rqP.L1.3.7",2.15390932404349
"DCompL22.qTau2.1.qTau2.99.1.99",2.15050383648278
"nTau2.10.0.nTau2.10.1.11",2.14929700248485
"qm.18.0.qm.18.1.9",2.14564169440407
"qm.12.0.qm.12.1.9",2.14483458398258
"nCon.25.1.nCon.25.2.12",2.14460905748192
"L1CampL2.mTau1.1.mTau1.99.1.99",2.1444266925521
"min.All.rTau1.R1.rTau1.R1.All.4",2.13700755144446
"L3CompR12.qTau2.4.qTau2.99.4.99",2.13295304483957
"slope.All.rqP.L1.rqP.L1.All.7",2.13238660856461
"L1CompL3.qNPQ.3.qNPQ.99.3.99",2.12015269240117
"nTau1.10.0.nTau1.10.1.10",2.10167087680894
"L12CompR12.qqP.4.qqP.99.4.99",2.10117943520731
"L12CompL3.qTau1.2.qTau1.99.2.99",2.10030803371767
"qm.13.3.qm.13.4.9",2.09882451368226
"qm.19.3.qm.19.4.9",2.0965636415189
"Tau2.18.0.Tau2.18.1.5",2.09421596391679
"nTau2.12.0.nTau2.12.1.11",2.09261047358329
"L1CompR12.qqP.2.qqP.99.2.99",2.08433423175036
"mean.rqm.All.rqm.All.4.9",2.08257469887426
"Tau2.17.3.Tau2.17.4.5",2.07659059466849
"L12CompR12.qqP.2.qqP.99.2.99",2.07240307713489
"Tau2.24.3.Tau2.24.4.5",2.05957744026129
"L1CompL32.qNPQ.2.qNPQ.99.2.99",2.05433773964454
"L1CompR1.qABQ.4.qABQ.99.4.99",2.05031860821348
"DCampL2.mQuant.2.mQuant.99.2.99",2.0476439323363
"slope.All.rTau1.All.rTau1.All.All.4",2.04551547124995
"max.rTau2.R1.rTau2.R1.4.5",2.04462915645822
"L12CompR1.qABQ.2.qABQ.99.2.99",2.04289502131938
"nTau2.26.0.nTau2.26.1.11",2.04208752495547
"L1CompR12.qTau2.4.qTau2.99.4.99",2.03589251195221
"qm.21.0.qm.21.1.9",2.03237185830263
"mean.rABQ.L3.rABQ.L3.2.8",2.02403173884685
"mean.rqm.L1.rqm.L1.2.9",2.02241628122517
"min.rABQ.All.rABQ.All.3.8",2.01406478430946
"firDer2FJp.4.OJIP2.99.4.99",2.01174814659049
"nTau2.9.0.nTau2.9.1.11",2.01139569617775
"L12CompL22.qQuant.1.qQuant.99.1.99",2.01050264937189
"DCampL1.mSigma.2.mSigma.99.2.99",2.00295965373266
"min.rTau2.All.rTau2.All.2.5",1.99297036838446
"nTau2.23.0.nTau2.23.1.11",1.99055937454387
"DCampL2.mConnect.4.mConnect.99.4.99",1.98986513133254
"mean.All.rTau1.L1.rTau1.L1.All.4",1.98658916234091
"qP.8.1.qP.8.2.7",1.98560653679662
