"ED5","ED50","ED95","Site","Species","Genotype","Dataset","DW"
36.46,38.05,39.71,1,"AABR",1,"All",3.25
37.35,38.24,39.16,1,"AABR",2,"All",1.81
37.79,38.54,39.3,1,"AGLO",1,"All",1.51
37.54,38.31,39.09,1,"AGLO",2,"All",1.55
37.31,38.3,39.31,1,"AGLO",3,"All",2
35.17,37.67,40.34,1,"AGLO",4,"All",5.17
37.25,38.38,39.54,1,"AGLO",5,"All",2.29
37.85,38.47,39.1,1,"AGLO",6,"All",1.25
37.17,38.33,39.52,1,"AGLO",7,"All",2.35
36.92,38.48,40.1,1,"AGLO",8,"All",3.18
37.39,38.38,39.38,1,"AGLO",9,"All",1.99
37.96,38.75,39.56,1,"AHYA",1,"All",1.6
37.72,38.65,39.59,1,"ICRA",1,"All",1.87
37.85,38.81,39.8,1,"ICRA",2,"All",1.95
37.75,38.65,39.58,1,"ICRA",3,"All",1.83
37.59,38.36,39.14,1,"ICRA",4,"All",1.55
37.67,38.63,39.61,1,"ICRA",5,"All",1.94
37.73,38.37,39.02,1,"ICRA",6,"All",1.29000000000001
36.05,37.86,39.76,1,"ICRA",7,"All",3.71
35.76,38.09,40.58,1,"ICRA",8,"All",4.82
36.29,37.87,39.51,3,"AGLO",1,"All",3.22
36.63,38,39.41,3,"AGLO",2,"All",2.77999999999999
36.44,37.95,39.52,3,"AGLO",3,"All",3.08000000000001
36.19,37.88,39.64,3,"AGLO",4,"All",3.45
35.63,38.12,40.79,3,"AGLO",5,"All",5.16
34.81,37.08,39.49,3,"AGLO",6,"All",4.68
36.07,37.74,39.48,3,"AGLO",7,"All",3.41
35.88,37.91,40.06,3,"AGLO",8,"All",4.18
35.56,38.11,40.85,3,"ICRA",1,"All",5.29
35.33,37.79,40.42,3,"ICRA",2,"All",5.09
36.24,37.98,39.8,3,"ICRA",3,"All",3.56
36.27,38.41,40.68,3,"ICRA",4,"All",4.41
36.33,38.2,40.16,3,"ICRA",5,"All",3.83
36.71,38.05,39.44,3,"ICRA",6,"All",2.73
35.82,37.89,40.08,3,"ICRA",7,"All",4.26
35.9,38.27,40.8,3,"ICRA",8,"All",4.9
36.64,38.04,39.49,3,"AHYA",1,"All",2.85
36.06,37.86,39.76,3,"AHYA",2,"All",3.7
35.88,37.68,39.57,3,"AABR",1,"All",3.69
35.54,37.39,39.35,3,"AABR",2,"All",3.81
36.29,38.38,40.58,4,"AHYA",1,"All",4.29
37.55,38.58,39.63,4,"AHYA",2,"All",2.08000000000001
36.48,38.14,39.87,4,"AABR",1,"All",3.39
35.62,38.15,40.86,4,"AABR",2,"All",5.24
36.79,37.91,39.05,4,"AGLO",1,"All",2.26
37.22,38.54,39.91,4,"AGLO",2,"All",2.69
37.76,38.45,39.16,4,"AGLO",3,"All",1.4
36.57,38.43,40.39,4,"AGLO",4,"All",3.82
36.87,38.32,39.82,4,"AGLO",5,"All",2.95
38.09,38.41,38.73,4,"AGLO",6,"All",0.639999999999993
35.04,38.33,41.94,4,"AGLO",7,"All",6.9
37.4,38.42,39.46,4,"AGLO",8,"All",2.06
36.39,38.42,40.56,4,"ICRA",1,"All",4.17
36.59,38.33,40.14,4,"ICRA",2,"All",3.55
37.52,38.54,39.58,4,"ICRA",3,"All",2.06
36.75,38.34,40,4,"ICRA",4,"All",3.25
36.73,38.66,40.69,4,"ICRA",5,"All",3.96
37.46,38.33,39.22,4,"ICRA",6,"All",1.76
37.28,38.52,39.8,4,"ICRA",7,"All",2.52
37.69,38.7,39.73,4,"ICRA",8,"All",2.04
36.08,37.7,39.39,5,"AHYA",1,"All",3.31
36.18,37.92,39.75,5,"AHYA",2,"All",3.57
35.96,37.5,39.1,5,"AABR",1,"All",3.14
35.57,37.47,39.48,5,"AABR",2,"All",3.91
36.38,38.36,40.45,5,"ICRA",1,"All",4.07
35.57,37.78,40.12,5,"ICRA",2,"All",4.55
36.4,38.38,40.47,5,"ICRA",3,"All",4.07
36.14,38.05,40.06,5,"ICRA",4,"All",3.92
34.89,37.91,41.19,5,"ICRA",5,"All",6.3
36.38,37.89,39.47,5,"ICRA",6,"All",3.09
35.5,38.07,40.83,5,"ICRA",7,"All",5.33
36.48,37.81,39.2,5,"ICRA",8,"All",2.72000000000001
36.15,37.99,39.92,5,"ICRA",9,"All",3.77
36.37,38.06,39.83,5,"ICRA",10,"All",3.46
36.06,37.62,39.26,5,"ICRA",11,"All",3.2
36.49,37.97,39.51,5,"ICRA",12,"All",3.02
36.45,38.58,40.83,5,"ICRA",13,"All",4.38
36.56,38.53,40.6,5,"ICRA",14,"All",4.04
36.47,38.14,39.9,5,"ICRA",15,"All",3.43
36.37,38.25,40.22,5,"ICRA",16,"All",3.85
37.07,38.37,39.71,7,"AABR",1,"All",2.64
37.18,38.4,39.67,7,"AABR",2,"All",2.49
36.78,38.42,40.14,7,"AABR",3,"All",3.36
