"","cookie","Image","Color_mean","Color_SD","Folder","Date","Site","Tank_color","Temperature","Bag_number","Project","Country","SITE","Latitude","Longitude","Species","Genotype","Condition","Pam_value","Timepoint","SampleID_clean","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Mean_inverted","Rel_Temperature","X","site","species","genotype","K_2","K_3","K_4","K_5","K_6","K_7","K_8","K_9","K_10","K_11","K_12","K_13","K_14","K_15","ED50"
"1",1,"IMG_4708.jpg",6.786,0.414,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,18,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AHYA",1,"wild",0.665,420,"11_AHYA_1",29,44,8.8392,13.4112,3.214,0,54,11,"ahya",1,1,"1",1,1,1,1,1,3,3,3,3,3,3,3,38.04
"2",2,"IMG_4708.jpg",4.494,0.728,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,16,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AHYA",2,"wild",0.601,420,"11_AHYA_2",29,44,8.8392,13.4112,5.506,0,55,11,"ahya",2,1,"1",1,1,1,1,1,3,3,3,3,3,3,3,37.7
"3",3,"IMG_4708.jpg",7.531,0.396,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,17,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AABR",1,"wild",0.656,420,"11_AABR_1",29,44,8.8392,13.4112,2.469,0,42,11,"aabr",1,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.74
"4",4,"IMG_4708.jpg",6.617,0.654,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,21,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AABR",2,"wild",0.654,420,"11_AABR_2",29,44,8.8392,13.4112,3.383,0,43,11,"aabr",2,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.88
"5",5,"IMG_4708.jpg",7.182,0.838,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,10,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",1,"wild",0.63,420,"11_ICRA_1",29,44,8.8392,13.4112,2.818,0,56,11,"icra",1,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.22
"6",6,"IMG_4708.jpg",6.233,0.619,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,20,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",2,"wild",0.658,420,"11_ICRA_2",29,44,8.8392,13.4112,3.767,0,58,11,"icra",2,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.22
"7",7,"IMG_4708.jpg",7.281,0.867,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,19,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",3,"wild",0.626,420,"11_ICRA_3",29,44,8.8392,13.4112,2.719,0,59,11,"icra",3,1,"1",1,2,2,2,3,4,4,4,4,4,4,4,38.7
"8",8,"IMG_4708.jpg",7.037,0.591,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,29,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",4,"wild",0.615,420,"11_ICRA_4",29,44,8.8392,13.4112,2.963,0,60,11,"icra",4,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.81
"9",9,"IMG_4708.jpg",6.87,0.682,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,26,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",5,"wild",0.631,420,"11_ICRA_5",29,44,8.8392,13.4112,3.13,0,61,11,"icra",5,1,"1",1,2,2,2,2,2,2,2,2,2,2,2,37.27
"10",10,"IMG_4708.jpg",6.606,0.619,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","1-green",29,4,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",6,"wild",0.612,420,"11_ICRA_6",29,44,8.8392,13.4112,3.394,0,62,11,"icra",6,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.43
