"","Project","Country","Date","Site","Latitude","Longitude","Species","Bag_number","Genotype","Cookie_no","Sophie","Condition","Tank_color","Temperature","Pam_value","comments","Timepoint","GroupingProperty"
"1","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","1-green",39,0.039,NA,420,"1_AABR_1"
"2","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","2-blue",34,0.638,NA,420,"1_AABR_1"
"3","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","3-red",37,0.495,NA,420,"1_AABR_1"
"4","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","4-yellow",29,0.652,NA,420,"1_AABR_1"
"5","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","5-orange",35,0.669,NA,420,"1_AABR_1"
"6","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","6-brown",38,0.389,NA,420,"1_AABR_1"
"7","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","7-grey",36,0.589,NA,420,"1_AABR_1"
"8","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","1-green",39,0.021,NA,420,"1_AABR_2"
"9","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","2-blue",34,0.615,NA,420,"1_AABR_2"
"10","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","3-red",37,0.449,NA,420,"1_AABR_2"
"11","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","4-yellow",29,0.615,NA,420,"1_AABR_2"
"12","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","5-orange",35,0.557,NA,420,"1_AABR_2"
"13","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","6-brown",38,0.414,NA,420,"1_AABR_2"
"14","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","7-grey",36,0.622,NA,420,"1_AABR_2"
"15","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","1-green",39,0.089,NA,420,"1_AGLO_1"
"16","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","2-blue",34,0.668,NA,420,"1_AGLO_1"
"17","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","3-red",37,0.535,NA,420,"1_AGLO_1"
"18","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","4-yellow",29,0.647,NA,420,"1_AGLO_1"
"19","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","5-orange",35,0.671,NA,420,"1_AGLO_1"
"20","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","6-brown",38,0.569,NA,420,"1_AGLO_1"
"21","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","7-grey",36,0.638,NA,420,"1_AGLO_1"
"22","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","1-green",39,0.028,NA,420,"1_AGLO_2"
"23","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","2-blue",34,0.605,NA,420,"1_AGLO_2"
"24","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","3-red",37,0.467,NA,420,"1_AGLO_2"
"25","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","4-yellow",29,0.647,NA,420,"1_AGLO_2"
"26","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","5-orange",35,0.629,NA,420,"1_AGLO_2"
"27","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","6-brown",38,0.453,NA,420,"1_AGLO_2"
"28","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","7-grey",36,0.558,NA,420,"1_AGLO_2"
"29","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",23,3,12,"AGLO3","wild","1-green",39,0.04,NA,420,"1_AGLO_3"
"30","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",23,3,12,"AGLO3","wild","2-blue",34,0.622,NA,420,"1_AGLO_3"
"31","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",23,3,12,"AGLO3","wild","3-red",37,0.44,NA,420,"1_AGLO_3"
